Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,90.0,-5638.828576292595,32969.42735956761,0,38608.25593586021,38608.25593586021,Open (90 sh)
NVDA,231.0,6651.76914667536,33212.92026078738,0,26561.15111411202,26561.15111411202,Open (231 sh)
GE,0,0,0,22752.665914213125,0,22752.665914213125,Closed
GS,57.0,18972.854996594993,29040.13283475148,0,10067.277838156486,10067.277838156486,Open (57 sh)
CRM,93.0,23295.897099017006,33066.78828558202,0,9770.891186565015,9770.891186565015,Open (93 sh)
META,0,0,0,9169.908967768017,0,9169.908967768017,Closed
AVGO,0,0,0,8987.243188144581,0,8987.243188144581,Closed
COST,0,0,0,7833.253764450987,0,7833.253764450987,Closed
NFLX,365.0,25411.511999999988,33215.45802184426,0,7803.946021844269,7803.946021844269,Open (365 sh)
AAPL,0,0,0,7141.515966488747,0,7141.515966488747,Closed
BLK,32.0,25423.76999297997,32480.93401666425,0,7057.1640236842795,7057.1640236842795,Open (32 sh)
ABBV,0,0,0,6523.913989611014,0,6523.913989611014,Closed
MSFT,0,0,0,5881.273608977994,0,5881.273608977994,Closed
LLY,0,0,0,5548.973324788996,0,5548.973324788996,Closed
JPM,0,0,0,5319.481197635003,0,5319.481197635003,Closed
GOOGL,0,0,0,4254.981638793979,0,4254.981638793979,Closed
HD,0,0,0,2941.0390376330033,0,2941.0390376330033,Closed
CAT,0,0,0,2380.159265059003,0,2380.159265059003,Closed
UNH,0,0,0,1768.5620180719998,0,1768.5620180719998,Closed
HON,0,0,0,902.4069771458089,0,902.4069771458089,Closed
CMCSA,0,0,0,471.1240082198783,0,471.1240082198783,Closed
DIS,292.0,32830.937933359004,33210.72089906078,0,379.7829657017792,379.7829657017792,Open (292 sh)
UPS,0,0,0,-320.92637956600083,0,-320.92637956600083,Closed
V,0,0,0,-785.1373424699996,0,-785.1373424699996,Closed
AMZN,151.0,34034.037307741004,33017.95832174223,0,-1016.0789859987708,-1016.0789859987708,Open (151 sh)
PFE,0,0,0,-3301.731265812494,0,-3301.731265812494,Closed
BA,0,0,0,-4705.690000000002,0,-4705.690000000002,Closed
NKE,0,0,0,-4967.5116168889945,0,-4967.5116168889945,Closed
TOTAL,,,,77795.50626226464,99232.3900999253,177027.89636218993,
