Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,156.0,15765.70499253241,55088.20750717041,0,39322.502514638,39322.502514638,Open (156 sh)
AMD,0,0,0,24479.080000000016,0,24479.080000000016,Closed
META,0,0,0,17059.155604900006,0,17059.155604900006,Closed
ORCL,298.0,35491.789822777006,50348.72934160262,0,14856.939518825617,14856.939518825617,Open (298 sh)
SHOP,466.0,43799.673999999985,55113.41642984351,0,11313.742429843529,11313.742429843529,Open (466 sh)
LLY,0,0,0,10899.022129376011,0,10899.022129376011,Closed
AVGO,0,0,0,10858.074566898547,0,10858.074566898547,Closed
GS,0,0,0,10363.497127923998,0,10363.497127923998,Closed
AMZN,0,0,0,9631.291128584984,0,9631.291128584984,Closed
NOW,257.0,46152.81799999997,55186.685999898604,0,9033.867999898634,9033.867999898634,Open (257 sh)
GOOGL,0,0,0,8580.974078308995,0,8580.974078308995,Closed
JPM,0,0,0,5415.35278528498,0,5415.35278528498,Closed
AAPL,0,0,0,4965.505960563751,0,4965.505960563751,Closed
COST,0,0,0,3663.196179605002,0,3663.196179605002,Closed
TXN,0,0,0,3602.9523606999937,0,3602.9523606999937,Closed
QCOM,0,0,0,3482.170906739997,0,3482.170906739997,Closed
MSFT,0,0,0,3328.2256844119984,0,3328.2256844119984,Closed
NFLX,0,0,0,3269.3180000000284,0,3269.3180000000284,Closed
DE,0,0,0,3142.305902108026,0,3142.305902108026,Closed
UNH,0,0,0,2964.622912990002,0,2964.622912990002,Closed
ADBE,0,0,0,1417.4600000000064,0,1417.4600000000064,Closed
UBER,0,0,0,1149.5900000000256,0,1149.5900000000256,Closed
MU,0,0,0,930.5918297859898,0,930.5918297859898,Closed
CAT,0,0,0,698.7646392260067,0,698.7646392260067,Closed
CRM,164.0,54370.912097164,54946.11072148488,0,575.1986243208812,575.1986243208812,Open (164 sh)
HD,0,0,0,-1003.4279582600011,0,-1003.4279582600011,Closed
AMAT,0,0,0,-5162.636684928002,0,-5162.636684928002,Closed
INTC,0,0,0,-5987.871713632005,0,-5987.871713632005,Closed
MA,0,0,0,-6805.185853752009,0,-6805.185853752009,Closed
TOTAL,,,,110942.02958683635,75102.25108752666,186044.28067436302,
