Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,190668.71461164765,0,190668.71461164765,Closed
TSLA,435.0,25594.150303183793,150616.70479679978,0,125022.55449361599,125022.55449361599,Open (435 sh)
SHOP,1300.0,85266.68700000003,150752.53053964692,0,65485.843539646885,65485.843539646885,Open (1300 sh)
ORCL,823.0,90318.922978802,150707.03607109323,0,60388.11309229123,60388.11309229123,Open (823 sh)
META,0,0,0,55337.82279325207,0,55337.82279325207,Closed
AVGO,0,0,0,51511.82246495725,0,51511.82246495725,Closed
AMD,0,0,0,46062.850000000035,0,46062.850000000035,Closed
NFLX,0,0,0,36446.44500000001,0,36446.44500000001,Closed
NOW,716.0,115041.04200000002,150752.33793593475,0,35711.29593593473,35711.29593593473,Open (716 sh)
AAPL,0,0,0,20726.278482023743,0,20726.278482023743,Closed
GOOGL,0,0,0,19572.785688171003,0,19572.785688171003,Closed
UBER,0,0,0,16056.719999999972,0,16056.719999999972,Closed
AMZN,0,0,0,13965.622103824004,0,13965.622103824004,Closed
ADBE,0,0,0,5557.880000000005,0,5557.880000000005,Closed
CSCO,0,0,0,4804.6049925739935,0,4804.6049925739935,Closed
TXN,0,0,0,4573.901837843994,0,4573.901837843994,Closed
INTC,0,0,0,-12139.183550212998,0,-12139.183550212998,Closed
CRM,459.0,168484.86997260505,150784.13065652538,0,-17700.73931607968,-17700.73931607968,Open (459 sh)
QCOM,0,0,0,-25825.062571721966,0,-25825.062571721966,Closed
TOTAL,,,,427321.20185235876,268907.06774540915,696228.2695977679,
