Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,287.0,8545.689754956606,99375.1954170222,0,90829.5056620656,90829.5056620656,Open (287 sh)
SHOP,857.0,40422.21299999999,99383.50168571071,0,58961.28868571072,58961.28868571072,Open (857 sh)
META,0,0,0,45858.42786690401,0,45858.42786690401,Closed
ORCL,541.0,54448.97044328498,99327.75073591615,0,44878.78029263117,44878.78029263117,Open (541 sh)
AVGO,0,0,0,41026.83828959073,0,41026.83828959073,Closed
AMD,0,0,0,40939.76000000001,0,40939.76000000001,Closed
NFLX,0,0,0,34039.638000000035,0,34039.638000000035,Closed
NOW,472.0,75737.464,99381.43113757386,0,23643.967137573854,23643.967137573854,Open (472 sh)
AAPL,0,0,0,22117.20723268221,0,22117.20723268221,Closed
AMZN,0,0,0,18269.05150575,0,18269.05150575,Closed
GOOGL,0,0,0,17860.730395680002,0,17860.730395680002,Closed
UBER,0,0,0,13223.700000000012,0,13223.700000000012,Closed
ADBE,0,0,0,7799.809999999998,0,7799.809999999998,Closed
TXN,0,0,0,4542.069082884002,0,4542.069082884002,Closed
CSCO,0,0,0,3228.8956068369735,0,3228.8956068369735,Closed
MSFT,0,0,0,-1150.9439552029944,0,-1150.9439552029944,Closed
INTC,0,0,0,-8048.081872985029,0,-8048.081872985029,Closed
CRM,302.0,115037.85694998602,99211.52102377708,0,-15826.335926208936,-15826.335926208936,Open (302 sh)
QCOM,0,0,0,-17102.961519860022,0,-17102.961519860022,Closed
TOTAL,,,,222604.14063227992,202487.20585177245,425091.34648405237,
