Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,52668.46332141588,0,52668.46332141588,Closed
META,0,0,0,25755.648471916007,0,25755.648471916007,Closed
TSLA,131.0,15918.753347887192,33898.863473242105,0,17980.110125354913,17980.110125354913,Open (131 sh)
GS,82.0,33397.97573239598,49356.93886225935,0,15958.963129863369,15958.963129863369,Open (82 sh)
AVGO,0,0,0,13605.027788548672,0,13605.027788548672,Closed
COST,0,0,0,13452.088760220002,0,13452.088760220002,Closed
GE,0,0,0,10869.846433724175,0,10869.846433724175,Closed
LLY,0,0,0,8185.125067458983,0,8185.125067458983,Closed
AMZN,0,0,0,7714.204488303993,0,7714.204488303993,Closed
NFLX,525.0,42624.02299999999,49592.95117678503,0,6968.928176785041,6968.928176785041,Open (525 sh)
HD,115.0,43267.981773878,49254.10022521314,0,5986.11845133514,5986.11845133514,Open (115 sh)
CRM,134.0,43628.687468848,49456.927587437276,0,5828.240118589274,5828.240118589274,Open (134 sh)
BLK,47.0,43786.383251135994,49521.028675063106,0,5734.645423927112,5734.645423927112,Open (47 sh)
GOOGL,0,0,0,3929.8538607964947,0,3929.8538607964947,Closed
JPM,0,0,0,3575.231691544992,0,3575.231691544992,Closed
AAPL,0,0,0,3269.292504566489,0,3269.292504566489,Closed
HON,0,0,0,2082.9696674646657,0,2082.9696674646657,Closed
CAT,0,0,0,1716.1889240169912,0,1716.1889240169912,Closed
CMCSA,0,0,0,879.6855511269678,0,879.6855511269678,Closed
UNH,0,0,0,871.9388966999977,0,871.9388966999977,Closed
DIS,0,0,0,333.7937741019996,0,333.7937741019996,Closed
MSFT,0,0,0,113.2211789399953,0,113.2211789399953,Closed
BA,0,0,0,-141.52000000000044,0,-141.52000000000044,Closed
MA,0,0,0,-528.212762946001,0,-528.212762946001,Closed
UPS,0,0,0,-851.0321189960086,0,-851.0321189960086,Closed
NKE,0,0,0,-1214.5595712430077,0,-1214.5595712430077,Closed
PFE,0,0,0,-3241.612736456991,0,-3241.612736456991,Closed
ABBV,0,0,0,-3315.1353493549977,0,-3315.1353493549977,Closed
TOTAL,,,,139730.50784184935,58457.00542585485,198187.5132677042,
