Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
LBPH,0,0,0,29717.729999999996,0,29717.729999999996,Closed
RH,0,0,0,26677.35,0,26677.35,Closed
DECK,159.0,16757.465018159004,41949.11277869892,0,25191.647760539912,25191.647760539912,Open (159 sh)
CVNA,0,0,0,21085.640000000003,0,21085.640000000003,Closed
URI,0,0,0,18139.090409175013,0,18139.090409175013,Closed
NET,0,0,0,17534.72,0,17534.72,Closed
VRT,279.0,24628.42754136,40875.708367794534,0,16247.280826434533,16247.280826434533,Open (279 sh)
KLAC,0,0,0,15328.957648690004,0,15328.957648690004,Closed
LRCX,0,0,0,13045.654342523398,0,13045.654342523398,Closed
RCL,187.0,19009.244766336,31549.57189434383,0,12540.32712800783,12540.32712800783,Open (187 sh)
NFLX,435.0,18664.98,30978.196959162717,0,12313.216959162717,12313.216959162717,Open (435 sh)
SHOP,0,0,0,10566.023000000001,0,10566.023000000001,Closed
BURL,0,0,0,8884.800000000003,0,8884.800000000003,Closed
LULU,0,0,0,6406.399999999996,0,6406.399999999996,Closed
ROST,0,0,0,4330.10747612,0,4330.10747612,Closed
BABA,0,0,0,3258.6694595999998,0,3258.6694595999998,Closed
NUE,0,0,0,2265.963902399999,0,2265.963902399999,Closed
CRWD,0,0,0,1231.2000000000007,0,1231.2000000000007,Closed
HZNP,0,0,0,732.7799999999988,0,732.7799999999988,Closed
CALX,0,0,0,658.3500000000058,0,658.3500000000058,Closed
CF,0,0,0,243.8989074259989,0,243.8989074259989,Closed
RIO,0,0,0,82.41340857600153,0,82.41340857600153,Closed
STLD,0,0,0,-151.8324579629989,0,-151.8324579629989,Closed
AMAT,0,0,0,-539.3398144680014,0,-539.3398144680014,Closed
CDNS,0,0,0,-576.2000000000044,0,-576.2000000000044,Closed
TSLA,0,0,0,-619.6348162030044,0,-619.6348162030044,Closed
MAS,0,0,0,-713.8071540960009,0,-713.8071540960009,Closed
CI,0,0,0,-780.5659279840002,0,-780.5659279840002,Closed
ROK,0,0,0,-838.0090985299976,0,-838.0090985299976,Closed
MRO,0,0,0,-875.7924061880003,0,-875.7924061880003,Closed
ON,0,0,0,-1107.3099999999977,0,-1107.3099999999977,Closed
BA,0,0,0,-1138.4099999999999,0,-1138.4099999999999,Closed
SLB,0,0,0,-1275.2465851640009,0,-1275.2465851640009,Closed
APA,0,0,0,-1291.4919013100007,0,-1291.4919013100007,Closed
DHI,0,0,0,-1323.812185632003,0,-1323.812185632003,Closed
SRPT,0,0,0,-1493.2799999999988,0,-1493.2799999999988,Closed
ALNY,0,0,0,-1523.3400000000001,0,-1523.3400000000001,Closed
FEYE,0,0,0,-1538.5600000000013,0,-1538.5600000000013,Closed
M,0,0,0,-1615.343687476001,0,-1615.343687476001,Closed
MGM,0,0,0,-1641.14002368,0,-1641.14002368,Closed
ROKU,0,0,0,-1645.0,0,-1645.0,Closed
DPZ,0,0,0,-1679.4596024999992,0,-1679.4596024999992,Closed
DLTR,0,0,0,-1789.7599999999984,0,-1789.7599999999984,Closed
UBER,0,0,0,-2089.8399999999965,0,-2089.8399999999965,Closed
ALGN,0,0,0,-2094.399999999998,0,-2094.399999999998,Closed
SEDG,0,0,0,-2457.16,0,-2457.16,Closed
SNAP,0,0,0,-3065.040000000001,0,-3065.040000000001,Closed
HPQ,0,0,0,-3088.9510730399998,0,-3088.9510730399998,Closed
RAD,0,0,0,-3190.3199999999997,0,-3190.3199999999997,Closed
SNPS,0,0,0,-3662.9000000000087,0,-3662.9000000000087,Closed
PFE,0,0,0,-3736.5652461719874,0,-3736.5652461719874,Closed
CAR,0,0,0,-4077.1764543440004,0,-4077.1764543440004,Closed
NXT,0,0,0,-4191.360000000001,0,-4191.360000000001,Closed
MSTR,0,0,0,-4317.608,0,-4317.608,Closed
EPAM,0,0,0,-4413.419999999998,0,-4413.419999999998,Closed
KSS,0,0,0,-5069.053686793002,0,-5069.053686793002,Closed
FLGT,0,0,0,-5535.0,0,-5535.0,Closed
DKS,0,0,0,-6231.214558050007,0,-6231.214558050007,Closed
ENPH,0,0,0,-6261.305,0,-6261.305,Closed
RUN,0,0,0,-6798.330000000002,0,-6798.330000000002,Closed
TOTAL,,,,85752.76887491738,66292.472674145,152045.24154906237,
