Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
GE,0,0,0,46074.10316801618,0,46074.10316801618,Closed
NVDA,0,0,0,35296.37711414846,0,35296.37711414846,Closed
TSLA,0,0,0,25297.182099383383,0,25297.182099383383,Closed
LLY,0,0,0,13585.963626554993,0,13585.963626554993,Closed
CRM,0,0,0,13583.784755033994,0,13583.784755033994,Closed
META,0,0,0,12976.457361499954,0,12976.457361499954,Closed
NFLX,0,0,0,12868.915000000037,0,12868.915000000037,Closed
AMZN,0,0,0,10557.977149407001,0,10557.977149407001,Closed
COST,0,0,0,8660.106707053026,0,8660.106707053026,Closed
ABBV,0,0,0,7022.745006407902,0,7022.745006407902,Closed
AVGO,0,0,0,6870.749344873242,0,6870.749344873242,Closed
DIS,0,0,0,4726.09960878799,0,4726.09960878799,Closed
GOOGL,0,0,0,3297.5249709829804,0,3297.5249709829804,Closed
PFE,0,0,0,2682.896335810001,0,2682.896335810001,Closed
UPS,0,0,0,2424.161617120997,0,2424.161617120997,Closed
NKE,0,0,0,2088.8625510730053,0,2088.8625510730053,Closed
AAPL,0,0,0,1512.4009295954602,0,1512.4009295954602,Closed
PG,0,0,0,819.3983286459988,0,819.3983286459988,Closed
V,0,0,0,621.7579179030145,0,621.7579179030145,Closed
MSFT,0,0,0,595.3742293740215,0,595.3742293740215,Closed
BLK,0,0,0,365.3783622820629,0,365.3783622820629,Closed
HON,0,0,0,-609.5237666937464,0,-609.5237666937464,Closed
CMCSA,0,0,0,-1085.8112482707802,0,-1085.8112482707802,Closed
JNJ,0,0,0,-1094.6283265560196,0,-1094.6283265560196,Closed
CAT,0,0,0,-1841.873878649989,0,-1841.873878649989,Closed
UNH,0,0,0,-2470.315462830011,0,-2470.315462830011,Closed
JPM,0,0,0,-2725.139687348972,0,-2725.139687348972,Closed
HD,0,0,0,-3804.6019789270067,0,-3804.6019789270067,Closed
GS,0,0,0,-3879.677489033027,0,-3879.677489033027,Closed
TOTAL,,,,194416.64434564416,0,194416.64434564416,
