Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,32.0,-4131.569188065994,10817.72711562241,0,14949.296303688405,14949.296303688405,Open (32 sh)
MU,0,0,0,14506.571365464013,0,14506.571365464013,Closed
META,0,0,0,11175.562583824001,0,11175.562583824001,Closed
GOOGL,0,0,0,7409.870889778998,0,7409.870889778998,Closed
LLY,0,0,0,6660.937253158001,0,6660.937253158001,Closed
LRCX,0,0,0,6334.73088328891,0,6334.73088328891,Closed
COST,11.0,3426.1900475040165,9390.938021093889,0,5964.747973589872,5964.747973589872,Open (11 sh)
AMD,0,0,0,5880.509999999995,0,5880.509999999995,Closed
ORCL,63.0,5349.7962602709995,10189.779838421238,0,4839.983578150239,4839.983578150239,Open (63 sh)
AVGO,0,0,0,4787.713206429093,0,4787.713206429093,Closed
MS,88.0,6495.899547270012,11034.268889736646,0,4538.369342466634,4538.369342466634,Open (88 sh)
TXN,0,0,0,4391.817911954997,0,4391.817911954997,Closed
AMZN,0,0,0,4328.401830654002,0,4328.401830654002,Closed
SHOP,97.0,6987.939999999995,10982.346746155514,0,3994.4067461555187,3994.4067461555187,Open (97 sh)
DE,24.0,6946.218701369995,10762.38167341463,0,3816.1629720446344,3816.1629720446344,Open (24 sh)
AXP,37.0,7210.485284069997,10899.187907792819,0,3688.702623722822,3688.702623722822,Open (37 sh)
GS,19.0,7874.252306126007,11043.573112100226,0,3169.320805974219,3169.320805974219,Open (19 sh)
AAPL,47.0,7892.112568054254,10875.67692204471,0,2983.564353990456,2983.564353990456,Open (47 sh)
NFLX,127.0,8135.913000000008,11030.619043454926,0,2894.7060434549185,2894.7060434549185,Open (127 sh)
CRM,34.0,8191.662225734006,10904.958736812076,0,2713.2965110780697,2713.2965110780697,Open (34 sh)
ABBV,0,0,0,2693.578370627991,0,2693.578370627991,Closed
LOW,42.0,8733.727536396007,10986.437599412922,0,2252.7100630169152,2252.7100630169152,Open (42 sh)
INTC,0,0,0,2209.8304365879885,0,2209.8304365879885,Closed
ADBE,0,0,0,2185.519999999997,0,2185.519999999997,Closed
CAT,28.0,8930.165186282007,10971.297141575516,0,2041.1319552935092,2041.1319552935092,Open (28 sh)
MSFT,0,0,0,1966.6541054810077,0,1966.6541054810077,Closed
WMT,123.0,9104.795548898932,11013.270220789931,0,1908.4746718909992,1908.4746718909992,Open (123 sh)
UNH,19.0,9132.001762853004,11039.85005942376,0,1907.8482965707553,1907.8482965707553,Open (19 sh)
UBER,0,0,0,1881.929999999993,0,1881.929999999993,Closed
CSCO,196.0,9557.08245515,11021.516291819296,0,1464.4338366692955,1464.4338366692955,Open (196 sh)
JPM,46.0,9659.005225687994,10984.17797515083,0,1325.1727494628358,1325.1727494628358,Open (46 sh)
QCOM,0,0,0,1318.2787860780081,0,1318.2787860780081,Closed
HD,26.0,8798.940645843995,10109.731952573473,0,1310.7913067294776,1310.7913067294776,Open (26 sh)
V,0,0,0,954.943711189997,0,954.943711189997,Closed
HON,0,0,0,275.70053486741745,0,275.70053486741745,Closed
KO,0,0,0,184.9554244619976,0,184.9554244619976,Closed
PG,0,0,0,125.83008891999634,0,125.83008891999634,Closed
JNJ,0,0,0,-159.41263575099947,0,-159.41263575099947,Closed
AMAT,0,0,0,-305.43301307000365,0,-305.43301307000365,Closed
PFE,0,0,0,-633.8322046090034,0,-633.8322046090034,Closed
ABNB,0,0,0,-658.3400000000001,0,-658.3400000000001,Closed
BKNG,2.0,8646.39627191799,7960.677958473651,0,-685.7183134443394,-685.7183134443394,Open (2 sh)
CVX,0,0,0,-712.420755000996,0,-712.420755000996,Closed
PEP,0,0,0,-1242.8409582840031,0,-1242.8409582840031,Closed
BAC,244.0,12744.958965950995,11035.382794131569,0,-1709.5761718194262,-1709.5761718194262,Open (244 sh)
MRK,0,0,0,-2191.350821928987,0,-2191.350821928987,Closed
XOM,0,0,0,-2210.736095387998,0,-2210.736095387998,Closed
UPS,0,0,0,-2441.5206774800026,0,-2441.5206774800026,Closed
MA,0,0,0,-2527.532411754015,0,-2527.532411754015,Closed
TOTAL,,,,66189.91780950037,63367.82564868582,129557.74345818619,
