symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
NVDA,13,8,5,61.5%,104491.26,0.00,104491.26,33.6%,-8.8%,3.83
TSLA,8,7,1,87.5%,102643.59,0.00,102643.59,20.6%,-1.8%,11.28
FSLR,6,3,3,50.0%,66228.73,0.00,66228.73,41.7%,-5.3%,7.81
MRVL,8,3,5,37.5%,58182.82,0.00,58182.82,36.9%,-7.1%,5.17
RCL,13,7,6,53.8%,47064.31,0.00,47064.31,14.2%,-8.6%,1.64
MRNA,9,3,6,33.3%,37292.70,0.00,37292.70,50.0%,-14.0%,3.57
AAPL,9,7,2,77.8%,36408.39,0.00,36408.39,10.1%,-4.1%,2.48
FCX,9,5,4,55.6%,24033.62,0.00,24033.62,16.8%,-7.9%,2.13
AVGO,11,5,6,45.5%,21603.12,0.00,21603.12,13.1%,-5.8%,2.26
CRM,7,5,2,71.4%,21594.24,0.00,21594.24,7.5%,-6.8%,1.10
MSFT,11,7,4,63.6%,19171.43,0.00,19171.43,10.8%,-3.3%,3.32
META,11,4,7,36.4%,16564.95,0.00,16564.95,19.1%,-5.6%,3.40
LULU,10,3,7,30.0%,16079.39,0.00,16079.39,30.6%,-5.4%,5.66
REGN,11,5,6,45.5%,13328.11,0.00,13328.11,9.9%,-5.3%,1.86
NFLX,11,5,6,45.5%,10913.26,0.00,10913.26,23.8%,-6.1%,3.90
XYZ,9,4,5,44.4%,10469.51,0.00,10469.51,17.8%,-7.3%,2.43
AMAT,10,5,5,50.0%,10186.65,0.00,10186.65,13.8%,-6.2%,2.24
MU,10,5,5,50.0%,8235.09,0.00,8235.09,11.2%,-4.4%,2.57
ADBE,8,5,3,62.5%,8043.00,0.00,8043.00,6.0%,-3.4%,1.76
AMD,7,4,3,57.1%,7877.85,0.00,7877.85,13.1%,-12.6%,1.04
LRCX,9,4,5,44.4%,5854.26,0.00,5854.26,10.5%,-7.1%,1.49
ENPH,8,1,7,12.5%,2790.19,0.00,2790.19,85.3%,-11.0%,7.76
AMZN,12,6,6,50.0%,-182.85,0.00,-182.85,7.9%,-4.1%,1.93
VRTX,6,2,4,33.3%,-1229.95,0.00,-1229.95,6.0%,-3.7%,1.62
GOOGL,8,3,5,37.5%,-6483.00,0.00,-6483.00,4.1%,-7.0%,0.58
NOW,9,1,8,11.1%,-7954.71,0.00,-7954.71,28.1%,-5.6%,5.05
SHOP,13,5,8,38.5%,-13507.20,0.00,-13507.20,8.7%,-8.8%,1.00
PANW,8,0,8,0.0%,-25326.04,0.00,-25326.04,N/A,-7.3%,N/A
