symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
AVGO,2015-01-12,2015-04-15,Long,2457.0,8.043269285051,9.5152535992224,3616.6654599191274,18.30%,93,0
AVGO,2015-06-01,2015-06-29,Long,1704.0,11.3868710139184,10.4018343259275,-1678.5025163364949,-8.65%,28,0
AVGO,2016-03-07,2016-04-26,Long,1754.0,11.3341540179868,11.585173107123,440.28748234489495,2.21%,50,0
AVGO,2016-06-06,2016-06-27,Long,1732.0,12.6563117512832,11.592103265028,-1843.209098194007,-8.41%,21,0
AVGO,2017-06-05,2017-06-19,Long,1396.0,20.1441592355003,18.73953895275,-1960.8499147194202,-6.97%,14,0
AVGO,2018-09-24,2018-10-11,Long,1880.0,20.361156731916,18.9878909409612,-2581.7396869950244,-6.74%,17,0
AVGO,2019-03-18,2019-05-09,Long,1458.0,24.074664200587,25.3351249028118,1837.7517038437547,5.24%,52,0
AVGO,2021-12-13,2022-01-10,Long,1385.0,58.2000473326272,57.295799179668,-1252.3836918484894,-1.55%,28,0
AVGO,2023-01-09,2023-02-23,Long,1101.0,56.3167883653375,55.0332455785875,-1413.1806082117548,-2.28%,45,0
AVGO,2023-03-06,2023-08-10,Long,1070.0,60.55947352455,82.2789028317042,23239.789358654994,35.86%,157,0
AVGO,2024-01-22,2024-03-14,Long,740.0,118.558441985984,122.880732472192,3198.4949597939126,3.65%,52,0
LULU,2015-01-26,2015-03-09,Long,299.0,66.2662,62.2377,-1204.5215000000003,-6.08%,42,0
LULU,2016-02-01,2016-04-12,Long,324.0,62.13207,61.16877,-312.10919999999896,-1.55%,71,0
LULU,2016-07-11,2016-09-06,Long,270.0,76.79672,68.50143,-2239.7282999999984,-10.80%,57,0
LULU,2017-07-03,2017-08-18,Long,442.0,59.72967,58.90104,-366.25445999999863,-1.39%,46,0
LULU,2018-04-02,2018-07-30,Long,348.0,89.20912,119.88,10673.46624,34.38%,119,0
LULU,2018-08-13,2018-10-09,Long,266.0,130.65052,150.62922,5314.334200000001,15.29%,57,0
LULU,2019-09-09,2019-11-05,Long,165.0,203.34314,196.28352,-1164.8372999999992,-3.47%,57,0
LULU,2020-04-13,2020-06-29,Long,178.0,203.71351,289.24047,15223.79888,41.98%,77,0
LULU,2022-09-12,2022-09-23,Long,186.0,348.99865,305.9937,-7998.9207000000015,-12.32%,11,0
LULU,2023-12-11,2024-01-16,Long,173.0,490.12964,479.46006,-1845.8373399999994,-2.18%,36,0
NFLX,2015-01-26,2015-03-09,Long,3170.0,6.255671744322,6.480934661916,714.0834487729792,3.60%,42,0
