symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
AMZN,7,6,1,85.7%,4835.00,0.00,4835.00,12.6%,-4.7%,2.66
NVDA,4,4,0,100.0%,4469.09,0.00,4469.09,24.2%,N/A,N/A
SBUX,6,6,0,100.0%,4217.11,0.00,4217.11,10.4%,N/A,N/A
HD,4,2,2,50.0%,3205.60,0.00,3205.60,7.8%,-0.6%,12.92
GOOGL,2,1,1,50.0%,3076.56,0.00,3076.56,13.6%,-1.7%,8.21
UNH,2,2,0,100.0%,2948.29,0.00,2948.29,7.2%,N/A,N/A
NKE,3,3,0,100.0%,2283.52,0.00,2283.52,3.7%,N/A,N/A
AVGO,4,2,2,50.0%,1967.97,0.00,1967.97,14.3%,-7.1%,2.02
CRM,2,2,0,100.0%,1812.36,0.00,1812.36,8.7%,N/A,N/A
MCD,2,2,0,100.0%,1497.83,0.00,1497.83,4.6%,N/A,N/A
CSCO,2,2,0,100.0%,1349.73,0.00,1349.73,9.1%,N/A,N/A
TSLA,2,2,0,100.0%,1325.60,0.00,1325.60,6.3%,N/A,N/A
NFLX,5,4,1,80.0%,1180.76,0.00,1180.76,19.3%,-12.4%,1.56
JPM,1,1,0,100.0%,809.72,0.00,809.72,3.8%,N/A,N/A
INTC,1,1,0,100.0%,808.94,0.00,808.94,3.2%,N/A,N/A
ISRG,1,0,1,0.0%,-32.70,0.00,-32.70,N/A,-1.2%,N/A
LLY,2,0,2,0.0%,-235.95,0.00,-235.95,N/A,-1.6%,N/A
V,1,0,1,0.0%,-587.81,0.00,-587.81,N/A,-3.0%,N/A
MSFT,2,1,1,50.0%,-832.04,0.00,-832.04,1.9%,-6.0%,0.31
META,2,1,1,50.0%,-1077.67,0.00,-1077.67,0.3%,-4.6%,0.07
BA,2,0,2,0.0%,-1088.90,0.00,-1088.90,N/A,-2.9%,N/A
ABBV,2,1,1,50.0%,-1277.39,0.00,-1277.39,0.7%,-7.3%,0.10
TXN,2,1,1,50.0%,-1482.53,0.00,-1482.53,0.4%,-5.9%,0.07
