symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
AVGO,2015-01-02,2015-02-02,Long,118.0,7.7127974965041,7.8726235871088,18.859478691354546,2.07%,31,0
AVGO,2015-01-02,2015-03-02,Long,2444.0,7.7127974965041,9.7657875406962,5017.507668005493,26.62%,59,0
AVGO,2015-04-01,2015-05-01,Long,2140.0,9.7650089913376,8.9703407055744,-1700.590131533247,-8.14%,30,0
AVGO,2015-07-01,2015-08-03,Long,2206.0,10.2514542124995,9.631413596349,-1367.8095992280007,-6.05%,33,0
AVGO,2016-01-04,2016-02-01,Long,90.0,11.263538653367,10.3550717665962,-81.76201980937196,-8.07%,28,0
AVGO,2016-01-04,2016-03-01,Long,2284.0,11.263538653367,10.3752072737334,-2028.9488710831426,-7.89%,57,0
AVGO,2016-04-01,2016-05-02,Long,2017.0,12.028790388615,11.3248757904975,-1419.795744402997,-5.85%,31,0
AVGO,2017-03-01,2017-05-01,Long,2572.0,16.6181762755008,17.4405556294569,2115.1596983750837,4.95%,61,0
AVGO,2018-11-01,2018-12-03,Long,3234.0,18.3414547279964,19.4449173458724,3568.5981062109886,6.02%,32,0
AVGO,2019-01-02,2019-02-01,Long,146.0,21.088241458284,22.202368382025,162.6625308661861,5.28%,30,0
AVGO,2019-01-02,2019-03-01,Long,2801.0,21.088241458284,22.790844949392,4768.992378593509,8.07%,58,0
AVGO,2022-01-03,2022-02-01,Long,3216.0,61.6999506651528,54.2170117473696,-24065.131559590776,-12.13%,29,0
AVGO,2023-02-01,2023-03-01,Long,3622.0,55.9894708998625,56.7639889527375,2805.304387513234,1.38%,28,0
AVGO,2023-07-03,2023-09-01,Long,3209.0,84.0620102099778,89.2579039581906,16673.623038014863,6.18%,60,0
AVGO,2023-08-01,2023-09-01,Long,50.0,87.087517696179,89.2579039581906,108.5193131005795,2.49%,31,0
AVGO,2023-12-01,2024-01-02,Long,3037.0,90.2004278277102,109.04594085405,57233.82306099398,20.89%,32,0
AVGO,2024-02-01,2024-03-01,Long,2441.0,115.5044266376,127.044260355013,28168.73410420511,9.99%,29,0
AVGO,2024-08-01,2024-09-03,Long,1899.0,158.45316094608,160.24269682008,3398.3286247259903,1.13%,33,0
V,2015-01-02,2015-02-02,Long,326.0,60.617278917195,58.8141782634352,-587.8108131256945,-2.97%,31,0
V,2017-09-01,2017-10-02,Long,510.0,97.86200047624,99.28921477662,727.8792931938005,1.46%,31,0
V,2019-08-01,2019-09-03,Long,374.0,170.2502193392,172.850939818218,972.669459152735,1.53%,33,0
TXN,2015-01-02,2015-02-02,Long,499.0,39.590122537966,39.742683728805,76.1280342286584,0.39%,31,0
TXN,2015-12-01,2016-01-04,Long,600.0,44.153202060968,41.555433003966,-1558.6614342011985,-5.88%,34,0
TXN,2016-08-01,2016-09-01,Long,567.0,54.01754373015,53.747308046844,-153.2236324345049,-0.50%,31,0
TXN,2017-11-01,2017-12-01,Long,676.0,77.335972201488,77.660396473392,219.31080780709937,0.42%,30,0
TXN,2019-09-03,2019-10-01,Long,34.0,103.614383998125,107.99488886814,148.9371655805096,4.23%,28,0
TXN,2019-09-03,2019-11-01,Long,606.0,103.614383998125,99.337449744369,-2591.8221577761424,-4.13%,59,0
TXN,2024-06-03,2024-07-01,Long,1690.0,186.615091616954,185.783815376838,-1404.8568457960594,-0.45%,28,0
CSCO,2015-01-02,2015-03-02,Long,1000.0,19.744143366948,21.045440811681,1301.2974447330023,6.59%,59,0
CSCO,2015-02-02,2015-03-02,Long,22.0,18.843758786853,21.045440811681,48.43700454621598,11.68%,28,0
CSCO,2018-02-01,2018-03-01,Long,1667.0,32.807847534462,35.296102000566,4147.920194995373,7.58%,28,0
CSCO,2018-10-01,2018-11-01,Long,1731.0,39.0340133183,36.8815564251,-3725.902882129194,-5.51%,31,0
CSCO,2019-04-01,2019-06-03,Long,1430.0,43.949075277107,42.536592771057,-2019.8499836514961,-3.21%,63,0
CSCO,2024-11-01,2024-12-02,Long,5647.0,53.162016963055,57.356835265485,23688.138953822214,7.89%,31,0
