symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
NVDA,4,4,0,100.0%,6953.89,0.00,6953.89,33.6%,N/A,N/A
AMZN,6,5,1,83.3%,5918.91,0.00,5918.91,18.1%,-5.3%,3.39
AMD,2,2,0,100.0%,5453.09,0.00,5453.09,20.9%,N/A,N/A
PANW,4,3,1,75.0%,5128.35,0.00,5128.35,12.6%,-6.2%,2.04
LULU,3,2,1,66.7%,2884.08,0.00,2884.08,16.5%,-6.6%,2.48
AVGO,5,4,1,80.0%,2800.93,0.00,2800.93,17.5%,-5.9%,2.98
HD,2,2,0,100.0%,2646.23,0.00,2646.23,8.0%,N/A,N/A
NFLX,5,4,1,80.0%,2502.23,0.00,2502.23,19.3%,-12.4%,1.56
REGN,2,2,0,100.0%,2475.27,0.00,2475.27,11.6%,N/A,N/A
NKE,3,3,0,100.0%,2167.34,0.00,2167.34,9.8%,N/A,N/A
GOOGL,1,1,0,100.0%,1601.68,0.00,1601.68,13.6%,N/A,N/A
TSLA,2,2,0,100.0%,1390.86,0.00,1390.86,6.3%,N/A,N/A
VRTX,1,1,0,100.0%,842.24,0.00,842.24,3.9%,N/A,N/A
MRVL,1,1,0,100.0%,780.91,0.00,780.91,3.9%,N/A,N/A
CRM,2,1,1,50.0%,517.70,0.00,517.70,2.3%,-0.3%,7.57
SBUX,4,2,2,50.0%,296.07,0.00,296.07,7.2%,-3.6%,1.98
LLY,2,0,2,0.0%,-246.06,0.00,-246.06,N/A,-1.6%,N/A
NOW,3,1,2,33.3%,-566.02,0.00,-566.02,3.1%,-1.4%,2.25
V,1,0,1,0.0%,-586.01,0.00,-586.01,N/A,-3.0%,N/A
MSFT,2,1,1,50.0%,-907.21,0.00,-907.21,1.9%,-6.0%,0.31
META,2,0,2,0.0%,-1187.28,0.00,-1187.28,N/A,-4.8%,N/A
LRCX,1,0,1,0.0%,-1347.17,0.00,-1347.17,N/A,-5.7%,N/A
AMAT,1,0,1,0.0%,-1682.81,0.00,-1682.81,N/A,-8.5%,N/A
