symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
LULU,2015-01-02,2015-02-02,Long,49.0,55.84579,66.17376,506.07053,18.49%,31,0
LULU,2015-01-02,2015-04-01,Long,305.0,55.84579,63.95598,2473.6079499999987,14.52%,89,0
LULU,2015-03-02,2015-04-01,Long,21.0,68.50844,63.95598,-95.60165999999992,-6.65%,30,0
LULU,2016-04-01,2016-05-02,Long,410.0,67.77771,65.48445,-940.2366000000015,-3.38%,31,0
LULU,2016-08-01,2016-09-01,Long,401.0,77.72765,76.43349,-518.9581599999964,-1.66%,31,0
LULU,2017-08-01,2017-10-02,Long,940.0,61.70164,62.18775,456.9434000000034,0.79%,62,0
LULU,2017-09-01,2017-10-02,Long,61.0,57.60755,62.18775,279.3921999999999,7.95%,31,0
LULU,2018-01-02,2018-03-01,Long,534.0,78.66859,81.0189,1255.065540000004,2.99%,58,0
LULU,2018-02-01,2018-03-01,Long,230.0,78.28821,81.0189,628.058699999999,3.49%,28,0
LULU,2018-05-01,2018-07-02,Long,67.0,99.8998,124.72515,1663.29845,24.85%,62,0
LULU,2018-05-01,2018-09-04,Long,362.0,99.8998,154.77507,19864.84774,54.93%,126,0
LULU,2018-06-01,2018-09-04,Long,165.0,105.15505,154.77507,8187.3033,47.19%,95,0
LULU,2018-08-01,2018-09-04,Long,25.0,120.06995,154.77507,867.6279999999998,28.90%,34,0
LULU,2018-10-01,2018-11-01,Long,348.0,162.65249,140.58927,-7678.00056,-13.56%,31,0
LULU,2018-10-01,2019-02-01,Long,197.0,162.65249,147.66219,-2953.0890999999983,-9.22%,123,0
LULU,2019-06-03,2019-07-01,Long,248.0,165.75559,180.02979,3540.001599999995,8.61%,28,0
LULU,2020-07-01,2020-08-03,Long,457.0,312.32201,325.26441,5914.676800000009,4.14%,33,0
LULU,2022-10-03,2022-11-01,Long,373.0,279.83956,328.71096,18229.032199999998,17.46%,29,0
LULU,2023-05-01,2023-06-01,Long,828.0,380.30993,331.59807,-40333.42008,-12.81%,31,0
LULU,2024-01-02,2024-02-01,Long,830.0,511.80129,453.36618,-48501.14130000001,-11.42%,30,0
LULU,2024-11-01,2024-12-02,Long,1517.0,298.1979,320.33934,33588.564479999986,7.43%,31,0
AVGO,2015-01-02,2015-03-02,Long,277.0,7.7127974965041,9.7657875406962,568.6782422412117,26.62%,59,0
AVGO,2015-01-02,2015-04-01,Long,70.0,7.7127974965041,9.7454984838624,142.28906911508102,26.35%,89,0
AVGO,2015-01-02,2015-05-01,Long,2215.0,7.7127974965041,8.9703407055744,2785.458208090716,16.30%,119,0
AVGO,2016-01-04,2016-05-02,Long,1216.0,11.263538653367,11.3248757904975,74.58595875068886,0.54%,119,0
AVGO,2016-04-01,2016-05-02,Long,1094.0,12.028790388615,11.3248757904975,-770.0825703405446,-5.85%,31,0
AVGO,2017-03-01,2017-05-01,Long,2683.0,16.6181762755008,17.4405556294569,2206.443806664211,4.95%,61,0
AVGO,2017-04-03,2017-05-01,Long,72.0,17.3290578957496,17.4405556294569,8.027836826925551,0.64%,28,0
AVGO,2018-11-01,2019-03-01,Long,1516.0,18.3414547279964,22.790844949392,6745.275575635729,24.26%,120,0
AVGO,2019-02-01,2019-03-01,Long,259.0,22.246817567975,22.790844949392,140.90309178700278,2.45%,28,0
AVGO,2022-01-03,2022-02-01,Long,1595.0,61.6999506651528,54.2170117473696,-11935.287573864207,-12.13%,29,0
AVGO,2022-01-03,2022-04-01,Long,4133.0,61.6999506651528,58.6642766867136,-12546.44055288921,-4.92%,88,0
AVGO,2023-01-03,2023-03-01,Long,1996.0,53.5125773307125,56.7639889527375,6489.817597561892,6.08%,57,0
AVGO,2023-02-01,2023-03-01,Long,2064.0,55.9894708998625,56.7639889527375,1598.6052611339908,1.38%,28,0
AVGO,2023-07-03,2023-09-01,Long,4594.0,84.0620102099778,89.2579039581906,23869.935879289587,6.18%,60,0
AVGO,2023-08-01,2023-09-01,Long,174.0,87.087517696179,89.2579039581906,377.64720959001664,2.49%,31,0
AVGO,2023-12-01,2024-01-02,Long,4304.0,90.2004278277102,109.04594085405,81111.08806536651,20.89%,32,0
AVGO,2024-03-01,2024-04-01,Long,3401.0,127.298603218587,130.030098536904,9289.815577596124,2.15%,31,0
AVGO,2024-08-01,2024-09-03,Long,3085.0,158.45316094608,160.24269682008,5520.718171289985,1.13%,33,0
V,2015-01-02,2015-02-02,Long,325.0,60.617278917195,58.8141782634352,-586.0077124719346,-2.97%,31,0
V,2017-09-01,2017-11-01,Long,589.0,97.86200047624,103.76119195299,3474.6237798057527,6.03%,61,0
V,2018-06-01,2018-07-02,Long,503.0,124.218592669171,125.601468419385,695.5865023576409,1.11%,31,0
PANW,2015-01-02,2015-03-02,Long,966.0,20.4454229554575,23.679627632037,3124.2417175757987,15.82%,59,0
PANW,2015-04-01,2015-06-01,Long,887.0,24.371010896232,28.2200821779915,3414.1262269206763,15.79%,61,0
PANW,2015-07-01,2015-08-03,Long,15.0,29.145780418755,30.952346904765,27.098497290150032,6.20%,33,0
PANW,2015-07-01,2015-09-01,Long,797.0,29.145780418755,27.342627265737,-1437.1130629553447,-6.19%,62,0
PANW,2016-11-01,2016-12-01,Long,1335.0,25.6639691002695,22.380927761907,-4382.86018671394,-12.79%,30,0
PANW,2018-05-01,2018-07-02,Long,1336.0,32.1170817882915,34.2107515789245,2797.1428402856895,6.52%,62,0
PANW,2018-06-01,2018-07-02,Long,465.0,34.7163448616985,34.2107515789245,-235.10087648991038,-1.46%,31,0
PANW,2019-02-01,2019-05-01,Long,1102.0,35.839133082753,41.4301908569805,6161.345667198706,15.60%,89,0
PANW,2019-03-01,2019-05-01,Long,884.0,41.0726942260635,41.4301908569805,316.02702173063255,0.87%,61,0
PANW,2019-04-01,2019-05-01,Long,36.0,40.520475947952,41.4301908569805,32.749736725026054,2.25%,30,0
PANW,2020-06-01,2020-07-01,Long,3366.0,39.2508744082455,38.2400511759945,-3402.430999756863,-2.58%,30,0
