symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
NFLX,5,5,0,100.0%,7521.32,0.00,7521.32,64.9%,N/A,N/A
AMZN,6,6,0,100.0%,4486.96,0.00,4486.96,21.3%,N/A,N/A
SBUX,4,3,1,75.0%,1496.93,0.00,1496.93,12.7%,-1.8%,7.21
AVGO,3,3,0,100.0%,813.59,0.00,813.59,11.5%,N/A,N/A
TGT,2,2,0,100.0%,757.33,0.00,757.33,3.8%,N/A,N/A
UNH,3,3,0,100.0%,635.42,0.00,635.42,6.0%,N/A,N/A
MCD,1,1,0,100.0%,619.74,0.00,619.74,5.9%,N/A,N/A
GOOGL,1,1,0,100.0%,562.76,0.00,562.76,5.3%,N/A,N/A
AAPL,1,1,0,100.0%,439.60,0.00,439.60,4.3%,N/A,N/A
GE,2,1,1,50.0%,291.24,0.00,291.24,4.6%,-1.9%,2.37
ADBE,1,1,0,100.0%,270.76,0.00,270.76,2.5%,N/A,N/A
INTC,1,1,0,100.0%,239.89,0.00,239.89,2.3%,N/A,N/A
COST,1,1,0,100.0%,233.48,0.00,233.48,2.2%,N/A,N/A
HD,2,1,1,50.0%,215.58,0.00,215.58,8.1%,-6.5%,1.24
CRM,3,3,0,100.0%,69.16,0.00,69.16,2.0%,N/A,N/A
MS,1,1,0,100.0%,36.18,0.00,36.18,0.3%,N/A,N/A
LMT,1,1,0,100.0%,24.07,0.00,24.07,0.2%,N/A,N/A
GS,1,0,1,0.0%,-79.32,0.00,-79.32,N/A,-0.7%,N/A
LLY,2,0,2,0.0%,-116.05,0.00,-116.05,N/A,-1.6%,N/A
PFE,1,0,1,0.0%,-131.54,0.00,-131.54,N/A,-1.3%,N/A
JPM,3,1,2,33.3%,-241.45,0.00,-241.45,2.8%,-4.4%,0.64
NKE,1,0,1,0.0%,-365.88,0.00,-365.88,N/A,-3.2%,N/A
TJX,1,0,1,0.0%,-367.29,0.00,-367.29,N/A,-3.5%,N/A
RTX,1,0,1,0.0%,-387.69,0.00,-387.69,N/A,-3.9%,N/A
IBM,1,0,1,0.0%,-464.60,0.00,-464.60,N/A,-4.3%,N/A
BA,2,0,2,0.0%,-644.74,0.00,-644.74,N/A,-4.0%,N/A
LOW,1,0,1,0.0%,-685.47,0.00,-685.47,N/A,-6.9%,N/A
ABBV,1,0,1,0.0%,-707.05,0.00,-707.05,N/A,-6.6%,N/A
DIS,3,2,1,66.7%,-798.49,0.00,-798.49,6.3%,-15.3%,0.41
BAC,1,0,1,0.0%,-1014.91,0.00,-1014.91,N/A,-8.9%,N/A
GILD,2,0,2,0.0%,-1180.83,0.00,-1180.83,N/A,-10.7%,N/A
