symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
AVGO,2015-03-02,2015-06-01,Long,187.0,9.7853386669038,11.3641200228816,295.23211356784884,16.13%,91,0
AVGO,2015-03-02,2015-07-01,Long,823.0,9.7853386669038,10.2309717865005,366.7560574280852,4.55%,121,0
AVGO,2015-05-01,2015-07-01,Long,122.0,8.9882993456256,10.2309717865005,151.6060377867378,13.83%,61,0
LOW,2015-03-02,2015-05-01,Long,162.0,60.994793363504,56.763504467208,-685.468801199952,-6.94%,60,0
UNH,2015-03-02,2015-04-01,Long,3.0,95.334359976856,99.377137651734,12.128333024633989,4.24%,30,0
UNH,2015-03-02,2015-06-01,Long,100.0,95.334359976856,100.990157385366,565.5797408509998,5.93%,91,0
UNH,2015-05-01,2015-06-01,Long,8.0,93.77611399156,100.990157385366,57.71234715044807,7.69%,31,0
TGT,2015-03-02,2015-04-01,Long,176.0,55.937167630344,59.611040360928,646.6016005827843,6.57%,30,0
TGT,2015-05-01,2015-06-01,Long,177.0,57.393295903944,58.018892754276,110.73064250876435,1.09%,31,0
SBUX,2015-03-02,2015-05-01,Long,8.0,37.666147497979,39.870710215164,17.636501737480046,5.85%,60,0
SBUX,2015-03-02,2015-07-01,Long,7.0,37.666147497979,43.256742743214,39.134166716645005,14.84%,121,0
SBUX,2015-03-02,2015-09-01,Long,247.0,37.666147497979,44.257766009922,1628.129772449922,17.50%,183,0
SBUX,2015-11-02,2015-12-01,Long,210.0,50.717462621826,49.822363107657,-187.9708979754909,-1.76%,29,0
HD,2015-03-02,2015-05-01,Long,111.0,88.735511940075,82.986558036336,-638.1338833150282,-6.48%,60,0
HD,2015-11-02,2015-12-01,Long,109.0,97.10445688944,104.93667076752,853.7113127107198,8.07%,29,0
BA,2015-03-02,2015-06-01,Long,74.0,132.885232725245,124.329795785964,-633.1023335067946,-6.44%,91,0
BA,2015-05-01,2015-06-01,Long,6.0,126.269600655198,124.329795785964,-11.638829215404058,-1.54%,31,0
RTX,2015-03-02,2015-04-01,Long,196.0,50.2948548829339,48.3168633457576,-387.68634128655503,-3.93%,30,0
PFE,2015-03-02,2015-05-01,Long,477.0,20.6738723402154,20.3981049258144,-131.5410566692765,-1.33%,60,0
DIS,2015-03-02,2015-07-01,Long,104.0,94.866460152464,103.79166222222,928.2210152546237,9.41%,121,0
DIS,2015-06-01,2015-07-01,Long,2.0,100.599646493346,103.79166222222,6.384031457747994,3.17%,30,0
DIS,2015-08-03,2015-09-01,Long,103.0,110.041039015908,93.214875384432,-1733.0948540420272,-15.29%,29,0
NFLX,2015-04-01,2015-05-01,Long,394.0,5.958661041333,7.94204205795,781.4521205470979,33.29%,30,0
NFLX,2015-04-01,2015-06-01,Long,73.0,5.958661041333,8.906218808058,215.171716970925,49.47%,61,0
NFLX,2015-04-01,2015-07-01,Long,65.0,5.958661041333,9.375462910242,222.09212147908497,57.34%,91,0
NFLX,2015-04-01,2015-08-03,Long,144.0,5.958661041333,11.419569,786.3707460480479,91.65%,124,0
NFLX,2015-04-01,2015-09-01,Long,997.0,5.958661041333,11.491497,5516.237450790999,92.85%,153,0
AMZN,2015-04-01,2015-05-01,Long,53.0,18.57991402267,21.018485680794,129.24429788057205,13.12%,30,0
AMZN,2015-04-01,2015-08-03,Long,76.0,18.57991402267,26.717864995395,618.4842739271,43.80%,124,0
AMZN,2015-04-01,2015-09-01,Long,407.0,18.57991402267,25.558753664997,2840.3877344270886,37.56%,153,0
AMZN,2015-06-01,2015-09-01,Long,19.0,21.432562472321,25.558753664997,78.397632660844,19.25%,92,0
AMZN,2015-11-02,2015-12-01,Long,14.0,31.25280351193,33.12885694104,26.26474800753997,6.00%,29,0
AMZN,2015-11-02,2016-01-04,Long,327.0,31.25280351193,33.681502884897,794.1846949602088,7.77%,63,0
CRM,2015-05-01,2015-08-03,Long,141.0,72.027675267548,72.34765740252,45.117481031051156,0.44%,94,0
CRM,2015-06-01,2015-08-03,Long,8.0,71.9485565799,72.34765740252,3.1928065809599957,0.55%,63,0
CRM,2015-07-01,2015-08-03,Long,6.0,68.872817597584,72.34765740252,20.849038829615978,5.05%,33,0
AAPL,2015-05-01,2015-06-01,Long,365.0,27.8469151247788,29.05130467494,439.6021858088377,4.33%,31,0
JPM,2015-06-01,2015-07-01,Long,7.0,49.334397560448,50.717842205184,9.684112513152016,2.80%,30,0
JPM,2015-06-01,2015-09-01,Long,211.0,49.334397560448,48.29194397574,-219.95770637338788,-2.11%,92,0
JPM,2015-08-03,2015-09-01,Long,9.0,51.755446158416,48.29194397574,-31.17151964408402,-6.69%,29,0
GS,2015-06-01,2015-08-03,Long,64.0,167.055507574956,165.816117368532,-79.32097321113724,-0.74%,63,0
GE,2015-06-01,2015-07-01,Long,91.0,117.275648127968,115.006964383306,-206.45022076424192,-1.93%,30,0
GE,2015-12-01,2016-01-04,Long,83.0,131.059154964641,137.055446420306,497.692190820194,4.58%,34,0
IBM,2015-06-01,2015-07-01,Long,103.0,104.338463420633,99.8278126985304,-464.5970243765689,-4.32%,30,0
ABBV,2015-07-01,2015-09-01,Long,245.0,43.648133994465,40.762218396582,-707.0493214813347,-6.61%,62,0
GILD,2015-07-01,2015-09-01,Long,131.0,81.717785297148,73.188697307733,-1117.3105266133655,-10.44%,62,0
GILD,2015-08-03,2015-09-01,Long,7.0,82.262198284266,73.188697307733,-63.51450683573108,-11.03%,29,0
LLY,2015-07-01,2015-09-01,Long,154.0,69.532048867281,68.857636392045,-103.85952118634566,-0.97%,62,0
LLY,2015-08-03,2015-09-01,Long,8.0,70.381524131919,68.857636392045,-12.19110191899199,-2.17%,29,0
MS,2015-07-01,2015-08-03,Long,369.0,28.99708519708,29.095142948784,36.18331037877641,0.34%,33,0
BAC,2015-08-03,2015-09-01,Long,798.0,14.29418211221,13.022361369234,-1014.9129528948486,-8.90%,29,0
NKE,2015-08-03,2015-09-01,Long,226.0,50.506740295011,48.8877907350375,-365.8826005540112,-3.21%,29,0
GOOGL,2015-11-02,2016-01-04,Long,290.0,36.6296086351195,38.5701763653495,562.7646417666981,5.30%,63,0
LMT,2015-11-02,2015-12-01,Long,63.0,167.235846341564,167.617866779568,24.06728759425144,0.23%,29,0
MCD,2015-11-02,2016-01-04,Long,121.0,87.3954029949,92.517206229954,619.7381914415344,5.86%,63,0
TJX,2015-11-02,2015-12-01,Long,335.0,31.747643638711,30.65125204602,-367.29118355148466,-3.45%,29,0
COST,2015-11-02,2016-01-04,Long,80.0,132.838805851752,135.7572805263,233.47797396384067,2.20%,63,0
INTC,2015-11-02,2016-01-04,Long,400.0,26.602195942322,27.201930265575,239.89372930120112,2.25%,63,0
ADBE,2015-12-01,2016-01-04,Long,118.0,91.55146,93.84606,270.7627999999986,2.51%,34,0
