symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
META,22,19,3,86.4%,25395.14,0.00,25395.14,20.6%,-3.2%,6.50
GE,15,12,3,80.0%,24603.59,0.00,24603.59,16.5%,-1.5%,10.62
AMZN,25,20,5,80.0%,16665.81,0.00,16665.81,19.6%,-9.9%,1.99
C,10,10,0,100.0%,15564.83,0.00,15564.83,13.5%,N/A,N/A
EOG,15,13,2,86.7%,15550.80,0.00,15550.80,23.0%,-4.8%,4.83
AVGO,23,18,5,78.3%,15296.68,0.00,15296.68,12.1%,-5.6%,2.16
COST,14,11,3,78.6%,12700.72,0.00,12700.72,12.2%,-3.6%,3.42
FDX,12,9,3,75.0%,11922.77,0.00,11922.77,27.7%,-5.3%,5.19
GS,8,7,1,87.5%,11661.10,0.00,11661.10,14.9%,-0.7%,20.06
ORCL,10,8,2,80.0%,10759.45,0.00,10759.45,13.7%,-3.5%,3.90
GOOGL,13,9,4,69.2%,10285.75,0.00,10285.75,11.7%,-1.2%,9.85
MMM,7,5,2,71.4%,10069.32,0.00,10069.32,13.8%,-3.4%,4.06
T,9,8,1,88.9%,9894.47,0.00,9894.47,7.6%,-5.8%,1.32
TMO,9,9,0,100.0%,9441.75,0.00,9441.75,10.0%,N/A,N/A
MSFT,16,12,4,75.0%,9351.37,0.00,9351.37,6.4%,-2.8%,2.31
PM,9,7,2,77.8%,9119.06,0.00,9119.06,10.3%,-5.6%,1.83
AAPL,23,16,7,69.6%,9033.66,0.00,9033.66,15.8%,-5.0%,3.14
NFLX,31,21,10,67.7%,8929.71,0.00,8929.71,25.1%,-6.4%,3.91
SBUX,13,10,3,76.9%,8454.76,0.00,8454.76,10.1%,-3.3%,3.03
ADBE,17,13,4,76.5%,7207.33,0.00,7207.33,8.9%,-3.2%,2.82
MA,10,9,1,90.0%,7183.90,0.00,7183.90,13.7%,-4.7%,2.91
LLY,17,9,8,52.9%,7137.48,0.00,7137.48,12.4%,-4.2%,2.98
QCOM,17,11,6,64.7%,6364.17,0.00,6364.17,15.8%,-6.1%,2.61
XOM,7,3,4,42.9%,6216.71,0.00,6216.71,20.0%,-2.3%,8.76
WFC,6,5,1,83.3%,6197.70,0.00,6197.70,12.6%,-1.4%,8.83
AXP,8,5,3,62.5%,6038.79,0.00,6038.79,12.3%,-4.2%,2.89
MS,13,10,3,76.9%,5913.05,0.00,5913.05,10.4%,-6.8%,1.52
CVX,9,6,3,66.7%,5739.32,0.00,5739.32,9.4%,-2.2%,4.33
TGT,20,13,7,65.0%,4766.68,0.00,4766.68,10.6%,-6.0%,1.78
DE,12,4,8,33.3%,4464.49,0.00,4464.49,19.5%,-3.2%,6.12
WMT,8,3,5,37.5%,4349.35,0.00,4349.35,12.0%,-4.3%,2.79
COP,10,5,5,50.0%,4256.51,0.00,4256.51,14.3%,-2.8%,5.08
IBM,8,4,4,50.0%,4240.00,0.00,4240.00,9.0%,-2.7%,3.38
TXN,9,6,3,66.7%,3572.43,0.00,3572.43,8.6%,-4.9%,1.77
TJX,9,4,5,44.4%,2679.19,0.00,2679.19,19.3%,-3.0%,6.42
JPM,11,8,3,72.7%,2659.92,0.00,2659.92,5.5%,-5.2%,1.07
PNC,8,4,4,50.0%,2440.50,0.00,2440.50,20.3%,-4.2%,4.82
AMGN,10,6,4,60.0%,2032.84,0.00,2032.84,11.2%,-6.9%,1.63
SO,3,1,2,33.3%,2010.50,0.00,2010.50,7.5%,-1.8%,4.14
BAC,12,7,5,58.3%,1981.42,0.00,1981.42,20.2%,-5.8%,3.48
NEE,8,5,3,62.5%,1781.46,0.00,1781.46,5.2%,-2.2%,2.40
RTX,7,3,4,42.9%,1670.91,0.00,1670.91,13.2%,-5.4%,2.44
V,2,2,0,100.0%,1299.67,0.00,1299.67,5.1%,N/A,N/A
MDT,3,3,0,100.0%,1057.01,0.00,1057.01,4.5%,N/A,N/A
KO,2,2,0,100.0%,1026.54,0.00,1026.54,7.7%,N/A,N/A
MRK,6,3,3,50.0%,997.16,0.00,997.16,4.4%,-5.1%,0.86
MCD,7,5,2,71.4%,923.00,0.00,923.00,3.5%,-3.8%,0.90
CSCO,5,4,1,80.0%,807.77,0.00,807.77,12.1%,-7.2%,1.68
SLB,7,3,4,42.9%,750.21,0.00,750.21,17.5%,-4.6%,3.81
CRM,20,14,6,70.0%,604.72,0.00,604.72,6.3%,-7.8%,0.82
CAT,18,13,5,72.2%,-85.82,0.00,-85.82,14.9%,-9.5%,1.57
PG,7,3,4,42.9%,-267.36,0.00,-267.36,4.2%,-2.2%,1.89
ABT,4,1,3,25.0%,-518.57,0.00,-518.57,4.5%,-2.6%,1.77
UNP,3,1,2,33.3%,-596.96,0.00,-596.96,0.9%,-1.3%,0.67
LMT,8,5,3,62.5%,-883.19,0.00,-883.19,4.6%,-2.5%,1.83
DIS,8,4,4,50.0%,-995.50,0.00,-995.50,6.2%,-6.5%,0.96
DUK,2,0,2,0.0%,-1097.03,0.00,-1097.03,N/A,-4.1%,N/A
PEP,3,1,2,33.3%,-1284.94,0.00,-1284.94,2.1%,-4.3%,0.49
BLK,7,2,5,28.6%,-1456.60,0.00,-1456.60,7.3%,-4.7%,1.56
CMCSA,2,1,1,50.0%,-1508.58,0.00,-1508.58,1.8%,-6.5%,0.28
HON,3,0,3,0.0%,-1627.94,0.00,-1627.94,N/A,-3.2%,N/A
BA,15,7,8,46.7%,-1852.76,0.00,-1852.76,11.4%,-5.6%,2.05
LOW,12,5,7,41.7%,-1884.25,0.00,-1884.25,7.2%,-7.5%,0.97
VZ,3,0,3,0.0%,-2128.75,0.00,-2128.75,N/A,-4.6%,N/A
JNJ,2,0,2,0.0%,-2268.58,0.00,-2268.58,N/A,-8.2%,N/A
INTC,11,7,4,63.6%,-2311.08,0.00,-2311.08,5.1%,-5.1%,1.01
HD,8,3,5,37.5%,-2778.99,0.00,-2778.99,6.3%,-5.9%,1.07
UNH,12,7,5,58.3%,-2863.05,0.00,-2863.05,3.6%,-6.2%,0.58
BMY,10,7,3,70.0%,-2990.42,0.00,-2990.42,5.2%,-12.1%,0.43
NKE,13,5,8,38.5%,-3054.43,0.00,-3054.43,8.0%,-6.0%,1.34
BRK.B,2,0,2,0.0%,-3315.00,0.00,-3315.00,N/A,-6.6%,N/A
GILD,9,2,7,22.2%,-3694.34,0.00,-3694.34,10.1%,-6.5%,1.55
ABBV,12,6,6,50.0%,-4636.64,0.00,-4636.64,6.3%,-9.2%,0.68
USB,6,2,4,33.3%,-5291.50,0.00,-5291.50,1.5%,-6.5%,0.24
PFE,8,1,7,12.5%,-8225.96,0.00,-8225.96,4.6%,-6.7%,0.69
