symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
AVGO,2015-03-02,2015-06-01,Long,187.0,9.7853386669038,11.3641200228816,295.23211356784884,16.13%,91,0
AVGO,2015-03-02,2015-07-01,Long,823.0,9.7853386669038,10.2309717865005,366.7560574280852,4.55%,121,0
AVGO,2015-05-01,2015-07-01,Long,122.0,8.9882993456256,10.2309717865005,151.6060377867378,13.83%,61,0
AVGO,2016-09-01,2016-10-03,Long,718.0,13.778732584617,13.4877690129168,-208.91184448074338,-2.11%,32,0
AVGO,2017-03-01,2017-04-03,Long,48.0,16.6181762755008,17.2944344034504,32.46039014158072,4.07%,33,0
AVGO,2017-03-01,2017-06-01,Long,29.0,16.6181762755008,18.9151952454252,66.61355012780754,13.82%,92,0
AVGO,2017-03-01,2017-08-01,Long,636.0,16.6181762755008,19.565268478668,1874.350641214338,17.73%,153,0
AVGO,2019-03-01,2019-04-01,Long,57.0,22.836472266608,25.1113267066302,129.66670308126558,9.96%,31,0
AVGO,2019-03-01,2019-06-03,Long,572.0,22.836472266608,21.0136485399768,-1042.655171633046,-7.98%,94,0
AVGO,2020-07-01,2020-09-01,Long,520.0,27.926181110828,30.65556856518,1419.2814762630403,9.77%,62,0
AVGO,2020-08-03,2020-09-01,Long,41.0,28.0270519529,30.65556856518,107.7691811034801,9.38%,29,0
AVGO,2020-12-01,2021-01-04,Long,533.0,35.8570343032902,39.349920698991,1861.7084489085266,9.74%,34,0
AVGO,2022-01-03,2022-03-01,Long,416.0,61.6999506651528,54.3613732861248,-3052.848189675646,-11.89%,57,0
AVGO,2022-02-01,2022-03-01,Long,57.0,54.3255543134304,54.3613732861248,2.0416814435808277,0.07%,28,0
AVGO,2023-02-01,2023-03-01,Long,23.0,55.9894708998625,56.7639889527375,17.813915216124897,1.38%,28,0
AVGO,2023-02-01,2023-06-01,Long,409.0,55.9894708998625,77.7282733038168,8891.17018321731,38.83%,120,0
AVGO,2023-05-01,2023-06-01,Long,16.0,60.39191821663,77.7282733038168,277.38168139498885,28.71%,31,0
AVGO,2023-07-03,2023-10-02,Long,355.0,84.0620102099778,80.7675928079508,-1169.5181777195828,-3.92%,91,0
AVGO,2024-01-02,2024-02-01,Long,9.0,109.26425104595,115.2736485624,54.084577648049944,5.50%,30,0
AVGO,2024-01-02,2024-03-01,Long,13.0,109.26425104595,127.044260355013,231.14012101781887,16.27%,59,0
AVGO,2024-01-02,2024-05-01,Long,252.0,109.26425104595,127.563724601882,4611.467336094863,16.75%,120,0
AVGO,2024-04-01,2024-05-01,Long,5.0,130.290419054496,127.563724601882,-13.63347226306999,-2.09%,30,0
AVGO,2024-08-01,2024-09-03,Long,220.0,158.45316094608,160.24269682008,393.6978922799989,1.13%,33,0
LOW,2015-03-02,2015-05-01,Long,162.0,60.994793363504,56.763504467208,-685.468801199952,-6.94%,60,0
LOW,2017-05-01,2017-07-03,Long,160.0,72.530830580208,66.117812201802,-1026.0829405449613,-8.84%,63,0
LOW,2017-06-01,2017-07-03,Long,19.0,67.309772912382,66.117812201802,-22.647253501020103,-1.77%,32,0
LOW,2018-02-01,2018-04-02,Long,159.0,90.801490141362,75.92772861765,-2364.9280822702067,-16.38%,60,0
LOW,2018-03-01,2018-04-02,Long,20.0,77.718376551816,75.92772861765,-35.81295868331978,-2.30%,32,0
LOW,2019-04-01,2019-06-03,Long,148.0,96.788335172529,82.658885077296,-2091.1586140944837,-14.60%,63,0
LOW,2020-07-01,2020-12-01,Long,118.0,122.47236149148,141.933513899511,2296.4159841476594,15.89%,153,0
LOW,2020-11-02,2020-12-01,Long,2.0,144.34494991917,141.933513899511,-4.822872039317986,-1.67%,29,0
LOW,2021-11-01,2021-12-01,Long,9.0,216.544503420245,226.259852376285,87.43814060436003,4.49%,30,0
LOW,2021-11-01,2022-01-03,Long,4.0,216.544503420245,238.921753350735,89.50899972195998,10.33%,63,0
LOW,2021-11-01,2022-02-01,Long,107.0,216.544503420245,220.218325462773,393.0989585504962,1.70%,92,0
LOW,2024-11-01,2024-12-02,Long,150.0,256.945237571022,266.813320660938,1480.212463487402,3.84%,31,0
UNH,2015-03-02,2015-04-01,Long,3.0,95.334359976856,99.377137651734,12.128333024633989,4.24%,30,0
UNH,2015-03-02,2015-06-01,Long,100.0,95.334359976856,100.990157385366,565.5797408509998,5.93%,91,0
UNH,2015-05-01,2015-06-01,Long,8.0,93.77611399156,100.990157385366,57.71234715044807,7.69%,31,0
UNH,2016-05-02,2016-06-01,Long,94.0,112.745001857488,114.220179682803,138.66671557961007,1.31%,30,0
UNH,2016-07-01,2016-09-01,Long,84.0,121.45104443472,116.78754093462,-391.7342940084005,-3.84%,62,0
UNH,2017-08-01,2017-10-02,Long,72.0,167.6696487466,171.57014153658,280.8354808785605,2.33%,62,0
UNH,2018-07-02,2018-08-01,Long,67.0,217.564519318146,224.103751038882,438.1285252893109,3.01%,30,0
UNH,2020-01-02,2020-03-02,Long,58.0,266.851088069566,231.177868445277,-2069.0467382087622,-13.37%,60,0
UNH,2020-02-03,2020-03-02,Long,3.0,247.307908512665,231.177868445277,-48.390120202163985,-6.52%,28,0
UNH,2021-06-01,2021-07-01,Long,64.0,381.412138915808,371.396847515868,-640.9786495961598,-2.63%,30,0
UNH,2022-02-01,2022-03-01,Long,58.0,442.151802181089,444.349799904501,127.4838679578969,0.50%,28,0
UNH,2023-12-01,2024-01-02,Long,54.0,530.083098846301,505.389814630659,-1333.4373476446708,-4.66%,32,0
TGT,2015-03-02,2015-04-01,Long,176.0,55.937167630344,59.611040360928,646.6016005827843,6.57%,30,0
TGT,2015-05-01,2015-06-01,Long,177.0,57.393295903944,58.018892754276,110.73064250876435,1.09%,31,0
TGT,2016-04-01,2016-06-01,Long,176.0,61.71772152546,51.89671597536,-1728.4969768175995,-15.91%,61,0
TGT,2017-11-01,2017-12-01,Long,272.0,46.798124445072,47.8763884872,293.28781945881735,2.30%,30,0
TGT,2018-03-01,2018-05-01,Long,228.0,60.892479956308,58.50631599912,-544.0453822388647,-3.92%,61,0
TGT,2018-04-02,2018-05-01,Long,7.0,55.902219697324,58.50631599912,18.228674112571987,4.66%,29,0
TGT,2018-09-04,2018-11-01,Long,220.0,71.82125951,68.507555540328,-729.0148733278411,-4.61%,58,0
TGT,2019-05-01,2019-06-03,Long,232.0,64.642512208274,67.64217984027,695.922890623073,4.64%,33,0
TGT,2019-09-03,2019-12-02,Long,21.0,90.87188678568,106.594555504239,330.17604308973887,17.30%,90,0
TGT,2019-09-03,2020-01-02,Long,135.0,90.87188678568,109.26218929914,2482.6908393171,20.24%,121,0
TGT,2019-11-01,2020-01-02,Long,4.0,90.75303342105,109.26218929914,74.03662351236,20.40%,62,0
TGT,2020-06-01,2020-07-01,Long,133.0,105.619408211317,103.31451657549,-306.55058756498977,-2.18%,30,0
TGT,2020-10-01,2020-12-01,Long,9.0,136.596484907883,156.233703921984,176.73497112690893,14.38%,61,0
TGT,2020-10-01,2021-01-04,Long,119.0,136.596484907883,153.494744842764,2010.8929322508386,12.37%,95,0
TGT,2020-11-02,2021-01-04,Long,3.0,132.128010682668,153.494744842764,64.100202480288,16.17%,63,0
TGT,2021-07-01,2021-08-02,Long,7.0,212.080068901701,228.587438388357,115.55158640659192,7.78%,32,0
TGT,2021-07-01,2021-10-01,Long,107.0,212.080068901701,200.927724697449,-1193.3008298549628,-5.26%,92,0
TGT,2021-09-01,2021-10-01,Long,10.0,217.376174767752,200.927724697449,-164.48450070302982,-7.57%,30,0
TGT,2024-02-01,2024-03-01,Long,236.0,129.494933543976,143.149124347236,3222.389029569362,10.54%,29,0
TGT,2024-05-01,2024-06-03,Long,214.0,150.967678476615,147.188359408896,-808.7742804918662,-2.50%,33,0
SBUX,2015-03-02,2015-05-01,Long,8.0,37.666147497979,39.870710215164,17.636501737480046,5.85%,60,0
SBUX,2015-03-02,2015-07-01,Long,7.0,37.666147497979,43.256742743214,39.134166716645005,14.84%,121,0
SBUX,2015-03-02,2015-09-01,Long,247.0,37.666147497979,44.257766009922,1628.129772449922,17.50%,183,0
SBUX,2015-11-02,2015-12-01,Long,210.0,50.717462621826,49.822363107657,-187.9708979754909,-1.76%,29,0
SBUX,2018-12-03,2019-01-02,Long,263.0,57.390977227584,55.28468765232,-553.9541582944321,-3.67%,30,0
SBUX,2019-03-01,2019-04-01,Long,236.0,60.751412215494,64.150818212754,802.259815353361,5.60%,31,0
SBUX,2019-07-01,2019-08-01,Long,18.0,72.821202072619,82.090689754383,166.8507782717521,12.73%,31,0
SBUX,2019-07-01,2019-11-01,Long,169.0,72.821202072619,73.58642907084,129.3233626993483,1.05%,123,0
SBUX,2019-10-01,2019-11-01,Long,16.0,77.09955189937,73.58642907084,-56.20996525648002,-4.56%,31,0
SBUX,2020-11-02,2020-12-01,Long,6.0,77.412184641792,87.494141051226,60.491738456604,13.02%,29,0
SBUX,2020-11-02,2021-01-04,Long,218.0,77.412184641792,95.491973165274,3941.3938981190777,23.36%,63,0
SBUX,2023-03-01,2023-04-03,Long,243.0,95.50106290725,97.21477616175,416.43232084349825,1.79%,33,0
SBUX,2024-11-01,2024-12-02,Long,408.0,94.6827454573,99.710307885996,2051.2454709079684,5.31%,31,0
HD,2015-03-02,2015-05-01,Long,111.0,88.735511940075,82.986558036336,-638.1338833150282,-6.48%,60,0
HD,2015-11-02,2015-12-01,Long,109.0,97.10445688944,104.93667076752,853.7113127107198,8.07%,29,0
HD,2017-06-01,2017-07-03,Long,96.0,125.146451417988,124.80691207608,-32.59577682316876,-0.27%,32,0
HD,2018-02-01,2018-03-01,Long,87.0,165.58352487677,149.928360192369,-1361.9993275428872,-9.45%,28,0
HD,2019-10-01,2019-12-02,Long,71.0,199.603958720166,189.323021898567,-729.946514333529,-5.15%,62,0
HD,2020-08-03,2020-09-01,Long,67.0,232.778130425841,249.419973293064,1115.0034721039412,7.15%,29,0
HD,2021-12-01,2022-01-03,Long,2.0,360.951133800257,374.721855810237,27.541444019959954,3.82%,33,0
HD,2021-12-01,2022-02-01,Long,68.0,360.951133800257,331.354489398426,-2012.571819324511,-8.20%,62,0
BA,2015-03-02,2015-06-01,Long,74.0,132.885232725245,124.329795785964,-633.1023335067946,-6.44%,91,0
BA,2015-05-01,2015-06-01,Long,6.0,126.269600655198,124.329795785964,-11.638829215404058,-1.54%,31,0
BA,2017-01-03,2017-03-01,Long,5.0,144.481585856608,168.367384713366,119.42899428378993,16.53%,57,0
BA,2017-01-03,2017-05-01,Long,3.0,144.481585856608,172.664615860686,84.54909001223402,19.51%,118,0
BA,2017-01-03,2017-06-01,Long,67.0,144.481585856608,176.622146726328,2153.4175782712396,22.25%,149,0
BA,2017-08-01,2017-12-01,Long,53.0,228.692314875024,263.52389967264,1846.0739942736489,15.23%,122,0
BA,2018-02-01,2018-03-01,Long,2.0,337.953453992154,346.539638320155,17.17236865600205,2.54%,28,0
BA,2018-02-01,2018-05-01,Long,40.0,337.953453992154,319.12912884258,-752.9730059829603,-5.57%,89,0
BA,2018-04-02,2018-05-01,Long,1.0,314.26536240099,319.12912884258,4.8637664415899735,1.55%,29,0
BA,2019-03-01,2019-05-01,Long,33.0,429.947218002302,368.327844253206,-2033.4393337201675,-14.33%,61,0
BA,2019-04-01,2019-05-01,Long,5.0,372.858141718062,368.327844253206,-22.651487324279742,-1.22%,30,0
BA,2021-01-04,2021-02-01,Long,92.0,214.27406,193.99581,-1865.5989999999988,-9.46%,28,0
BA,2023-02-01,2023-05-01,Long,113.0,213.213,206.57322,-750.2951400000002,-3.11%,89,0
BA,2023-03-01,2023-05-01,Long,2.0,201.75155,206.57322,9.643339999999966,2.39%,61,0
BA,2023-04-03,2023-05-01,Long,3.0,212.64243,206.57322,-18.207629999999995,-2.85%,28,0
RTX,2015-03-02,2015-04-01,Long,196.0,50.2948548829339,48.3168633457576,-387.68634128655503,-3.93%,30,0
RTX,2019-05-01,2019-06-03,Long,232.0,64.7775298017459,57.5701988723556,-1672.1007756185502,-11.13%,33,0
RTX,2021-06-01,2021-08-02,Long,308.0,80.141226489324,78.39428482242,-538.0580334064298,-2.18%,62,0
RTX,2022-04-01,2022-05-02,Long,280.0,91.069406457029,87.071039079723,-1119.542865645683,-4.39%,31,0
RTX,2024-05-01,2024-06-03,Long,16.0,98.114622317712,104.61102944481,103.94251403356793,6.62%,33,0
RTX,2024-05-01,2024-08-01,Long,314.0,98.114622317712,114.00380159049,4989.20229165229,16.19%,92,0
RTX,2024-07-01,2024-08-01,Long,18.0,97.60621531661,114.00380159049,295.1565529298399,16.80%,31,0
PFE,2015-03-02,2015-05-01,Long,477.0,20.6738723402154,20.3981049258144,-131.5410566692765,-1.33%,60,0
PFE,2016-07-01,2016-08-01,Long,16.0,22.141579217889,23.1516865551539,16.16171739623843,4.56%,31,0
PFE,2016-07-01,2016-09-01,Long,448.0,22.141579217889,22.0215771727147,-53.76091623808611,-0.54%,62,0
PFE,2018-10-01,2018-11-01,Long,534.0,30.1476599643593,29.3910515330869,-404.0289022994601,-2.51%,31,0
PFE,2018-12-03,2019-01-02,Long,474.0,31.8554843354834,30.023712774222,-868.2597200379043,-5.75%,30,0
PFE,2021-09-01,2021-11-01,Long,686.0,37.221963333555,35.276909653125,-1334.30682477498,-5.23%,61,0
PFE,2022-01-03,2022-03-01,Long,534.0,48.12785344367,38.46343322484,-5160.8003968552175,-20.08%,57,0
PFE,2022-02-01,2022-03-01,Long,60.0,43.28716043652,38.46343322484,-289.42363270079966,-11.14%,28,0
DIS,2015-03-02,2015-07-01,Long,104.0,94.866460152464,103.79166222222,928.2210152546237,9.41%,121,0
DIS,2015-06-01,2015-07-01,Long,2.0,100.599646493346,103.79166222222,6.384031457747994,3.17%,30,0
DIS,2015-08-03,2015-09-01,Long,103.0,110.041039015908,93.214875384432,-1733.0948540420272,-15.29%,29,0
DIS,2017-03-01,2017-04-03,Long,115.0,103.101584262677,105.979931149833,331.00989202294153,2.79%,33,0
DIS,2019-07-01,2019-09-03,Long,101.0,134.94345462598,133.11180031464,-184.9970854453403,-1.36%,64,0
DIS,2021-02-01,2021-04-01,Long,117.0,164.474892413832,180.162684088884,1835.471625981082,9.54%,59,0
DIS,2021-03-01,2021-04-01,Long,6.0,184.93401210284,180.162684088884,-28.62796808373605,-2.58%,31,0
DIS,2024-05-01,2024-06-03,Long,297.0,108.98688362562,101.748289974885,-2149.8623142682945,-6.64%,33,0
NFLX,2015-04-01,2015-05-01,Long,394.0,5.958661041333,7.94204205795,781.4521205470979,33.29%,30,0
NFLX,2015-04-01,2015-06-01,Long,73.0,5.958661041333,8.906218808058,215.171716970925,49.47%,61,0
NFLX,2015-04-01,2015-07-01,Long,65.0,5.958661041333,9.375462910242,222.09212147908497,57.34%,91,0
NFLX,2015-04-01,2015-08-03,Long,144.0,5.958661041333,11.419569,786.3707460480479,91.65%,124,0
NFLX,2015-04-01,2015-09-01,Long,997.0,5.958661041333,11.491497,5516.237450790999,92.85%,153,0
NFLX,2016-11-01,2017-01-03,Long,19.0,12.499487,12.36762,-2.505472999999995,-1.05%,63,0
NFLX,2016-11-01,2017-02-01,Long,92.0,12.499487,14.056929,143.284664,12.46%,92,0
NFLX,2016-11-01,2017-03-01,Long,675.0,12.499487,14.198787,1147.0274999999995,13.59%,120,0
NFLX,2016-12-01,2017-03-01,Long,117.0,11.7117,14.198787,290.98917899999987,21.24%,90,0
NFLX,2017-04-03,2017-05-01,Long,779.0,14.795781,15.20478,318.61022099999974,2.76%,28,0
NFLX,2017-11-01,2017-12-01,Long,648.0,19.662643,18.739242,-598.3638479999989,-4.70%,30,0
NFLX,2018-03-01,2018-04-02,Long,32.0,29.167138,29.505465,10.826463999999987,1.16%,32,0
NFLX,2018-03-01,2018-05-01,Long,11.0,29.167138,31.214754,22.523775999999977,7.02%,61,0
NFLX,2018-03-01,2018-06-01,Long,27.0,29.167138,35.12484,160.85795399999995,20.43%,92,0
NFLX,2018-03-01,2018-07-02,Long,34.0,29.167138,39.103857,337.84844599999985,34.07%,123,0
NFLX,2018-03-01,2018-09-04,Long,373.0,29.167138,36.731232,2821.407061999999,25.93%,187,0
NFLX,2018-08-01,2018-09-04,Long,62.0,33.778745,36.731232,183.05419399999988,8.74%,34,0
NFLX,2019-03-01,2019-05-01,Long,400.0,35.84581,37.016946,468.4543999999988,3.27%,61,0
NFLX,2020-02-03,2020-03-02,Long,438.0,34.543509,36.866097,1017.2935440000014,6.72%,28,0
NFLX,2020-06-01,2020-07-01,Long,15.0,42.014973,45.458496,51.652844999999985,8.20%,30,0
NFLX,2020-06-01,2020-08-03,Long,319.0,42.014973,48.839112,2176.900341000001,16.24%,63,0
