Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
C,0,0,0,7459.466642972438,0,7459.466642972438,Closed
IBM,0,0,0,7008.734827017488,0,7008.734827017488,Closed
GOOGL,0,0,0,5330.754803258741,0,5330.754803258741,Closed
MS,0,0,0,5203.811871937872,0,5203.811871937872,Closed
GS,0,0,0,4430.524720877311,0,4430.524720877311,Closed
TSLA,75.0,33063.03,34602.64831335064,586.9024600000002,1539.618313350642,2126.5207733506422,Open (75 sh)
ORCL,0,0,0,1673.846397772485,0,1673.846397772485,Closed
GILD,0,0,0,1355.16213252858,0,1355.16213252858,Closed
BLK,0,0,0,339.744773969637,0,339.744773969637,Closed
AMZN,0,0,0,-187.47849000000136,0,-187.47849000000136,Closed
CRM,0,0,0,-508.6516591821518,0,-508.6516591821518,Closed
SLB,0,0,0,-529.5028937937241,0,-529.5028937937241,Closed
NOW,0,0,0,-791.5239000000013,0,-791.5239000000013,Closed
META,0,0,0,-1051.1533852887965,0,-1051.1533852887965,Closed
LULU,0,0,0,-1094.2796299999945,0,-1094.2796299999945,Closed
ILMN,0,0,0,-1095.4173899999982,0,-1095.4173899999982,Closed
VRTX,0,0,0,-1294.585390000002,0,-1294.585390000002,Closed
NVDA,0,0,0,-1414.3061772255412,0,-1414.3061772255412,Closed
NKE,0,0,0,-1597.5208643732428,0,-1597.5208643732428,Closed
MU,212.0,33340.22544607155,34892.751686649346,-3179.5224791603987,1552.5262405777976,-1626.996238582601,Open (212 sh)
HD,0,0,0,-2200.0977159876406,0,-2200.0977159876406,Closed
KLAC,0,0,0,-2303.9464136082206,0,-2303.9464136082206,Closed
WFC,0,0,0,-3380.02494730344,0,-3380.02494730344,Closed
AVGO,0,0,0,-3699.611228077352,0,-3699.611228077352,Closed
AMD,0,0,0,-4503.725929999992,0,-4503.725929999992,Closed
SBUX,0,0,0,-4837.168370694148,0,-4837.168370694148,Closed
TOTAL,,,,-279.5682343600938,3092.1445539284396,2812.5763195683458,
