Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
GOOGL,0,0,0,5612.794069687721,0,5612.794069687721,Closed
GS,0,0,0,4505.7131359259,0,4505.7131359259,Closed
ORCL,0,0,0,3280.976311493175,0,3280.976311493175,Closed
C,0,0,0,2290.188081028548,0,2290.188081028548,Closed
AVGO,0,0,0,1220.0986764806935,0,1220.0986764806935,Closed
NOW,0,0,0,-801.2958000000013,0,-801.2958000000013,Closed
ILMN,0,0,0,-1294.382769999997,0,-1294.382769999997,Closed
HD,0,0,0,-1309.283345439222,0,-1309.283345439222,Closed
NKE,0,0,0,-1616.584359174833,0,-1616.584359174833,Closed
MU,214.0,33654.75587480807,35214.915093995165,-3214.3483395764024,1560.159219187095,-1654.1891203893074,Open (214 sh)
AMD,0,0,0,-2057.1885299999963,0,-2057.1885299999963,Closed
TSLA,76.0,33503.8704,35057.03490600483,-5927.160200000001,1553.1645060048322,-4373.995693995169,Open (76 sh)
TOTAL,,,,689.5269304255853,3113.323725191927,3802.8506556175125,
