symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
MRNA,21,15,6,71.4%,190556.39,0.00,190556.39,27.7%,-11.2%,2.48
NVDA,44,26,18,59.1%,131508.57,0.00,131508.57,27.7%,-6.6%,4.17
META,14,7,7,50.0%,97873.31,0.00,97873.31,22.3%,-4.3%,5.22
CRM,13,10,3,76.9%,97703.96,0.00,97703.96,9.8%,-3.8%,2.55
MRVL,16,11,5,68.8%,80649.78,0.00,80649.78,11.4%,-5.9%,1.92
SHOP,30,22,8,73.3%,77098.48,0.00,77098.48,18.7%,-5.6%,3.34
MU,24,14,10,58.3%,53103.80,0.00,53103.80,18.3%,-6.3%,2.92
AMD,30,20,10,66.7%,50509.35,0.00,50509.35,32.0%,-8.6%,3.73
SBUX,16,11,5,68.8%,47084.84,0.00,47084.84,7.8%,-3.2%,2.48
TSLA,29,16,13,55.2%,44125.99,0.00,44125.99,35.7%,-11.5%,3.09
LLY,22,15,7,68.2%,42627.49,0.00,42627.49,3.8%,-5.0%,0.76
NOW,17,13,4,76.5%,37364.34,0.00,37364.34,6.6%,-5.8%,1.15
GOOGL,8,5,3,62.5%,34176.44,0.00,34176.44,9.4%,-2.6%,3.68
AVGO,17,9,8,52.9%,26738.12,0.00,26738.12,10.4%,-5.7%,1.84
AMAT,16,7,9,43.8%,25147.92,0.00,25147.92,15.8%,-6.1%,2.57
LULU,19,11,8,57.9%,24285.51,0.00,24285.51,12.2%,-5.2%,2.35
AMZN,16,9,7,56.2%,17933.49,0.00,17933.49,16.0%,-2.7%,5.98
HD,10,5,5,50.0%,3172.18,0.00,3172.18,5.4%,-3.8%,1.42
COST,8,3,5,37.5%,1788.41,0.00,1788.41,5.4%,-2.5%,2.18
AAPL,16,6,10,37.5%,1427.10,0.00,1427.10,15.0%,-4.9%,3.06
XYZ,26,16,10,61.5%,731.66,0.00,731.66,21.6%,-9.4%,2.28
V,2,0,2,0.0%,-954.14,0.00,-954.14,N/A,-2.2%,N/A
MSFT,5,2,3,40.0%,-1888.54,0.00,-1888.54,1.7%,-2.2%,0.77
MA,6,4,2,66.7%,-3735.60,0.00,-3735.60,6.6%,-4.8%,1.37
NKE,13,6,7,46.2%,-4480.79,0.00,-4480.79,4.4%,-4.1%,1.07
VRTX,15,10,5,66.7%,-6164.09,0.00,-6164.09,3.1%,-3.1%,0.98
GS,8,4,4,50.0%,-7386.46,0.00,-7386.46,4.1%,-4.0%,1.04
PANW,26,14,12,53.8%,-9184.57,0.00,-9184.57,10.5%,-9.2%,1.14
ADBE,7,4,3,57.1%,-16956.74,0.00,-16956.74,7.2%,-5.4%,1.33
NFLX,22,9,13,40.9%,-20537.62,0.00,-20537.62,8.1%,-5.2%,1.55
JPM,6,1,5,16.7%,-20802.09,0.00,-20802.09,4.6%,-4.5%,1.02
REGN,15,6,9,40.0%,-22223.70,0.00,-22223.70,7.8%,-4.1%,1.91
LRCX,16,8,8,50.0%,-41369.58,0.00,-41369.58,12.2%,-6.9%,1.77
