symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
LULU,2015-01-02,2015-02-02,Long,49.0,55.84579,66.17376,506.07053,18.49%,31,0
LULU,2015-01-02,2015-03-06,Long,305.0,55.84579,64.78515,2726.5048,16.01%,63,0
LULU,2015-03-02,2015-03-06,Long,21.0,68.50844,64.78515,-78.18908999999982,-5.43%,4,0
LULU,2016-08-01,2016-09-01,Long,313.0,77.72765,76.43349,-405.07207999999713,-1.66%,31,0
LULU,2017-08-01,2017-08-16,Long,555.0,61.70164,59.4405,-1254.9326999999987,-3.66%,15,0
LULU,2018-01-02,2018-03-01,Long,399.0,78.66859,81.0189,937.773690000003,2.99%,58,0
LULU,2018-02-01,2018-03-01,Long,38.0,78.28821,81.0189,103.76621999999983,3.49%,28,0
LULU,2018-05-01,2018-05-07,Long,319.0,99.8998,95.39451,-1437.1875100000007,-4.51%,6,0
LULU,2018-06-01,2018-07-02,Long,41.0,105.15505,124.72515,802.3740999999999,18.61%,31,0
LULU,2018-06-01,2018-07-30,Long,294.0,105.15505,119.88,4329.135299999998,14.00%,59,0
LULU,2018-08-01,2018-09-04,Long,320.0,120.06995,154.77507,11105.638399999998,28.90%,34,0
LULU,2018-10-01,2018-10-09,Long,305.0,162.65249,150.62922,-3667.097349999999,-7.39%,8,0
LULU,2018-11-01,2018-11-20,Long,328.0,140.87073,126.86301,-4594.5321600000025,-9.94%,19,0
LULU,2019-06-03,2019-07-01,Long,311.0,165.75559,180.02979,4439.276199999994,8.61%,28,0
LULU,2020-07-01,2020-08-03,Long,276.0,312.32201,325.26441,3572.1024000000057,4.14%,33,0
LULU,2022-10-03,2022-11-01,Long,418.0,279.83956,328.71096,20428.245199999998,17.46%,29,0
LULU,2023-05-01,2023-05-17,Long,382.0,380.30993,371.14848,-3499.6739000000007,-2.41%,16,0
LULU,2024-01-02,2024-01-16,Long,361.0,511.80129,479.46006,-11675.184029999999,-6.32%,14,0
LULU,2024-11-01,2024-11-20,Long,581.0,298.1979,301.54815,1946.4952500000097,1.12%,19,0
AVGO,2015-01-02,2015-03-02,Long,2562.0,7.7127974965041,9.7657875406962,5259.76049322016,26.62%,59,0
AVGO,2015-04-01,2015-04-29,Long,2253.0,9.7650089913376,9.014087233656,-1691.826720056647,-7.69%,28,0
AVGO,2016-01-04,2016-01-07,Long,2286.0,11.263538653367,10.3225451781438,-2151.1110843602355,-8.35%,3,0
AVGO,2016-04-01,2016-04-20,Long,1953.0,12.028790388615,11.7382434694371,-567.4381331544404,-2.42%,19,0
AVGO,2017-03-01,2017-04-03,Long,88.0,16.6181762755008,17.2944344034504,59.51071525956465,4.07%,33,0
AVGO,2017-03-01,2017-04-13,Long,1709.0,16.6181762755008,16.523546205708,-161.7227892758944,-0.57%,43,0
AVGO,2018-11-01,2019-01-02,Long,297.0,18.3414547279964,21.046107109716,803.2817573707215,14.75%,62,0
AVGO,2018-11-01,2019-01-04,Long,2228.0,18.3414547279964,19.115970182712,1725.6204331063595,4.22%,64,0
AVGO,2019-02-01,2019-03-01,Long,2161.0,22.246817567975,22.790844949392,1175.6431712421352,2.45%,28,0
AVGO,2022-01-03,2022-01-10,Long,2295.0,61.6999506651528,57.295799179668,-10107.527659187606,-7.14%,7,0
AVGO,2022-02-01,2022-04-01,Long,2392.0,54.3255543134304,58.6642766867136,10378.223916893407,7.99%,59,0
AVGO,2023-01-03,2023-02-23,Long,2242.0,53.5125773307125,55.0332455785875,3409.3382117357364,2.84%,51,0
AVGO,2023-02-01,2023-02-23,Long,150.0,55.9894708998625,55.0332455785875,-143.43379819125096,-1.71%,22,0
AVGO,2023-07-03,2023-08-10,Long,2143.0,84.0620102099778,82.2789028317042,-3821.1991116403215,-2.12%,38,0
AVGO,2023-12-01,2024-01-02,Long,1920.0,90.2004278277102,109.04594085405,36183.38501057242,20.89%,32,0
AVGO,2024-02-01,2024-03-01,Long,1516.0,115.5044266376,127.044260355013,17494.38791559809,9.99%,29,0
AVGO,2024-08-01,2024-08-08,Long,1278.0,158.45316094608,134.11296091188,-31106.775643707595,-15.36%,7,0
V,2015-01-02,2015-01-16,Long,325.0,60.617278917195,58.4034872850158,-719.4822804582407,-3.65%,14,0
V,2017-09-01,2017-09-26,Long,342.0,97.86200047624,97.1758753515,-234.65479266108068,-0.70%,25,0
AMAT,2015-01-02,2015-01-07,Long,908.0,21.751428935236,20.253221979525,-1360.3719157855862,-6.89%,5,0
AMAT,2016-01-04,2016-01-08,Long,1547.0,16.636270916265,15.304669205805,-2059.9878460816217,-8.00%,4,0
AMAT,2016-04-01,2016-05-02,Long,1239.0,18.974926772802,18.302204607867,-833.502762354464,-3.55%,31,0
AMAT,2016-07-01,2016-09-01,Long,1015.0,21.568642716621,26.889172719192,5400.337952609566,24.67%,62,0
AMAT,2016-08-01,2016-09-01,Long,14.0,23.656220985397,26.889172719192,45.26132427313002,13.67%,31,0
AMAT,2017-11-01,2017-11-30,Long,661.0,51.494035046454,48.267556446681,-2132.702354449955,-6.27%,29,0
AMAT,2017-12-01,2018-01-02,Long,692.0,48.236216421393,46.634615111592,-1108.3081063822954,-3.32%,32,0
AMAT,2019-08-01,2019-08-06,Long,1238.0,46.326231399448,42.572062107216,-4647.661583783215,-8.10%,5,0
AMAT,2020-12-01,2021-01-04,Long,13.0,79.065562672096,82.56213597924,45.455452992872054,4.42%,34,0
AMAT,2020-12-01,2021-01-28,Long,1197.0,79.065562672096,94.310259152184,18247.901686665347,19.28%,58,0
AMAT,2021-02-01,2021-03-01,Long,149.0,92.677723073936,113.285485809306,3070.5566475701303,22.24%,28,0
AMAT,2021-02-01,2021-03-05,Long,1100.0,92.677723073936,103.748379592176,12177.722170064,11.95%,32,0
AMAT,2021-04-01,2021-05-11,Long,909.0,128.31238756336,119.515756202406,-7996.137907107194,-6.86%,40,0
AMAT,2021-05-03,2021-05-11,Long,15.0,127.457611927646,119.515756202406,-119.12783587860005,-6.23%,8,0
AMAT,2023-01-03,2023-02-01,Long,1264.0,94.88404304379,108.415340430705,17103.55989706056,14.26%,29,0
AMAT,2024-04-01,2024-04-19,Long,882.0,203.150301952598,191.035703901168,-10685.075481361255,-5.96%,18,0
