Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,76483.2103277442,0,76483.2103277442,Closed
GE,0,0,0,29903.392711561057,0,29903.392711561057,Closed
TSLA,201.0,42666.46279602597,70586.74190567891,0,27920.27910965294,27920.27910965294,Open (201 sh)
META,0,0,0,16265.197876639984,0,16265.197876639984,Closed
GS,117.0,54381.91152271,70645.24034577092,0,16263.328823060918,16263.328823060918,Open (117 sh)
NFLX,785.0,56603.533999999985,70828.30638016814,0,14224.772380168157,14224.772380168157,Open (785 sh)
GOOGL,0,0,0,12133.623964051512,0,12133.623964051512,Closed
AVGO,0,0,0,12000.538664126012,0,12000.538664126012,Closed
BLK,0,0,0,11895.564360236021,0,11895.564360236021,Closed
CRM,212.0,59302.60856211599,70635.33447591914,0,11332.725913803151,11332.725913803151,Open (212 sh)
AAPL,0,0,0,7144.138883968466,0,7144.138883968466,Closed
JPM,0,0,0,5823.146603380039,0,5823.146603380039,Closed
UPS,0,0,0,4573.514892862993,0,4573.514892862993,Closed
AMZN,0,0,0,4517.28588468401,0,4517.28588468401,Closed
UNH,0,0,0,4262.703505529964,0,4262.703505529964,Closed
LLY,0,0,0,3416.058233609074,0,3416.058233609074,Closed
COST,0,0,0,3080.280469476944,0,3080.280469476944,Closed
MSFT,0,0,0,2943.247446633992,0,2943.247446633992,Closed
PG,0,0,0,2359.4444052479957,0,2359.4444052479957,Closed
NKE,0,0,0,1878.2023697269906,0,1878.2023697269906,Closed
HD,0,0,0,1751.2304326360172,0,1751.2304326360172,Closed
CAT,0,0,0,1724.0753519520222,0,1724.0753519520222,Closed
HON,0,0,0,-561.316132481501,0,-561.316132481501,Closed
ABBV,0,0,0,-1101.4935253000003,0,-1101.4935253000003,Closed
JNJ,0,0,0,-1739.347315824998,0,-1739.347315824998,Closed
V,0,0,0,-2217.1216517110006,0,-2217.1216517110006,Closed
CMCSA,0,0,0,-2218.584034735919,0,-2218.584034735919,Closed
PFE,0,0,0,-3513.4385026709933,0,-3513.4385026709933,Closed
DIS,602.0,75429.22520106702,70848.94689246286,0,-4580.27830860416,-4580.27830860416,Open (602 sh)
TOTAL,,,,190803.55522134286,65160.827918081006,255964.38313942385,
