Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,52.0,-1657.6077440714143,18011.68273865952,0,19669.290482730936,19669.290482730936,Open (52 sh)
META,0,0,0,16709.243838412003,0,16709.243838412003,Closed
NFLX,202.0,2575.8610000000335,17976.802032909327,0,15400.941032909293,15400.941032909293,Open (202 sh)
GOOGL,0,0,0,13539.697917658486,0,13539.697917658486,Closed
AVGO,0,0,0,10861.367140600429,0,10861.367140600429,Closed
COST,18.0,7063.7066275509715,17464.465427069998,0,10400.758799519026,10400.758799519026,Open (18 sh)
ORCL,101.0,6508.819096839019,16738.26835755117,0,10229.44926071215,10229.44926071215,Open (101 sh)
GLD,82.0,10290.869999999966,20209.474281189894,0,9918.604281189928,9918.604281189928,Open (82 sh)
AMZN,86.0,8535.348948546001,17941.6563951631,0,9406.307446617098,9406.307446617098,Open (86 sh)
MSFT,0,0,0,8703.516086559,0,8703.516086559,Closed
CRM,54.0,9612.212214492,17746.13458294135,0,8133.922368449352,8133.922368449352,Open (54 sh)
ADBE,0,0,0,8092.279999999999,0,8092.279999999999,Closed
TXN,0,0,0,7644.501307450002,0,7644.501307450002,Closed
JPM,73.0,10393.558608463005,17860.659496015072,0,7467.100887552067,7467.100887552067,Open (73 sh)
LLY,0,0,0,7414.281780057019,0,7414.281780057019,Closed
CAT,44.0,11729.036483031989,17665.157911484683,0,5936.121428452694,5936.121428452694,Open (44 sh)
AAPL,0,0,0,5103.033232453992,0,5103.033232453992,Closed
XOM,0,0,0,4232.572528072982,0,4232.572528072982,Closed
UNH,0,0,0,3163.835894849006,0,3163.835894849006,Closed
HD,42.0,13571.940298756002,16733.257135410615,0,3161.3168366546124,3161.3168366546124,Open (42 sh)
V,57.0,15939.098529543,17895.855476635927,0,1956.7569470929266,1956.7569470929266,Open (57 sh)
AMD,0,0,0,812.4700000000157,0,812.4700000000157,Closed
PG,102.0,17119.412078132038,17876.885673286564,0,757.4735951545263,757.4735951545263,Open (102 sh)
SHY,256.0,20856.200075849978,20222.270272064317,0,-633.9298037856606,-633.9298037856606,Open (256 sh)
JNJ,0,0,0,-2543.656020551003,0,-2543.656020551003,Closed
MA,34.0,19204.57951394499,15666.480219618412,0,-3538.099294326579,-3538.099294326579,Open (34 sh)
TLT,0,0,0,-15553.04358494602,0,-15553.04358494602,Closed
TOTAL,,,,68180.10012061591,98266.01426892237,166446.1143895383,
