Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,15870.953840712842,0,15870.953840712842,Closed
META,0,0,0,10716.265331422004,0,10716.265331422004,Closed
TSLA,47.0,20288.02,19828.361860909186,9558.434693746784,-459.6581390908141,9098.77655465597,Open (47 sh)
GE,0,0,0,8160.422467650444,0,8160.422467650444,Closed
NFLX,228.0,20692.14,20223.325864061324,7852.426999999996,-468.81413593867546,7383.612864061321,Open (228 sh)
AMZN,93.0,20580.9,20114.606187453774,7827.328974462,-466.29381254622785,7361.035161915772,Open (93 sh)
GOOGL,0,0,0,4395.117487386507,0,4395.117487386507,Closed
CAT,0,0,0,3651.4711154370075,0,3651.4711154370075,Closed
AMD,0,0,0,3545.3800000000065,0,3545.3800000000065,Closed
COST,0,0,0,1850.9867105630012,0,1850.9867105630012,Closed
BLK,0,0,0,1686.566534210996,0,1686.566534210996,Closed
MSFT,0,0,0,1554.4080308529997,0,1554.4080308529997,Closed
GS,0,0,0,1271.688612202,0,1271.688612202,Closed
AAPL,82.0,20587.28856704,20120.85001110151,1483.3239862830005,-466.43855593849,1016.8854303445105,Open (82 sh)
DIS,0,0,0,764.0248685089996,0,764.0248685089996,Closed
V,0,0,0,592.6463862300027,0,592.6463862300027,Closed
AVGO,88.0,20545.385244384,20079.8960764742,584.5035411846864,-465.4891679098,119.01437327488634,Open (88 sh)
JNJ,0,0,0,108.19671941000513,0,108.19671941000513,Closed
JPM,0,0,0,1.8401318320005657,0,1.8401318320005657,Closed
PG,0,0,0,-54.47719191600402,0,-54.47719191600402,Closed
UNH,0,0,0,-283.71207179799194,0,-283.71207179799194,Closed
HON,0,0,0,-305.33651802483814,0,-305.33651802483814,Closed
LLY,0,0,0,-595.5149533670086,0,-595.5149533670086,Closed
CRM,0,0,0,-1273.378467092001,0,-1273.378467092001,Closed
ABBV,0,0,0,-1369.0207542310034,0,-1369.0207542310034,Closed
UPS,0,0,0,-2026.5100365830056,0,-2026.5100365830056,Closed
NKE,0,0,0,-2544.8115309510026,0,-2544.8115309510026,Closed
HD,0,0,0,-3606.9643489670043,0,-3606.9643489670043,Closed
TOTAL,,,,69416.26055916543,-2326.6938114240074,67089.56674774142,
