Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,30711.291977266257,0,30711.291977266257,Closed
TSLA,67.0,-325.612338094601,24115.05822227235,0,24440.67056036695,24440.67056036695,Open (67 sh)
AVGO,0,0,0,17284.640171703184,0,17284.640171703184,Closed
META,40.0,7456.4526590259775,23633.10150832188,0,16176.648849295903,16176.648849295903,Open (40 sh)
ORCL,134.0,12521.571207747991,24070.788774633646,0,11549.217566885654,11549.217566885654,Open (134 sh)
COST,0,0,0,6917.164666686978,0,6917.164666686978,Closed
AMZN,0,0,0,6279.98028861799,0,6279.98028861799,Closed
GS,42.0,18016.619756408007,23928.474032527527,0,5911.85427611952,5911.85427611952,Open (42 sh)
NFLX,270.0,18478.72900000002,24141.028163583374,0,5662.299163583353,5662.299163583353,Open (270 sh)
LLY,0,0,0,5050.923712775999,0,5050.923712775999,Closed
ADBE,0,0,0,4565.720000000008,0,4565.720000000008,Closed
AAPL,102.0,19939.4224971465,24039.695852623347,0,4100.273355476846,4100.273355476846,Open (102 sh)
HON,0,0,0,2557.8458897730343,0,2557.8458897730343,Closed
ABBV,0,0,0,2499.0307148070133,0,2499.0307148070133,Closed
UNH,0,0,0,2245.9616150520014,0,2245.9616150520014,Closed
CAT,63.0,22210.903739948,23879.05617788503,0,1668.1524379370312,1668.1524379370312,Open (63 sh)
CRM,69.0,22443.566320629994,24104.75792934272,0,1661.1916087127247,1661.1916087127247,Open (69 sh)
HD,59.0,22672.594508936003,23918.16788689659,0,1245.573377960587,1245.573377960587,Open (59 sh)
JPM,104.0,20839.658711847005,21874.901451913523,0,1035.2427400665183,1035.2427400665183,Open (104 sh)
GOOGL,0,0,0,632.9324027120019,0,632.9324027120019,Closed
V,0,0,0,623.5018472309966,0,623.5018472309966,Closed
MSFT,0,0,0,548.9040327670082,0,548.9040327670082,Closed
MA,0,0,0,258.7199336279991,0,258.7199336279991,Closed
JNJ,0,0,0,-73.5146966400007,0,-73.5146966400007,Closed
UPS,0,0,0,-149.01888694199806,0,-149.01888694199806,Closed
TOTAL,,,,79954.08366943848,73451.12393640509,153405.20760584355,
