symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
GAP,45,30,15,66.7%,61293.02,0.00,61293.02,23.3%,-5.0%,4.63
NVDA,108,74,34,68.5%,46309.62,0.00,46309.62,12.6%,-3.9%,3.22
TSLA,64,37,27,57.8%,44198.26,0.00,44198.26,28.3%,-6.1%,4.63
GRPN,27,16,11,59.3%,24968.72,0.00,24968.72,41.0%,-12.4%,3.32
META,38,24,14,63.2%,13864.84,0.00,13864.84,24.6%,-3.5%,7.11
SWKS,32,23,9,71.9%,10430.17,0.00,10430.17,12.5%,-3.6%,3.51
KSS,32,16,16,50.0%,9898.15,0.00,9898.15,15.1%,-7.8%,1.94
KLAC,35,25,10,71.4%,9893.87,0.00,9893.87,10.4%,-3.2%,3.29
EXPE,30,24,6,80.0%,9624.65,0.00,9624.65,7.0%,-1.5%,4.78
AVGO,39,25,14,64.1%,8495.41,0.00,8495.41,6.2%,-3.7%,1.67
OXY,23,9,14,39.1%,8050.61,0.00,8050.61,15.0%,-3.5%,4.25
ISRG,26,19,7,73.1%,7612.11,0.00,7612.11,3.4%,-1.6%,2.09
XLNX,24,17,7,70.8%,7471.72,0.00,7471.72,5.9%,-2.8%,2.06
MS,15,10,5,66.7%,7350.91,0.00,7350.91,18.0%,-1.9%,9.31
TTWO,36,26,10,72.2%,7229.67,0.00,7229.67,7.2%,-2.9%,2.52
CRM,25,18,7,72.0%,7227.47,0.00,7227.47,5.8%,-2.1%,2.78
ATVI,34,19,15,55.9%,6862.72,0.00,6862.72,8.6%,-2.7%,3.17
WYNN,21,14,7,66.7%,6733.04,0.00,6733.04,13.2%,-3.8%,3.50
IBM,19,10,9,52.6%,4882.07,0.00,4882.07,7.9%,-2.6%,2.98
EA,22,15,7,68.2%,4819.31,0.00,4819.31,6.8%,-4.0%,1.71
NDAQ,32,21,11,65.6%,4637.10,0.00,4637.10,3.3%,-2.5%,1.31
JWN,23,13,10,56.5%,4549.22,0.00,4549.22,6.3%,-6.8%,0.92
MSFT,27,21,6,77.8%,3884.93,0.00,3884.93,4.4%,-2.0%,2.26
BIIB,17,12,5,70.6%,3827.02,0.00,3827.02,8.1%,-2.7%,3.05
GM,19,9,10,47.4%,3770.13,0.00,3770.13,9.4%,-6.2%,1.53
ADBE,24,13,11,54.2%,3747.18,0.00,3747.18,4.4%,-3.4%,1.32
ICE,17,14,3,82.4%,3542.42,0.00,3542.42,4.6%,-0.9%,5.01
BAC,16,13,3,81.2%,3498.23,0.00,3498.23,7.3%,-4.5%,1.64
AAPL,43,29,14,67.4%,3217.79,0.00,3217.79,4.0%,-4.5%,0.91
COP,26,16,10,61.5%,3171.17,0.00,3171.17,5.9%,-4.3%,1.36
SCHW,18,9,9,50.0%,2641.03,0.00,2641.03,7.5%,-2.8%,2.69
ETFC,13,8,5,61.5%,2472.80,0.00,2472.80,3.9%,-3.2%,1.23
TRIP,22,10,12,45.5%,1867.00,0.00,1867.00,3.0%,-4.9%,0.61
ALXN,10,7,3,70.0%,1821.31,0.00,1821.31,2.6%,-3.3%,0.80
QRVO,13,7,6,53.8%,1820.83,0.00,1820.83,5.4%,-5.8%,0.94
LVS,15,8,7,53.3%,1381.05,0.00,1381.05,6.9%,-3.7%,1.87
EBAY,22,12,10,54.5%,1379.14,0.00,1379.14,4.7%,-2.3%,2.02
YHOO,8,3,5,37.5%,1261.58,0.00,1261.58,4.3%,-1.3%,3.36
PXD,20,11,9,55.0%,942.69,0.00,942.69,6.3%,-3.0%,2.09
VMW,28,18,10,64.3%,920.06,0.00,920.06,7.2%,-6.6%,1.09
VRTX,35,17,18,48.6%,837.03,0.00,837.03,3.6%,-3.5%,1.03
NTES,41,23,18,56.1%,640.11,0.00,640.11,9.0%,-5.4%,1.67
GILD,22,12,10,54.5%,344.23,0.00,344.23,7.1%,-3.4%,2.09
TJX,10,5,5,50.0%,31.69,0.00,31.69,1.5%,-1.2%,1.27
GS,6,2,4,33.3%,-17.82,0.00,-17.82,6.6%,-2.5%,2.61
LOW,18,10,8,55.6%,-71.58,0.00,-71.58,2.4%,-2.8%,0.87
ADI,7,2,5,28.6%,-259.80,0.00,-259.80,2.6%,-2.0%,1.27
LNKD,8,3,5,37.5%,-337.42,0.00,-337.42,0.7%,-1.6%,0.43
NXPI,5,3,2,60.0%,-729.48,0.00,-729.48,1.5%,-6.2%,0.25
TXN,5,0,5,0.0%,-753.05,0.00,-753.05,N/A,-1.0%,N/A
MCHP,3,0,3,0.0%,-841.71,0.00,-841.71,N/A,-2.7%,N/A
C,7,3,4,42.9%,-969.53,0.00,-969.53,2.9%,-2.5%,1.14
MGM,11,4,7,36.4%,-1057.22,0.00,-1057.22,4.8%,-3.1%,1.53
P,21,11,10,52.4%,-1136.28,0.00,-1136.28,5.1%,-4.9%,1.06
CME,21,8,13,38.1%,-1168.55,0.00,-1168.55,2.9%,-2.0%,1.47
CSCO,7,4,3,57.1%,-1180.36,0.00,-1180.36,3.2%,-4.6%,0.70
JPM,4,0,4,0.0%,-1201.09,0.00,-1201.09,N/A,-1.5%,N/A
GOOGL,19,8,11,42.1%,-1463.66,0.00,-1463.66,3.3%,-4.0%,0.83
LRCX,32,11,21,34.4%,-1517.84,0.00,-1517.84,5.1%,-4.4%,1.14
CELG,9,4,5,44.4%,-1669.62,0.00,-1669.62,2.4%,-2.1%,1.14
HD,7,1,6,14.3%,-2212.98,0.00,-2212.98,1.7%,-2.5%,0.66
YELP,28,14,14,50.0%,-2441.18,0.00,-2441.18,8.1%,-5.6%,1.45
REGN,40,16,24,40.0%,-2694.12,0.00,-2694.12,4.4%,-3.4%,1.31
AMZN,46,26,20,56.5%,-3072.59,0.00,-3072.59,4.1%,-4.2%,0.97
NFLX,54,25,29,46.3%,-3434.15,0.00,-3434.15,3.8%,-5.5%,0.70
DG,17,8,9,47.1%,-3475.09,0.00,-3475.09,1.6%,-2.7%,0.59
BIDU,16,9,7,56.2%,-3767.86,0.00,-3767.86,7.6%,-8.7%,0.88
ORCL,13,6,7,46.2%,-4023.04,0.00,-4023.04,2.4%,-3.5%,0.69
M,31,13,18,41.9%,-4653.55,0.00,-4653.55,9.0%,-5.5%,1.64
JD,47,21,26,44.7%,-5207.65,0.00,-5207.65,6.1%,-6.3%,0.98
ROST,13,5,8,38.5%,-5274.02,0.00,-5274.02,2.3%,-5.3%,0.43
HES,19,9,10,47.4%,-5970.11,0.00,-5970.11,9.5%,-9.5%,1.00
WFC,13,5,8,38.5%,-6228.78,0.00,-6228.78,4.2%,-5.6%,0.75
QCOM,17,6,11,35.3%,-6980.77,0.00,-6980.77,3.9%,-4.0%,0.99
ULTA,19,4,15,21.1%,-7111.56,0.00,-7111.56,4.9%,-4.6%,1.07
AMGN,9,3,6,33.3%,-7746.65,0.00,-7746.65,2.2%,-4.6%,0.47
DLTR,30,16,14,53.3%,-7981.40,0.00,-7981.40,6.9%,-3.7%,1.90
INTC,12,2,10,16.7%,-8377.25,0.00,-8377.25,2.8%,-4.4%,0.64
F,12,4,8,33.3%,-8937.75,0.00,-8937.75,1.8%,-6.3%,0.29
MU,31,17,14,54.8%,-9327.57,0.00,-9327.57,5.4%,-8.3%,0.65
AMAT,15,1,14,6.7%,-9417.25,0.00,-9417.25,3.1%,-4.4%,0.69
CLR,35,22,13,62.9%,-9599.12,0.00,-9599.12,11.2%,-8.8%,1.28
ILMN,31,16,15,51.6%,-9675.16,0.00,-9675.16,7.8%,-4.2%,1.85
APA,24,7,17,29.2%,-11031.53,0.00,-11031.53,6.5%,-6.4%,1.03
EOG,17,6,11,35.3%,-11117.82,0.00,-11117.82,4.0%,-6.4%,0.63
TWTR,31,14,17,45.2%,-17497.60,0.00,-17497.60,7.9%,-10.5%,0.76
MRO,40,12,28,30.0%,-19746.88,0.00,-19746.88,9.8%,-8.9%,1.10
DVN,46,22,24,47.8%,-27741.65,0.00,-27741.65,9.5%,-9.4%,1.01
