symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-05,2015-01-26,Long,29.0,59.361860313756,65.335646690262,173.23980491867394,10.06%,21,0
SWKS,2015-01-05,2015-02-09,Long,109.0,59.361860313756,65.908756580688,713.611693095589,11.03%,35,0
SWKS,2015-01-05,2015-02-23,Long,88.0,59.361860313756,68.22333226611,779.8095318071528,14.93%,49,0
SWKS,2015-01-05,2015-03-02,Long,134.0,59.361860313756,71.015390348175,1561.5730246121468,19.63%,56,0
SWKS,2015-01-05,2015-03-16,Long,28.0,59.361860313756,75.199431010284,443.4519795027841,26.68%,70,0
SWKS,2015-01-05,2015-03-23,Long,50.0,59.361860313756,82.588268775285,1161.3204230764502,39.13%,77,0
SWKS,2015-01-05,2015-04-13,Long,44.0,59.361860313756,80.637874578828,936.1446276631683,35.84%,98,0
SWKS,2015-01-05,2015-04-20,Long,26.0,59.361860313756,76.300068399156,440.39341022040014,28.53%,105,0
SWKS,2015-02-02,2015-04-20,Long,152.0,67.239532174815,76.300068399156,1377.201506099833,13.48%,77,0
SWKS,2015-03-09,2015-04-20,Long,99.0,73.590300508725,76.300068399156,268.26702115267,3.68%,42,0
SWKS,2015-03-30,2015-04-20,Long,56.0,80.142472719309,76.300068399156,-215.17464192856767,-4.79%,21,0
SWKS,2015-04-06,2015-04-20,Long,33.0,78.261155945973,76.300068399156,-64.71588904496093,-2.51%,14,0
SWKS,2015-05-04,2015-05-11,Long,227.0,79.71268914609,79.075940637267,-144.5419115028219,-0.80%,7,0
SWKS,2016-10-17,2016-10-31,Long,265.0,64.238651970493,62.532940156308,-452.01363075902344,-2.66%,14,0
SWKS,2016-10-24,2016-10-31,Long,17.0,64.106252327117,62.532940156308,-26.746306903753066,-2.45%,7,0
SWKS,2017-02-27,2017-03-06,Long,18.0,78.89908864838,78.924374390232,0.45514335333604095,0.03%,7,0
SWKS,2017-02-27,2017-03-13,Long,19.0,78.89908864838,81.635009246028,51.98249135531208,3.47%,14,0
SWKS,2017-02-27,2017-03-27,Long,30.0,78.89908864838,80.90330413158,60.12646449599998,2.54%,28,0
SWKS,2017-02-27,2017-04-03,Long,34.0,78.89908864838,81.468712629108,87.36721534475188,3.26%,35,0
SWKS,2017-02-27,2017-04-10,Long,225.0,78.89908864838,84.661607673972,1296.5667807581997,7.30%,42,0
SWKS,2017-03-20,2017-04-10,Long,53.0,81.590155769122,84.661607673972,162.78695095704967,3.76%,21,0
SWKS,2019-11-18,2019-12-02,Long,236.0,86.252754822234,85.11069651759,-269.525759895983,-1.32%,14,0
SWKS,2019-11-25,2019-12-02,Long,62.0,84.882010981768,85.11069651759,14.178503220963705,0.27%,7,0
SWKS,2019-12-09,2019-12-16,Long,41.0,88.331204817856,97.286768503344,367.1781111050081,10.14%,7,0
SWKS,2019-12-09,2020-01-13,Long,32.0,88.331204817856,104.435858768832,515.348926431232,18.23%,35,0
SWKS,2019-12-09,2020-01-27,Long,28.0,88.331204817856,106.375332162024,505.2355656367037,20.43%,49,0
SWKS,2019-12-09,2020-02-03,Long,117.0,88.331204817856,98.40870602676,1179.0676414417676,11.41%,56,0
SWKS,2019-12-23,2020-02-03,Long,11.0,103.61661654344,98.40870602676,-57.28701568348002,-5.03%,42,0
SWKS,2019-12-30,2020-02-03,Long,17.0,106.570866586184,98.40870602676,-138.75672951020792,-7.66%,35,0
SWKS,2020-01-06,2020-02-03,Long,98.0,103.39875149604,98.40870602676,-489.0244559894405,-4.83%,28,0
SWKS,2023-03-20,2023-03-27,Long,36.0,104.42544264152,105.01165107216,21.103503503040486,0.56%,7,0
SWKS,2023-03-20,2023-04-03,Long,51.0,104.42544264152,107.78906032272,171.54450174120058,3.22%,14,0
EA,2015-01-05,2015-01-12,Long,54.0,45.616977124719,46.147480013313,28.647155984076022,1.16%,7,0
EA,2015-01-05,2015-01-26,Long,64.0,45.616977124719,48.362092819677,175.68740447731216,6.02%,21,0
EA,2015-01-05,2015-02-09,Long,45.0,45.616977124719,53.558662343382,357.37583483983485,17.41%,35,0
EA,2015-01-05,2015-03-02,Long,115.0,45.616977124719,55.540158012234,1141.1658020642253,21.75%,56,0
EA,2015-01-05,2015-03-09,Long,248.0,45.616977124719,54.743674459068,2263.420938918551,20.01%,63,0
EA,2015-02-02,2015-03-09,Long,93.0,53.393372414382,54.743674459068,125.57809015579767,2.53%,35,0
EA,2015-02-23,2015-03-09,Long,70.0,56.128249856679,54.743674459068,-96.92027783277013,-2.47%,14,0
EA,2015-07-06,2015-08-03,Long,297.0,65.98743437286,69.498046620765,1042.6518376277854,5.32%,28,0
EA,2015-07-13,2015-08-03,Long,34.0,70.143280165959,69.498046620765,-21.937940536596102,-0.92%,21,0
EA,2015-07-20,2015-08-03,Long,19.0,71.505852557139,69.498046620765,-38.148312791105965,-2.81%,14,0
EA,2015-07-27,2015-08-03,Long,13.0,70.357398684573,69.498046620765,-11.171576829504048,-1.22%,7,0
EA,2015-08-10,2015-08-17,Long,335.0,71.398793297832,70.731624806766,-223.5014445071078,-0.93%,7,0
EA,2018-07-16,2018-07-30,Long,101.0,144.753851243001,129.972517377003,-1492.9147204658002,-10.21%,14,0
EA,2018-07-23,2018-07-30,Long,22.0,143.537268750876,129.972517377003,-298.4245302252062,-9.45%,7,0
EA,2023-11-06,2023-11-27,Long,25.0,128.253953212385,134.9215682751,166.69037656787467,5.20%,21,0
EA,2023-11-06,2023-12-04,Long,53.0,128.253953212385,136.256119072416,424.114790581643,6.24%,28,0
EA,2023-11-06,2023-12-11,Long,50.0,128.253953212385,135.642887409924,369.44670987694934,5.76%,35,0
EA,2023-11-13,2023-12-11,Long,16.0,131.41106495517,135.642887409924,67.70915927606393,3.22%,28,0
EA,2023-11-20,2023-12-11,Long,24.0,132.32157994055,135.642887409924,79.71137926497545,2.51%,21,0
EA,2024-07-29,2024-08-05,Long,6.0,144.28218118314,147.61408524291,19.991424358619895,2.31%,7,0
EA,2024-07-29,2024-08-19,Long,240.0,144.28218118314,147.14792505972,687.7785303791961,1.99%,21,0
EA,2024-08-12,2024-08-19,Long,36.0,145.6933996518,147.14792505972,52.36291468511956,1.00%,7,0
LOW,2015-01-05,2015-01-12,Long,9.0,55.548506013,55.9615969854,3.7178187515999923,0.74%,7,0
LOW,2015-01-05,2015-02-02,Long,295.0,55.548506013,55.679663089512,38.69133757103903,0.24%,28,0
LOW,2015-01-26,2015-02-02,Long,32.0,57.396693377023,55.679663089512,-54.944969200352034,-2.99%,7,0
LOW,2015-02-09,2015-02-23,Long,263.0,59.208093827883,60.437414702385,323.3113899940263,2.08%,14,0
LOW,2018-01-29,2018-02-05,Long,210.0,93.11639493156,87.8252359509,-1111.1433859386002,-5.68%,7,0
LOW,2018-10-01,2018-10-08,Long,248.0,100.512752812472,95.873811123096,-1150.4575389652473,-4.62%,7,0
LOW,2020-06-08,2020-06-15,Long,202.0,118.710813976755,114.023066371425,-946.9250162766606,-3.95%,7,0
LOW,2020-06-22,2020-06-29,Long,86.0,121.02212630508,117.098658800325,-337.4182054089296,-3.24%,7,0
LOW,2020-07-06,2020-07-13,Long,29.0,123.007135716465,124.317255148155,37.993463519009936,1.07%,7,0
LOW,2020-07-06,2020-07-20,Long,189.0,123.007135716465,130.613173767315,1437.5411916106507,6.18%,14,0
LOW,2020-07-27,2020-08-03,Long,87.0,133.778150930424,135.217999375272,125.26681470177567,1.08%,7,0
LOW,2020-09-14,2020-09-21,Long,145.0,147.298815575912,145.351857900744,-282.3088628993591,-1.32%,7,0
LOW,2021-11-29,2021-12-13,Long,18.0,229.379925810035,241.53731391699,218.8329859251902,5.30%,14,0
LOW,2021-11-29,2021-12-20,Long,33.0,229.379925810035,229.15268084709,-7.499083777184325,-0.10%,21,0
LOW,2021-12-06,2021-12-20,Long,32.0,230.306002461535,229.15268084709,-36.90629166223971,-0.50%,14,0
LOW,2024-09-09,2024-09-16,Long,77.0,238.250649695058,249.087473128062,834.4354043413068,4.55%,7,0
LOW,2024-09-30,2024-10-07,Long,5.0,261.048679543652,261.131756018832,0.41538237590003746,0.03%,7,0
LOW,2024-09-30,2024-10-14,Long,106.0,261.048679543652,268.933720644432,835.8143566826831,3.02%,14,0
TTWO,2015-01-05,2015-01-12,Long,541.0,28.1281,27.84213,-154.70976999999942,-1.02%,7,0
TTWO,2015-02-02,2015-02-09,Long,382.0,29.74972,28.76121,-377.6108200000006,-3.32%,7,0
TTWO,2015-07-13,2015-08-10,Long,129.0,28.28826,31.42854,405.0961200000001,11.10%,28,0
TTWO,2015-07-13,2015-08-17,Long,442.0,28.28826,30.68928,1061.2508399999995,8.49%,35,0
TTWO,2015-07-20,2015-08-17,Long,38.0,31.17114,30.68928,-18.31068000000004,-1.55%,28,0
TTWO,2015-07-27,2015-08-17,Long,104.0,31.44141,30.68928,-78.22152000000011,-2.39%,21,0
TTWO,2015-08-03,2015-08-17,Long,89.0,31.61158,30.68928,-82.0847,-2.92%,14,0
TTWO,2017-06-05,2017-06-19,Long,286.0,77.72765,74.08584,-1041.557659999998,-4.69%,14,0
TTWO,2017-06-12,2017-06-19,Long,128.0,75.3753,74.08584,-165.05087999999887,-1.71%,7,0
TTWO,2017-08-14,2017-08-21,Long,38.0,89.3893,91.97793,98.3679399999998,2.90%,7,0
TTWO,2017-08-14,2017-08-28,Long,137.0,89.3893,94.54536,706.3802199999996,5.77%,14,0
TTWO,2017-09-11,2017-10-02,Long,4.0,99.71962,102.12777,9.632599999999968,2.41%,21,0
TTWO,2017-09-11,2017-10-09,Long,27.0,99.71962,107.12277,199.88504999999992,7.42%,28,0
TTWO,2017-09-11,2017-10-16,Long,15.0,99.71962,104.47542,71.3369999999999,4.77%,35,0
TTWO,2017-09-11,2017-10-23,Long,121.0,99.71962,104.82507,617.7594499999989,5.12%,42,0
TTWO,2017-09-11,2017-10-30,Long,126.0,99.71962,107.73216,1009.5800399999983,8.04%,49,0
TTWO,2017-09-18,2017-10-30,Long,41.0,100.49039,107.73216,296.9125699999995,7.21%,42,0
TTWO,2017-09-25,2017-10-30,Long,21.0,102.94284,107.73216,100.57571999999978,4.65%,35,0
TTWO,2018-07-02,2018-07-09,Long,111.0,118.47836,123.31656,537.0402,4.08%,7,0
TTWO,2019-06-10,2019-07-08,Long,14.0,111.76165,117.11277,74.91567999999992,4.79%,28,0
TTWO,2019-06-10,2019-07-15,Long,23.0,111.76165,116.34354,105.38347000000003,4.10%,35,0
TTWO,2019-06-10,2019-07-22,Long,57.0,111.76165,115.94394,238.3905299999997,3.74%,42,0
TTWO,2019-06-10,2019-08-05,Long,44.0,111.76165,121.56831,431.4930399999997,8.77%,56,0
TTWO,2019-06-10,2019-08-12,Long,96.0,111.76165,128.74113,1630.0300799999995,15.19%,63,0
TTWO,2019-06-10,2019-08-19,Long,2.0,111.76165,127.0728,30.622299999999996,13.70%,70,0
TTWO,2019-06-24,2019-08-19,Long,20.0,112.75264,127.0728,286.4032,12.70%,56,0
TTWO,2019-06-24,2019-09-09,Long,18.0,112.75264,130.62924,321.77880000000016,15.85%,77,0
TTWO,2019-07-01,2019-09-09,Long,3.0,113.64353,130.62924,50.957130000000035,14.95%,70,0
TTWO,2019-07-01,2019-09-16,Long,115.0,113.64353,124.9749,1303.1075500000009,9.97%,77,0
TTWO,2019-07-29,2019-09-16,Long,42.0,121.90178,124.9749,129.07104000000012,2.52%,49,0
TTWO,2019-08-26,2019-09-16,Long,25.0,128.93881,124.9749,-99.0977499999996,-3.07%,21,0
TTWO,2019-09-23,2019-09-30,Long,114.0,130.69056,123.84603,-780.2764200000007,-5.24%,7,0
TTWO,2020-05-11,2020-06-01,Long,127.0,129.97985,136.03383,768.8554599999994,4.66%,21,0
TTWO,2020-05-18,2020-06-01,Long,17.0,132.67254,136.03383,57.141929999999945,2.53%,14,0
TTWO,2022-07-25,2022-08-01,Long,157.0,130.54041,132.59727,322.9270200000001,1.58%,7,0
TTWO,2022-07-25,2022-08-08,Long,239.0,130.54041,127.03284,-838.3092300000037,-2.69%,14,0
DLTR,2015-01-05,2015-01-12,Long,10.0,70.42035,69.39054,-10.298099999999977,-1.46%,7,0
DLTR,2015-01-05,2015-01-26,Long,180.0,70.42035,71.99793,283.96439999999956,2.24%,21,0
DLTR,2015-02-02,2015-02-09,Long,163.0,71.1711,74.99493,623.2842900000002,5.37%,7,0
DLTR,2016-02-01,2016-02-08,Long,584.0,81.40132,76.48344,-2872.041919999998,-6.04%,7,0
DLTR,2016-02-22,2016-02-29,Long,351.0,79.51944,81.54837,712.154430000001,2.55%,7,0
DLTR,2016-02-22,2016-03-07,Long,66.0,79.51944,78.31161,-79.71678000000009,-1.52%,14,0
DLTR,2017-09-25,2017-10-23,Long,60.0,84.70462,92.27763,454.3805999999998,8.94%,28,0
DLTR,2017-09-25,2017-10-30,Long,49.0,84.70462,93.11679,412.1963299999995,9.93%,35,0
DLTR,2017-09-25,2017-11-06,Long,27.0,84.70462,93.65625,241.69400999999985,10.57%,42,0
DLTR,2017-09-25,2017-11-13,Long,39.0,84.70462,94.96494,400.15247999999974,12.11%,49,0
DLTR,2017-10-02,2017-11-13,Long,54.0,86.90682,94.96494,435.13848000000013,9.27%,42,0
DLTR,2017-10-09,2017-11-13,Long,59.0,89.50942,94.96494,321.8756799999996,6.09%,35,0
DLTR,2017-10-16,2017-11-13,Long,38.0,91.5915,94.96494,128.19072000000008,3.68%,28,0
DLTR,2017-12-04,2017-12-18,Long,9.0,103.11301,106.18371,27.63630000000002,2.98%,14,0
DLTR,2017-12-04,2018-01-08,Long,63.0,103.11301,111.02886,498.6985499999995,7.68%,35,0
DLTR,2017-12-04,2018-01-22,Long,155.0,103.11301,114.61527,1782.850299999999,11.16%,49,0
DLTR,2017-12-11,2018-01-22,Long,14.0,108.77867,114.61527,81.71239999999986,5.37%,42,0
DLTR,2018-12-17,2019-02-25,Long,4.0,85.94586,97.01289,44.26812000000001,12.88%,70,0
DLTR,2019-01-14,2019-02-25,Long,140.0,97.37728,97.01289,-51.01460000000003,-0.37%,42,0
DLTR,2019-01-28,2019-02-25,Long,28.0,97.01692,97.01289,-0.1128400000000056,-0.00%,28,0
DLTR,2019-02-11,2019-02-25,Long,32.0,97.74765,97.01289,-23.512319999999818,-0.75%,14,0
DLTR,2021-11-29,2021-12-13,Long,45.0,141.25111,141.40845,7.080299999998942,0.11%,14,0
DLTR,2021-11-29,2021-12-20,Long,195.0,141.25111,136.18368,-988.1488500000003,-3.59%,21,0
DLTR,2021-12-06,2021-12-20,Long,265.0,137.17704,136.18368,-263.24039999999883,-0.72%,14,0
DLTR,2022-01-03,2022-01-24,Long,349.0,140.66052,126.10377,-5080.305749999998,-10.35%,21,0
DLTR,2022-01-10,2022-01-24,Long,79.0,141.10096,126.10377,-1184.778009999999,-10.63%,14,0
DLTR,2022-04-18,2022-05-09,Long,105.0,173.22305,164.22561,-944.7312000000012,-5.19%,21,0
DLTR,2022-04-25,2022-05-09,Long,289.0,167.65749,164.22561,-991.8133200000019,-2.05%,14,0
DLTR,2022-07-25,2022-08-01,Long,36.0,172.18201,165.19464,-251.54531999999995,-4.06%,7,0
DLTR,2024-01-08,2024-01-22,Long,279.0,136.42629,130.34952,-1695.418829999995,-4.45%,14,0
AVGO,2015-01-12,2015-02-02,Long,2342.0,8.043269285051,7.8726235871088,-399.65222458063334,-2.12%,21,0
AVGO,2015-01-26,2015-02-02,Long,302.0,8.2027545101502,7.8726235871088,-99.69953875850287,-4.02%,7,0
