symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
GAP,25,19,6,76.0%,130880.55,0.00,130880.55,30.0%,-11.8%,2.55
GRPN,15,11,4,73.3%,96172.87,0.00,96172.87,42.8%,-12.8%,3.35
TSLA,33,20,13,60.6%,94374.91,0.00,94374.91,43.7%,-7.6%,5.72
NVDA,59,42,17,71.2%,54048.98,0.00,54048.98,22.2%,-6.0%,3.71
OXY,16,13,3,81.2%,51327.74,0.00,51327.74,38.9%,-3.6%,10.68
META,20,12,8,60.0%,49479.45,0.00,49479.45,40.9%,-5.8%,7.05
JWN,13,9,4,69.2%,38322.59,0.00,38322.59,10.3%,-10.8%,0.95
AVGO,24,19,5,79.2%,21110.72,0.00,21110.72,9.6%,-5.5%,1.74
MU,15,8,7,53.3%,19703.59,0.00,19703.59,7.7%,-6.3%,1.21
GILD,13,9,4,69.2%,15994.24,0.00,15994.24,5.3%,-2.4%,2.26
CRM,8,8,0,100.0%,13130.90,0.00,13130.90,5.5%,N/A,N/A
COP,15,8,7,53.3%,12537.12,0.00,12537.12,16.2%,-5.2%,3.13
NFLX,27,15,12,55.6%,11453.70,0.00,11453.70,13.0%,-5.4%,2.39
VRTX,13,10,3,76.9%,10168.01,0.00,10168.01,5.6%,-1.8%,3.20
ATVI,17,14,3,82.4%,9149.65,0.00,9149.65,10.7%,-5.5%,1.95
REGN,26,12,14,46.2%,8132.34,0.00,8132.34,12.3%,-5.6%,2.19
WYNN,10,8,2,80.0%,8068.28,0.00,8068.28,7.6%,-5.3%,1.43
ORCL,9,5,4,55.6%,8031.47,0.00,8031.47,5.9%,-3.5%,1.68
MSFT,9,7,2,77.8%,7640.86,0.00,7640.86,6.9%,-0.7%,10.09
TTWO,16,12,4,75.0%,7624.41,0.00,7624.41,9.4%,-8.3%,1.13
GM,7,2,5,28.6%,7404.55,0.00,7404.55,17.0%,-3.9%,4.32
C,3,3,0,100.0%,7032.19,0.00,7032.19,5.3%,N/A,N/A
VMW,10,8,2,80.0%,6965.78,0.00,6965.78,14.6%,-0.6%,25.95
BAC,7,7,0,100.0%,6402.66,0.00,6402.66,12.4%,N/A,N/A
SWKS,21,16,5,76.2%,6225.12,0.00,6225.12,13.0%,-8.5%,1.53
ISRG,14,9,5,64.3%,5598.33,0.00,5598.33,4.6%,-3.2%,1.41
TJX,10,6,4,60.0%,5041.99,0.00,5041.99,3.6%,-3.3%,1.10
AAPL,19,11,8,57.9%,5022.79,0.00,5022.79,6.1%,-6.7%,0.91
LOW,7,5,2,71.4%,4901.33,0.00,4901.33,6.2%,-8.0%,0.76
EXPE,12,6,6,50.0%,4247.94,0.00,4247.94,6.1%,-2.7%,2.24
YELP,14,9,5,64.3%,4105.03,0.00,4105.03,5.2%,-5.6%,0.94
ICE,9,8,1,88.9%,3935.86,0.00,3935.86,6.2%,-10.8%,0.57
ALXN,7,5,2,71.4%,3823.94,0.00,3823.94,4.2%,-6.0%,0.71
AMZN,19,8,11,42.1%,3319.03,0.00,3319.03,5.8%,-2.0%,2.84
ADBE,14,9,5,64.3%,3310.69,0.00,3310.69,2.8%,-1.9%,1.52
ADI,5,3,2,60.0%,3026.73,0.00,3026.73,4.0%,-3.0%,1.32
BIIB,8,6,2,75.0%,3013.20,0.00,3013.20,6.8%,-4.7%,1.43
CSCO,2,1,1,50.0%,2788.84,0.00,2788.84,4.9%,-0.9%,5.48
P,10,5,5,50.0%,2714.99,0.00,2714.99,7.8%,-5.6%,1.40
KLAC,15,10,5,66.7%,2358.27,0.00,2358.27,7.4%,-3.5%,2.13
YHOO,3,3,0,100.0%,2197.14,0.00,2197.14,9.5%,N/A,N/A
CME,8,5,3,62.5%,1979.85,0.00,1979.85,2.2%,-1.2%,1.82
IBM,8,4,4,50.0%,1757.49,0.00,1757.49,6.2%,-6.8%,0.91
ETFC,8,4,4,50.0%,1459.15,0.00,1459.15,3.7%,-3.0%,1.26
ULTA,6,4,2,66.7%,1402.09,0.00,1402.09,5.8%,-8.2%,0.70
EOG,5,3,2,60.0%,1155.81,0.00,1155.81,6.1%,-4.0%,1.50
LRCX,11,4,7,36.4%,646.03,0.00,646.03,3.6%,-5.1%,0.71
HD,4,3,1,75.0%,396.25,0.00,396.25,1.3%,-1.7%,0.76
XLNX,13,9,4,69.2%,242.48,0.00,242.48,8.3%,-10.8%,0.76
TXN,3,2,1,66.7%,143.60,0.00,143.60,0.6%,-2.0%,0.32
JPM,1,0,1,0.0%,-272.42,0.00,-272.42,N/A,-2.0%,N/A
NDAQ,17,12,5,70.6%,-1002.08,0.00,-1002.08,3.4%,-4.2%,0.80
