symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SWKS,2015-01-02,2015-01-26,Long,10.0,58.867987771593,65.335646690262,64.67658918668995,10.99%,24,0
SWKS,2015-01-02,2015-02-24,Long,116.0,58.867987771593,69.607221924177,1245.7511616997435,18.24%,53,0
SWKS,2015-01-02,2015-03-02,Long,125.0,58.867987771593,71.015390348175,1518.4253220727503,20.63%,59,0
SWKS,2015-01-02,2015-04-23,Long,81.0,58.867987771593,78.363763503291,1579.1578342675377,33.12%,111,0
SWKS,2015-01-02,2015-05-01,Long,163.0,58.867987771593,74.657205237825,2573.642446995815,26.82%,119,0
SWKS,2015-02-02,2015-05-01,Long,62.0,67.239532174815,74.657205237825,459.89572990662,11.03%,88,0
SWKS,2015-03-23,2015-05-01,Long,11.0,82.753610654715,74.657205237825,-89.06045958579008,-9.78%,39,0
SWKS,2015-04-01,2015-05-01,Long,18.0,79.704580022067,74.657205237825,-90.85274611635617,-6.33%,30,0
SWKS,2017-03-01,2017-04-03,Long,36.0,78.990734897074,81.468712629108,89.2071983532237,3.14%,33,0
SWKS,2017-03-01,2017-04-25,Long,219.0,78.990734897074,86.399407320786,1622.499260792926,9.38%,55,0
SWKS,2017-03-22,2017-04-25,Long,49.0,79.582269775008,86.399407320786,334.0397397431218,8.57%,34,0
SWKS,2019-11-22,2019-12-02,Long,21.0,83.641401050207,85.11069651759,30.855204815043123,1.76%,10,0
SWKS,2019-11-22,2019-12-23,Long,4.0,83.641401050207,103.40959033656,79.07275714541203,23.63%,31,0
SWKS,2019-11-22,2020-02-03,Long,242.0,83.641401050207,98.40870602676,3573.6878043258275,17.66%,73,0
SWKS,2020-01-02,2020-02-03,Long,27.0,105.342107718848,98.40870602676,-187.20184568637592,-6.58%,32,0
SWKS,2020-01-24,2020-02-03,Long,35.0,111.712481704824,98.40870602676,-465.63214873224,-11.91%,10,0
SWKS,2020-06-22,2020-07-23,Long,274.0,111.84793851231,119.46929509602,2088.251703936543,6.81%,31,0
SWKS,2020-07-01,2020-07-23,Long,50.0,112.295857229556,119.46929509602,358.6718933231999,6.39%,22,0
SWKS,2023-03-01,2023-03-22,Long,141.0,102.13681630152,106.67901024396,640.4493458840391,4.45%,21,0
SWKS,2023-03-01,2023-04-03,Long,189.0,102.13681630152,107.78906032272,1068.274120006801,5.53%,33,0
SWKS,2024-08-01,2024-08-05,Long,1188.0,107.57744661664,98.9337656016,-10268.693045867523,-8.03%,4,0
EA,2015-01-02,2015-01-26,Long,108.0,45.762967023774,48.362092819677,280.7055859575239,5.68%,24,0
EA,2015-01-02,2015-02-02,Long,13.0,45.762967023774,53.286692349618,97.80842923597197,16.44%,31,0
EA,2015-01-02,2015-03-02,Long,128.0,45.762967023774,55.540158012234,1251.48044652288,21.36%,59,0
EA,2015-01-02,2015-03-23,Long,272.0,45.762967023774,55.637290152864,2685.8158911124783,21.58%,80,0
EA,2015-02-24,2015-03-23,Long,148.0,56.011457937435,55.637290152864,-55.37683211650801,-0.67%,27,0
EA,2015-07-23,2015-08-03,Long,30.0,70.970556260604,69.498046620765,-44.17528919517011,-2.07%,11,0
EA,2015-07-23,2015-08-24,Long,277.0,70.970556260604,63.650691754839,-2027.6024680969042,-10.31%,32,0
EA,2017-06-22,2017-07-03,Long,213.0,110.144512507029,102.688099074036,-1588.2160612275095,-6.77%,11,0
EA,2018-07-24,2018-07-30,Long,158.0,142.641864036672,129.972517377003,-2001.7567722277024,-8.88%,6,0
EA,2022-08-01,2022-08-22,Long,5.0,128.875980617384,127.883411361216,-4.962846280839912,-0.77%,21,0
EA,2023-12-01,2023-12-22,Long,289.0,136.776669963934,136.374809071608,-116.1377978822137,-0.29%,21,0
LOW,2015-01-02,2015-02-24,Long,294.0,56.451066672,60.577106891364,1213.0558244930141,7.31%,53,0
LOW,2015-01-26,2015-02-24,Long,38.0,57.396693377023,60.577106891364,120.85571354495792,5.54%,29,0
LOW,2018-02-01,2018-02-23,Long,254.0,90.801490141362,83.836326219534,-1769.1516361443105,-7.67%,22,0
LOW,2018-10-01,2018-10-15,Long,239.0,100.512752812472,92.047245670944,-2023.2562068251939,-8.42%,14,0
LOW,2020-06-22,2020-07-23,Long,339.0,121.02212630508,134.854778639592,4689.269141399574,11.43%,31,0
LOW,2021-12-22,2022-01-03,Long,119.0,228.713150620955,238.921753350735,1214.8237248438213,4.46%,12,0
LOW,2024-10-01,2024-10-22,Long,274.0,264.67408420453,269.986985868888,1455.7350560340865,2.01%,21,0
TTWO,2015-01-02,2015-01-26,Long,543.0,28.05803,29.83014,962.2557300000008,6.32%,24,0
TTWO,2015-02-02,2015-02-23,Long,305.0,29.74972,26.98299,-843.8526499999997,-9.30%,21,0
TTWO,2015-07-23,2015-08-24,Long,581.0,31.52149,28.85112,-1551.484969999999,-8.47%,32,0
TTWO,2017-06-22,2017-07-03,Long,374.0,73.12305,73.30662,68.65517999999585,0.25%,11,0
TTWO,2017-09-01,2017-10-02,Long,5.0,97.88779,102.12777,21.199900000000014,4.33%,31,0
TTWO,2017-09-01,2017-10-23,Long,225.0,97.88779,104.82507,1560.8880000000004,7.09%,52,0
TTWO,2017-09-25,2017-10-23,Long,158.0,102.94284,104.82507,297.39233999999885,1.83%,28,0
