symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
GAP,21,16,5,76.2%,171051.39,0.00,171051.39,29.3%,-10.0%,2.92
GRPN,14,11,3,78.6%,139647.47,0.00,139647.47,42.8%,-12.1%,3.53
TSLA,28,17,11,60.7%,124432.78,0.00,124432.78,50.8%,-7.2%,7.10
META,16,12,4,75.0%,76418.18,0.00,76418.18,38.9%,-3.3%,11.69
JWN,8,6,2,75.0%,67932.00,0.00,67932.00,13.5%,-11.6%,1.17
NVDA,45,30,15,66.7%,56721.53,0.00,56721.53,18.8%,-6.5%,2.90
OXY,12,8,4,66.7%,50914.03,0.00,50914.03,31.1%,-4.7%,6.55
ORCL,3,2,1,66.7%,23982.40,0.00,23982.40,7.3%,-3.6%,2.02
NFLX,21,16,5,76.2%,22206.16,0.00,22206.16,12.3%,-7.5%,1.64
MU,9,5,4,55.6%,21049.88,0.00,21049.88,8.5%,-3.0%,2.85
EXPE,8,4,4,50.0%,18211.54,0.00,18211.54,10.4%,-2.3%,4.58
CRM,5,5,0,100.0%,16187.81,0.00,16187.81,6.9%,N/A,N/A
COP,6,5,1,83.3%,16166.74,0.00,16166.74,17.8%,-8.8%,2.02
VRTX,11,9,2,81.8%,11433.90,0.00,11433.90,5.9%,-2.1%,2.77
C,1,1,0,100.0%,10651.03,0.00,10651.03,5.2%,N/A,N/A
REGN,16,9,7,56.2%,10616.81,0.00,10616.81,10.8%,-4.2%,2.57
GM,5,1,4,20.0%,10506.07,0.00,10506.07,19.1%,-4.9%,3.89
WYNN,10,8,2,80.0%,9873.32,0.00,9873.32,7.0%,-5.3%,1.31
ATVI,11,9,2,81.8%,9141.26,0.00,9141.26,9.1%,-2.5%,3.63
TTWO,11,9,2,81.8%,8829.88,0.00,8829.88,9.7%,-3.3%,2.94
GILD,10,4,6,40.0%,8292.35,0.00,8292.35,4.0%,-3.6%,1.12
KLAC,10,7,3,70.0%,8139.73,0.00,8139.73,9.7%,-1.1%,8.57
ICE,6,6,0,100.0%,6372.36,0.00,6372.36,4.9%,N/A,N/A
ALXN,4,3,1,75.0%,6201.77,0.00,6201.77,4.6%,-5.7%,0.81
LOW,4,3,1,75.0%,5027.58,0.00,5027.58,7.7%,-7.7%,1.00
EBAY,5,3,2,60.0%,4820.72,0.00,4820.72,12.0%,-1.2%,10.00
ADBE,8,7,1,87.5%,4541.92,0.00,4541.92,4.5%,-3.5%,1.28
AMZN,6,3,3,50.0%,4421.07,0.00,4421.07,7.7%,-3.4%,2.26
M,13,5,8,38.5%,4234.76,0.00,4234.76,16.0%,-7.1%,2.25
VMW,8,5,3,62.5%,3922.10,0.00,3922.10,16.1%,-4.9%,3.31
ETFC,1,1,0,100.0%,3842.79,0.00,3842.79,7.4%,N/A,N/A
P,7,3,4,42.9%,3444.32,0.00,3444.32,7.7%,-5.2%,1.47
YELP,10,6,4,60.0%,3057.14,0.00,3057.14,5.6%,-3.6%,1.55
