symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
GAP,14,10,4,71.4%,110369.58,0.00,110369.58,31.0%,-6.7%,4.65
NVDA,33,20,13,60.6%,54086.16,0.00,54086.16,47.7%,-5.9%,8.14
META,9,6,3,66.7%,50397.65,0.00,50397.65,43.3%,-5.0%,8.60
OXY,8,8,0,100.0%,44903.79,0.00,44903.79,24.3%,N/A,N/A
TSLA,18,7,11,38.9%,27237.92,0.00,27237.92,34.8%,-6.3%,5.55
REGN,13,8,5,61.5%,25995.61,0.00,25995.61,10.3%,-3.9%,2.67
COP,6,4,2,66.7%,24694.45,0.00,24694.45,15.7%,-6.2%,2.55
JWN,9,5,4,55.6%,24541.82,0.00,24541.82,11.0%,-10.2%,1.07
AVGO,9,6,3,66.7%,17240.74,0.00,17240.74,12.2%,-4.5%,2.73
WYNN,6,5,1,83.3%,14204.53,0.00,14204.53,20.5%,-4.8%,4.31
CRM,4,4,0,100.0%,13908.94,0.00,13908.94,11.0%,N/A,N/A
SWKS,12,8,4,66.7%,10443.87,0.00,10443.87,12.5%,-6.0%,2.07
M,12,5,7,41.7%,9820.15,0.00,9820.15,19.0%,-6.1%,3.14
ATVI,8,6,2,75.0%,9677.49,0.00,9677.49,14.8%,-3.5%,4.27
GILD,8,4,4,50.0%,9245.00,0.00,9245.00,13.4%,-3.5%,3.84
ORCL,3,2,1,66.7%,8172.61,0.00,8172.61,6.8%,-4.6%,1.48
TTWO,9,7,2,77.8%,8118.85,0.00,8118.85,12.5%,-6.4%,1.94
VMW,6,5,1,83.3%,7434.37,0.00,7434.37,18.8%,-1.6%,12.04
GM,3,1,2,33.3%,6875.54,0.00,6875.54,20.3%,-4.2%,4.86
ISRG,7,4,3,57.1%,6124.37,0.00,6124.37,4.8%,-4.6%,1.05
KLAC,8,6,2,75.0%,6089.11,0.00,6089.11,7.9%,-4.4%,1.79
AMZN,8,4,4,50.0%,5742.94,0.00,5742.94,7.5%,-2.7%,2.77
JD,12,8,4,66.7%,5289.31,0.00,5289.31,11.2%,-3.5%,3.21
BAC,5,4,1,80.0%,4588.99,0.00,4588.99,9.8%,-0.1%,67.75
ETFC,5,4,1,80.0%,4494.10,0.00,4494.10,12.9%,-0.2%,73.27
NDAQ,7,5,2,71.4%,4375.50,0.00,4375.50,4.8%,-2.9%,1.66
EA,6,3,3,50.0%,4104.95,0.00,4104.95,14.6%,-3.4%,4.29
AAPL,11,6,5,54.5%,4049.06,0.00,4049.06,8.2%,-5.6%,1.45
GOOGL,4,1,3,25.0%,3983.89,0.00,3983.89,5.5%,-4.4%,1.24
KSS,9,3,6,33.3%,3303.34,0.00,3303.34,15.1%,-8.2%,1.84
CSCO,1,1,0,100.0%,3162.89,0.00,3162.89,7.9%,N/A,N/A
F,3,2,1,66.7%,3121.85,0.00,3121.85,7.6%,-3.5%,2.20
LRCX,8,4,4,50.0%,2916.88,0.00,2916.88,19.0%,-6.6%,2.88
ICE,5,3,2,60.0%,2308.90,0.00,2308.90,8.2%,-3.5%,2.38
LOW,5,3,2,60.0%,2065.02,0.00,2065.02,9.1%,-5.7%,1.61
YHOO,1,1,0,100.0%,1937.65,0.00,1937.65,9.5%,N/A,N/A
TJX,4,3,1,75.0%,1322.50,0.00,1322.50,6.2%,-4.0%,1.53
ULTA,3,2,1,66.7%,1277.88,0.00,1277.88,4.5%,-7.5%,0.61
SCHW,6,2,4,33.3%,1104.84,0.00,1104.84,18.9%,-5.2%,3.63
ROST,5,3,2,60.0%,663.63,0.00,663.63,3.1%,-4.7%,0.67
ALXN,5,2,3,40.0%,562.35,0.00,562.35,4.8%,-4.9%,1.00
ADBE,6,4,2,66.7%,515.30,0.00,515.30,9.0%,-5.6%,1.62
TXN,1,1,0,100.0%,495.00,0.00,495.00,4.2%,N/A,N/A
PXD,6,2,4,33.3%,480.67,0.00,480.67,5.6%,-4.9%,1.13
MSFT,6,3,3,50.0%,221.29,0.00,221.29,5.3%,-3.5%,1.51
YELP,8,3,5,37.5%,44.83,0.00,44.83,5.5%,-5.7%,0.98
LNKD,3,1,2,33.3%,-82.58,0.00,-82.58,1.6%,-1.9%,0.84
JPM,1,0,1,0.0%,-202.53,0.00,-202.53,N/A,-1.6%,N/A
ADI,3,1,2,33.3%,-308.91,0.00,-308.91,10.3%,-4.6%,2.27
EOG,2,1,1,50.0%,-490.16,0.00,-490.16,4.4%,-3.4%,1.31
HD,1,0,1,0.0%,-736.20,0.00,-736.20,N/A,-4.3%,N/A
DG,8,4,4,50.0%,-828.91,0.00,-828.91,7.8%,-5.8%,1.35
BIIB,5,2,3,40.0%,-966.24,0.00,-966.24,4.2%,-4.9%,0.86
