symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
GAP,14,11,3,78.6%,148582.09,0.00,148582.09,28.4%,-7.8%,3.63
GRPN,7,4,3,57.1%,75865.66,0.00,75865.66,57.1%,-15.4%,3.71
NVDA,33,20,13,60.6%,58724.00,0.00,58724.00,48.5%,-5.4%,8.96
TSLA,18,9,9,50.0%,56314.98,0.00,56314.98,52.3%,-9.1%,5.76
OXY,8,8,0,100.0%,55447.08,0.00,55447.08,32.7%,N/A,N/A
META,9,6,3,66.7%,55032.72,0.00,55032.72,43.3%,-5.0%,8.60
JWN,9,5,4,55.6%,32207.17,0.00,32207.17,11.0%,-10.2%,1.07
COP,6,4,2,66.7%,27421.67,0.00,27421.67,15.7%,-6.2%,2.55
AVGO,9,6,3,66.7%,24646.25,0.00,24646.25,12.2%,-4.5%,2.73
CRM,4,4,0,100.0%,19241.31,0.00,19241.31,11.0%,N/A,N/A
REGN,12,7,5,58.3%,16492.44,0.00,16492.44,9.5%,-3.9%,2.45
WYNN,6,5,1,83.3%,15925.29,0.00,15925.29,20.5%,-4.8%,4.31
GILD,8,4,4,50.0%,14728.68,0.00,14728.68,13.4%,-3.5%,3.84
ORCL,3,2,1,66.7%,12599.93,0.00,12599.93,6.8%,-4.6%,1.48
ATVI,8,6,2,75.0%,10067.84,0.00,10067.84,14.8%,-3.5%,4.27
M,12,6,6,50.0%,9517.04,0.00,9517.04,30.3%,-6.6%,4.62
GOOGL,4,1,3,25.0%,8947.35,0.00,8947.35,5.5%,-4.4%,1.24
TTWO,9,7,2,77.8%,8229.25,0.00,8229.25,12.5%,-6.4%,1.94
ISRG,7,4,3,57.1%,7970.82,0.00,7970.82,4.8%,-4.6%,1.05
GM,3,1,2,33.3%,7629.84,0.00,7629.84,20.3%,-4.2%,4.86
VMW,6,5,1,83.3%,7501.97,0.00,7501.97,18.8%,-1.6%,12.04
AAPL,11,6,5,54.5%,6266.38,0.00,6266.38,8.2%,-6.6%,1.25
SWKS,12,8,4,66.7%,6166.35,0.00,6166.35,12.5%,-6.0%,2.07
NDAQ,7,5,2,71.4%,5383.56,0.00,5383.56,4.8%,-2.9%,1.66
JD,12,8,4,66.7%,5290.90,0.00,5290.90,11.1%,-3.5%,3.17
CSCO,1,1,0,100.0%,5096.70,0.00,5096.70,7.9%,N/A,N/A
KLAC,8,6,2,75.0%,4885.27,0.00,4885.27,7.9%,-4.4%,1.79
BAC,5,4,1,80.0%,4787.37,0.00,4787.37,9.8%,-0.1%,67.75
ETFC,5,4,1,80.0%,4579.59,0.00,4579.59,12.9%,-0.2%,73.27
AMZN,8,4,4,50.0%,4212.55,0.00,4212.55,7.5%,-2.7%,2.77
EA,6,3,3,50.0%,3937.03,0.00,3937.03,14.6%,-3.4%,4.29
LRCX,8,4,4,50.0%,3571.35,0.00,3571.35,19.0%,-6.6%,2.88
F,3,2,1,66.7%,2974.74,0.00,2974.74,7.0%,-3.5%,2.03
KSS,9,3,6,33.3%,2156.87,0.00,2156.87,15.1%,-8.2%,1.84
ICE,5,3,2,60.0%,2138.03,0.00,2138.03,8.2%,-3.5%,2.38
YHOO,1,1,0,100.0%,1992.19,0.00,1992.19,9.5%,N/A,N/A
TJX,4,3,1,75.0%,1335.43,0.00,1335.43,6.2%,-4.0%,1.53
ULTA,3,2,1,66.7%,1300.58,0.00,1300.58,4.5%,-7.5%,0.61
ALXN,5,2,3,40.0%,918.11,0.00,918.11,4.8%,-4.9%,1.00
ROST,5,3,2,60.0%,780.03,0.00,780.03,3.1%,-4.7%,0.67
TXN,1,1,0,100.0%,499.38,0.00,499.38,4.2%,N/A,N/A
MSFT,6,3,3,50.0%,367.01,0.00,367.01,5.3%,-3.5%,1.51
PXD,6,2,4,33.3%,351.02,0.00,351.02,5.6%,-4.9%,1.13
ADBE,6,4,2,66.7%,307.59,0.00,307.59,9.0%,-5.6%,1.62
LOW,5,3,2,60.0%,204.91,0.00,204.91,9.1%,-5.7%,1.61
LNKD,3,1,2,33.3%,-85.78,0.00,-85.78,1.6%,-1.9%,0.84
YELP,8,3,5,37.5%,-98.70,0.00,-98.70,5.5%,-5.7%,0.98
JPM,1,0,1,0.0%,-207.86,0.00,-207.86,N/A,-1.6%,N/A
CME,4,1,3,25.0%,-556.74,0.00,-556.74,2.1%,-3.5%,0.60
HD,1,0,1,0.0%,-744.04,0.00,-744.04,N/A,-4.3%,N/A
SCHW,6,2,4,33.3%,-760.64,0.00,-760.64,18.9%,-5.2%,3.63
BIIB,5,2,3,40.0%,-1258.93,0.00,-1258.93,4.2%,-4.9%,0.86
AMGN,2,0,2,0.0%,-1321.92,0.00,-1321.92,N/A,-3.7%,N/A
DG,8,4,4,50.0%,-1343.51,0.00,-1343.51,7.8%,-5.8%,1.35
ADI,3,1,2,33.3%,-1378.47,0.00,-1378.47,10.3%,-4.6%,2.27
EOG,2,1,1,50.0%,-1746.02,0.00,-1746.02,4.4%,-3.4%,1.31
NXPI,2,0,2,0.0%,-1839.64,0.00,-1839.64,N/A,-5.2%,N/A
MCHP,2,0,2,0.0%,-1913.38,0.00,-1913.38,N/A,-4.1%,N/A
GS,4,1,3,25.0%,-2140.25,0.00,-2140.25,4.4%,-3.1%,1.40
CELG,1,0,1,0.0%,-2213.10,0.00,-2213.10,N/A,-7.8%,N/A
DLTR,10,3,7,30.0%,-2516.78,0.00,-2516.78,11.6%,-3.6%,3.27
EXPE,4,1,3,25.0%,-3046.37,0.00,-3046.37,15.6%,-3.5%,4.42
IBM,5,2,3,40.0%,-3130.00,0.00,-3130.00,1.9%,-6.0%,0.32
MGM,3,0,3,0.0%,-4211.32,0.00,-4211.32,N/A,-3.9%,N/A
HES,5,2,3,40.0%,-4284.28,0.00,-4284.28,11.7%,-6.6%,1.77
AMAT,3,0,3,0.0%,-4903.06,0.00,-4903.06,N/A,-4.9%,N/A
INTC,4,1,3,25.0%,-5115.00,0.00,-5115.00,3.2%,-7.2%,0.44
MS,4,2,2,50.0%,-5305.49,0.00,-5305.49,2.4%,-2.4%,1.02
P,6,2,4,33.3%,-6568.69,0.00,-6568.69,10.7%,-8.0%,1.33
VRTX,8,4,4,50.0%,-6673.65,0.00,-6673.65,4.7%,-5.6%,0.84
APA,6,2,4,33.3%,-6973.12,0.00,-6973.12,3.9%,-5.4%,0.71
EBAY,7,3,4,42.9%,-8381.47,0.00,-8381.47,3.9%,-3.1%,1.26
