symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
GAP,14,10,4,71.4%,214798.21,0.00,214798.21,31.1%,-7.0%,4.42
GRPN,7,4,3,57.1%,138287.31,0.00,138287.31,57.1%,-15.4%,3.71
NVDA,33,23,10,69.7%,89780.29,0.00,89780.29,25.4%,-4.7%,5.42
META,9,6,3,66.7%,75929.06,0.00,75929.06,42.5%,-5.0%,8.44
TSLA,18,11,7,61.1%,72717.41,0.00,72717.41,44.8%,-10.8%,4.15
OXY,8,8,0,100.0%,61511.49,0.00,61511.49,29.3%,N/A,N/A
JWN,9,5,4,55.6%,55309.28,0.00,55309.28,11.0%,-10.2%,1.07
COP,5,4,1,80.0%,37908.63,0.00,37908.63,15.7%,-6.7%,2.33
GOOGL,4,1,3,25.0%,22618.10,0.00,22618.10,5.5%,-4.4%,1.24
ORCL,3,2,1,66.7%,21879.30,0.00,21879.30,6.8%,-4.6%,1.48
AVGO,9,6,3,66.7%,20712.52,0.00,20712.52,12.2%,-4.5%,2.73
CRM,4,4,0,100.0%,18939.61,0.00,18939.61,11.0%,N/A,N/A
GILD,8,4,4,50.0%,18220.11,0.00,18220.11,13.4%,-3.5%,3.84
REGN,11,7,4,63.6%,18008.73,0.00,18008.73,9.5%,-3.9%,2.40
WYNN,6,5,1,83.3%,14597.33,0.00,14597.33,20.5%,-4.8%,4.31
ISRG,7,4,3,57.1%,13158.85,0.00,13158.85,4.8%,-4.6%,1.05
TTWO,9,7,2,77.8%,11353.01,0.00,11353.01,12.5%,-6.4%,1.94
KLAC,8,6,2,75.0%,9502.05,0.00,9502.05,7.9%,-4.4%,1.79
M,11,5,6,45.5%,8972.81,0.00,8972.81,23.0%,-6.6%,3.50
ATVI,8,6,2,75.0%,8710.30,0.00,8710.30,14.8%,-3.5%,4.27
VMW,5,5,0,100.0%,8646.52,0.00,8646.52,18.8%,N/A,N/A
NDAQ,7,5,2,71.4%,5284.84,0.00,5284.84,4.6%,-2.9%,1.59
F,3,2,1,66.7%,5083.07,0.00,5083.07,7.0%,-3.5%,2.03
EA,5,3,2,60.0%,4827.64,0.00,4827.64,14.6%,-3.3%,4.42
