symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
GAP,14,10,4,71.4%,220435.51,0.00,220435.51,30.1%,-7.0%,4.27
GRPN,7,4,3,57.1%,165999.46,0.00,165999.46,57.1%,-15.4%,3.71
META,9,6,3,66.7%,80177.48,0.00,80177.48,42.5%,-5.0%,8.44
NVDA,33,22,11,66.7%,71534.28,0.00,71534.28,25.9%,-5.7%,4.54
TSLA,18,11,7,61.1%,68747.44,0.00,68747.44,44.8%,-10.8%,4.15
JWN,9,5,4,55.6%,61192.79,0.00,61192.79,11.0%,-10.2%,1.07
OXY,8,8,0,100.0%,49005.70,0.00,49005.70,30.1%,N/A,N/A
COP,5,4,1,80.0%,34018.02,0.00,34018.02,15.7%,-6.7%,2.33
GOOGL,4,1,3,25.0%,27198.54,0.00,27198.54,5.5%,-4.4%,1.24
ORCL,3,2,1,66.7%,22250.06,0.00,22250.06,6.8%,-4.6%,1.48
AVGO,9,6,3,66.7%,21096.92,0.00,21096.92,12.2%,-4.5%,2.73
CRM,4,4,0,100.0%,19453.00,0.00,19453.00,11.0%,N/A,N/A
REGN,12,8,4,66.7%,18629.48,0.00,18629.48,10.3%,-3.9%,2.62
GILD,8,4,4,50.0%,18404.82,0.00,18404.82,13.4%,-3.5%,3.84
ISRG,7,4,3,57.1%,13967.36,0.00,13967.36,4.8%,-4.6%,1.05
M,11,5,6,45.5%,12069.73,0.00,12069.73,23.0%,-6.6%,3.50
TTWO,9,7,2,77.8%,10982.83,0.00,10982.83,12.5%,-6.4%,1.95
WYNN,6,5,1,83.3%,10401.57,0.00,10401.57,20.5%,-4.8%,4.31
KLAC,8,6,2,75.0%,9797.41,0.00,9797.41,7.9%,-4.4%,1.79
ATVI,8,6,2,75.0%,8748.69,0.00,8748.69,14.8%,-3.5%,4.27
VMW,5,5,0,100.0%,7352.23,0.00,7352.23,18.8%,N/A,N/A
NDAQ,7,5,2,71.4%,6042.52,0.00,6042.52,4.6%,-2.9%,1.59
F,3,2,1,66.7%,5696.75,0.00,5696.75,7.0%,-3.5%,2.03
EA,5,3,2,60.0%,4824.72,0.00,4824.72,14.6%,-3.3%,4.42
GM,3,1,2,33.3%,4449.86,0.00,4449.86,20.3%,-4.2%,4.86
