symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
GE,12,5,7,41.7%,19149.28,0.00,19149.28,33.3%,-6.7%,4.93
AVGO,13,8,5,61.5%,10176.38,0.00,10176.38,12.3%,-4.7%,2.62
COP,9,4,5,44.4%,8926.38,0.00,8926.38,16.8%,-3.8%,4.38
COST,13,8,5,61.5%,8209.90,0.00,8209.90,9.9%,-3.5%,2.82
ADBE,13,7,6,53.8%,8150.57,0.00,8150.57,12.3%,-5.2%,2.37
MMM,7,4,3,57.1%,8012.94,0.00,8012.94,11.2%,-1.9%,6.02
PM,11,6,5,54.5%,7998.10,0.00,7998.10,11.3%,-3.8%,2.99
PNC,11,7,4,63.6%,7359.01,0.00,7359.01,10.0%,-3.7%,2.73
AAPL,14,9,5,64.3%,6744.09,0.00,6744.09,7.7%,-3.2%,2.40
EOG,11,6,5,54.5%,6693.14,0.00,6693.14,9.1%,-3.6%,2.55
CRM,17,8,9,47.1%,6443.10,0.00,6443.10,8.6%,-3.7%,2.30
META,7,3,4,42.9%,6362.49,0.00,6362.49,15.4%,-0.8%,20.24
T,9,5,4,55.6%,5316.44,0.00,5316.44,7.5%,-3.6%,2.07
DIS,9,4,5,44.4%,5229.87,0.00,5229.87,9.5%,-3.9%,2.47
PFE,8,4,4,50.0%,5172.90,0.00,5172.90,13.2%,-4.6%,2.89
NFLX,16,9,7,56.2%,5145.74,0.00,5145.74,7.4%,-3.9%,1.91
RTX,5,5,0,100.0%,5075.58,0.00,5075.58,5.3%,N/A,N/A
LLY,14,8,6,57.1%,4019.78,0.00,4019.78,6.6%,-4.5%,1.46
SO,16,11,5,68.8%,3962.33,0.00,3962.33,3.7%,-3.9%,0.94
C,4,3,1,75.0%,3370.27,0.00,3370.27,8.5%,-0.9%,9.41
LMT,15,7,8,46.7%,3151.63,0.00,3151.63,5.4%,-2.5%,2.18
GS,6,3,3,50.0%,3035.96,0.00,3035.96,12.9%,-0.9%,13.91
MSFT,9,4,5,44.4%,2375.33,0.00,2375.33,7.5%,-3.5%,2.14
BAC,8,3,5,37.5%,2267.49,0.00,2267.49,14.1%,-2.8%,5.08
QCOM,9,5,4,55.6%,2255.55,0.00,2255.55,5.2%,-2.6%,1.98
ABBV,10,5,5,50.0%,2200.77,0.00,2200.77,11.3%,-6.8%,1.65
AMGN,12,7,5,58.3%,1991.73,0.00,1991.73,5.6%,-5.2%,1.08
TMO,9,3,6,33.3%,1765.99,0.00,1765.99,12.5%,-4.6%,2.69
AMZN,15,6,9,40.0%,1759.38,0.00,1759.38,7.2%,-3.2%,2.26
BMY,11,5,6,45.5%,1678.02,0.00,1678.02,6.9%,-3.7%,1.84
V,5,4,1,80.0%,1623.52,0.00,1623.52,4.0%,-2.4%,1.71
XOM,9,4,5,44.4%,1481.95,0.00,1481.95,6.7%,-3.5%,1.91
DUK,10,5,5,50.0%,1367.24,0.00,1367.24,4.6%,-2.8%,1.65
WFC,9,4,5,44.4%,1327.61,0.00,1327.61,7.9%,-4.0%,1.95
TJX,6,2,4,33.3%,1219.40,0.00,1219.40,12.9%,-3.0%,4.30
JNJ,7,4,3,57.1%,1212.46,0.00,1212.46,4.3%,-2.0%,2.13
PG,9,3,6,33.3%,1152.27,0.00,1152.27,5.9%,-2.3%,2.53
MDT,7,4,3,57.1%,995.55,0.00,995.55,3.9%,-2.6%,1.51
UNH,9,4,5,44.4%,989.36,0.00,989.36,7.7%,-4.2%,1.85
WMT,6,4,2,66.7%,895.85,0.00,895.85,6.3%,-6.2%,1.02
DE,14,8,6,57.1%,871.96,0.00,871.96,7.3%,-6.8%,1.07
ABT,13,7,6,53.8%,864.39,0.00,864.39,3.8%,-2.9%,1.31
BLK,6,2,4,33.3%,842.39,0.00,842.39,9.0%,-3.2%,2.77
ORCL,9,3,6,33.3%,791.24,0.00,791.24,11.6%,-6.4%,1.81
LOW,7,3,4,42.9%,651.85,0.00,651.85,5.9%,-2.2%,2.69
JPM,8,4,4,50.0%,560.28,0.00,560.28,5.0%,-3.7%,1.36
HON,5,2,3,40.0%,310.46,0.00,310.46,8.4%,-4.8%,1.75
FDX,10,3,7,30.0%,227.28,0.00,227.28,11.6%,-4.5%,2.58
PEP,13,6,7,46.2%,218.32,0.00,218.32,3.1%,-2.8%,1.10
UNP,7,3,4,42.9%,146.56,0.00,146.56,6.9%,-4.7%,1.46
BRK.B,4,2,2,50.0%,96.77,0.00,96.77,5.4%,-3.9%,1.38
GOOGL,12,2,10,16.7%,91.42,0.00,91.42,17.7%,-3.5%,5.05
KO,9,4,5,44.4%,-103.99,0.00,-103.99,5.0%,-4.0%,1.23
TXN,7,2,5,28.6%,-177.44,0.00,-177.44,8.8%,-3.1%,2.84
IBM,9,3,6,33.3%,-180.15,0.00,-180.15,7.2%,-3.8%,1.90
AXP,9,6,3,66.7%,-225.05,0.00,-225.05,2.1%,-7.5%,0.28
VZ,9,3,6,33.3%,-272.79,0.00,-272.79,5.7%,-4.0%,1.44
GILD,8,3,5,37.5%,-505.52,0.00,-505.52,6.0%,-4.4%,1.36
CVX,5,3,2,60.0%,-669.18,0.00,-669.18,3.3%,-5.0%,0.66
MCD,11,2,9,18.2%,-858.84,0.00,-858.84,7.1%,-2.4%,2.93
BA,5,2,3,40.0%,-1035.43,0.00,-1035.43,1.4%,-2.9%,0.46
HD,8,4,4,50.0%,-1106.08,0.00,-1106.08,4.1%,-4.5%,0.92
CAT,9,3,6,33.3%,-1109.79,0.00,-1109.79,5.3%,-4.0%,1.31
CSCO,8,2,6,25.0%,-1122.34,0.00,-1122.34,9.6%,-4.2%,2.31
MS,11,3,8,27.3%,-1302.73,0.00,-1302.73,10.1%,-3.8%,2.64
CMCSA,7,3,4,42.9%,-1464.94,0.00,-1464.94,4.7%,-5.0%,0.94
NKE,10,3,7,30.0%,-1821.98,0.00,-1821.98,6.3%,-3.9%,1.62
CL,7,1,6,14.3%,-2157.27,0.00,-2157.27,3.9%,-4.1%,0.94
SBUX,11,3,8,27.3%,-2388.68,0.00,-2388.68,4.3%,-3.2%,1.36
MRK,13,3,10,23.1%,-2498.34,0.00,-2498.34,4.9%,-3.0%,1.59
MA,10,3,7,30.0%,-2601.22,0.00,-2601.22,3.7%,-3.3%,1.14
USB,7,2,5,28.6%,-2638.15,0.00,-2638.15,4.1%,-5.2%,0.79
SLB,13,4,9,30.8%,-2745.86,0.00,-2745.86,4.4%,-4.0%,1.09
NEE,17,6,11,35.3%,-2942.45,0.00,-2942.45,5.0%,-4.8%,1.06
TGT,10,3,7,30.0%,-3993.24,0.00,-3993.24,2.7%,-4.9%,0.56
INTC,9,1,8,11.1%,-7764.57,0.00,-7764.57,3.0%,-6.2%,0.49
