symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
TXN,2015-10-23,2015-11-16,Long,225.0,43.843357489932,42.556220662518,-289.60578616815053,-2.94%,24,0
TXN,2016-03-14,2016-05-02,Long,219.0,42.91004313596,43.851026031048,206.07525402427166,2.19%,49,0
TXN,2016-07-27,2016-08-31,Long,175.0,55.015957742746,53.569541569266,-253.12283035899927,-2.63%,35,0
TXN,2017-03-08,2017-04-17,Long,175.0,62.114238314128,60.987260187504,-197.22117215920053,-1.81%,40,0
TXN,2017-10-17,2018-02-05,Long,154.0,74.889109137843,86.413701949848,1774.7872930487717,15.39%,111,0
TXN,2021-09-14,2021-10-13,Long,99.0,171.364013056236,166.172576220864,-513.9522467018282,-3.03%,29,0
TXN,2023-05-30,2023-06-26,Long,109.0,163.523934652078,155.226664929024,-904.4023998128861,-5.07%,27,0
MCD,2015-10-23,2015-11-16,Long,114.0,86.320965078348,85.449175278012,-99.38403723830277,-1.01%,24,0
MCD,2016-04-08,2016-04-22,Long,94.0,101.310999854064,99.254318032296,-193.32809124619155,-2.03%,14,0
MCD,2016-05-09,2016-05-18,Long,90.0,103.240130801808,100.753508780856,-223.79598188567982,-2.41%,9,0
MCD,2017-04-19,2017-06-13,Long,101.0,107.80116355008,121.492004409972,1382.7749268490911,12.70%,55,0
MCD,2017-07-10,2017-07-25,Long,88.0,128.130697442748,124.25783572206,-340.8118314205434,-3.02%,15,0
MCD,2018-04-06,2018-04-20,Long,87.0,136.8920408856,132.93537140016,-344.2302452332815,-2.89%,14,0
MCD,2018-05-01,2018-05-23,Long,84.0,139.80605871232,132.86037495168,-583.4374358937607,-4.97%,22,0
MCD,2018-08-15,2018-09-18,Long,92.0,134.94656311136,133.441874162388,-138.43138330542558,-1.12%,34,0
MCD,2018-11-07,2018-12-19,Long,78.0,154.483217206318,152.578269307692,-148.58593609282622,-1.23%,42,0
MCD,2019-08-12,2019-08-26,Long,62.0,190.44436066656,184.486125108096,-369.4106046247678,-3.13%,14,0
MCD,2020-09-15,2020-10-27,Long,69.0,195.794846102856,198.690497140473,199.799921595573,1.48%,42,0
GILD,2015-10-23,2015-11-13,Long,131.0,75.39680636488,72.889475935626,-328.4602862322755,-3.33%,21,0
GILD,2016-09-21,2016-09-30,Long,157.0,58.506884309874,55.591152139062,-457.76995081748504,-4.98%,9,0
GILD,2017-06-23,2017-08-07,Long,220.0,51.54922504732,53.40247101306,407.71411246280024,3.60%,45,0
GILD,2017-09-08,2017-09-29,Long,184.0,62.512943598105,59.428812463236,-567.4801288158955,-4.93%,21,0
GILD,2020-02-04,2020-05-19,Long,238.0,52.683815580396,59.78568399048,1690.2446815999924,13.48%,105,0
GILD,2021-05-14,2021-05-26,Long,277.0,57.578096448873,55.228241943531,-650.9096979797325,-4.08%,12,0
GILD,2023-02-14,2023-02-17,Long,217.0,78.806788289229,74.963627952381,-833.9657930960162,-4.88%,3,0
GILD,2024-10-18,2024-11-18,Long,282.0,84.360057189408,85.19378545548,235.1113710323042,0.99%,31,0
MMM,2015-10-23,2015-11-13,Long,126.0,77.9814991230557,77.9753567241776,-0.7739422586402611,-0.01%,21,0
MMM,2016-03-14,2016-04-27,Long,114.0,82.040990793604,84.051964086266,229.25095536346814,2.45%,44,0
MMM,2017-06-19,2017-06-30,Long,103.0,111.557714777486,108.541662573474,-310.65337701323585,-2.70%,11,0
MMM,2017-10-25,2017-11-10,Long,93.0,123.458769421433,119.930293243596,-328.1482845388416,-2.86%,16,0
MMM,2021-01-28,2021-04-28,Long,143.0,108.678262736723,113.858396410403,740.7591153362406,4.77%,90,0
MMM,2023-12-05,2024-01-18,Long,276.0,68.6617846937933,70.2734859706929,444.8295524242921,2.35%,44,0
MMM,2024-03-18,2024-05-29,Long,291.0,70.8549450007625,95.72670071676,7237.680913355275,35.10%,72,0
BA,2015-10-23,2015-11-13,Long,75.0,130.5394382292,127.706442209514,-212.47470147644947,-2.17%,21,0
BA,2016-03-14,2016-04-01,Long,83.0,112.9191582519,114.7823049978,154.6411799096997,1.65%,18,0
BA,2019-02-05,2019-03-12,Long,29.0,386.1483202577,390.249565555239,118.93611362863044,1.06%,35,0
BA,2021-03-12,2021-03-25,Long,62.0,252.252,239.00076,-821.5768799999997,-5.25%,13,0
BA,2023-07-27,2023-08-17,Long,83.0,233.0328,229.72005,-274.95825000000184,-1.42%,21,0
PEP,2015-10-23,2015-11-09,Long,130.0,75.812385376728,73.194665818248,-340.3035426024006,-3.45%,17,0
PEP,2016-04-11,2016-04-21,Long,122.0,78.365679496104,76.26616007742,-256.1413690794476,-2.68%,10,0
PEP,2016-05-11,2016-05-18,Long,118.0,79.492008984388,76.206606218892,-387.6775263285266,-4.13%,7,0
PEP,2017-03-22,2017-06-28,Long,127.0,85.806225430926,89.446911184368,462.367090687134,4.24%,98,0
PEP,2017-08-16,2017-08-25,Long,123.0,91.952225453088,89.62430869728,-286.33376096438457,-2.53%,9,0
PEP,2018-06-18,2018-08-13,Long,143.0,85.731982613277,89.742914911341,573.5633186231528,4.68%,56,0
PEP,2018-11-07,2018-12-17,Long,131.0,92.545644024834,92.07585646551,-61.54217027144455,-0.51%,40,0
PEP,2019-05-16,2019-07-01,Long,112.0,105.578122334685,107.599223046024,226.3632796699667,1.91%,46,0
PEP,2019-08-27,2019-10-03,Long,109.0,109.960569967248,110.664475870878,76.72574349566864,0.64%,37,0
PEP,2019-10-07,2019-11-05,Long,101.0,116.134775120364,111.672469454292,-450.6928722732718,-3.84%,29,0
PEP,2021-03-23,2021-06-21,Long,128.0,119.17082435258,126.426350914182,928.7073998850556,6.09%,90,0
PEP,2023-02-14,2023-03-01,Long,106.0,161.175409707312,157.016859934032,-440.8062759676816,-2.58%,15,0
