symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
NEE,1,1,0,100.0%,1233.29,0.00,1233.29,12.9%,N/A,N/A
MRK,1,1,0,100.0%,429.48,0.00,429.48,4.6%,N/A,N/A
DUK,1,1,0,100.0%,417.58,0.00,417.58,4.4%,N/A,N/A
HD,1,1,0,100.0%,348.58,0.00,348.58,3.6%,N/A,N/A
ORCL,1,1,0,100.0%,229.88,0.00,229.88,2.4%,N/A,N/A
MMM,2,1,1,50.0%,228.48,0.00,228.48,2.5%,-0.0%,311.19
ABT,2,2,0,100.0%,186.54,0.00,186.54,1.0%,N/A,N/A
SLB,1,1,0,100.0%,148.07,0.00,148.07,1.5%,N/A,N/A
UNH,1,1,0,100.0%,114.26,0.00,114.26,1.2%,N/A,N/A
LLY,1,1,0,100.0%,51.39,0.00,51.39,0.5%,N/A,N/A
ABBV,1,1,0,100.0%,31.44,0.00,31.44,0.3%,N/A,N/A
SO,2,1,1,50.0%,-54.42,0.00,-54.42,3.4%,-4.0%,0.86
BA,2,1,1,50.0%,-57.83,0.00,-57.83,1.6%,-2.2%,0.76
INTC,1,0,1,0.0%,-81.07,0.00,-81.07,N/A,-0.9%,N/A
TXN,2,1,1,50.0%,-83.53,0.00,-83.53,2.2%,-2.9%,0.75
COST,1,0,1,0.0%,-110.58,0.00,-110.58,N/A,-1.1%,N/A
DIS,1,0,1,0.0%,-137.92,0.00,-137.92,N/A,-1.4%,N/A
MCD,2,0,2,0.0%,-292.71,0.00,-292.71,N/A,-1.5%,N/A
AVGO,1,0,1,0.0%,-296.72,0.00,-296.72,N/A,-3.1%,N/A
GE,1,0,1,0.0%,-325.45,0.00,-325.45,N/A,-3.3%,N/A
BLK,1,0,1,0.0%,-328.29,0.00,-328.29,N/A,-3.5%,N/A
GILD,1,0,1,0.0%,-328.46,0.00,-328.46,N/A,-3.3%,N/A
MDT,1,0,1,0.0%,-366.99,0.00,-366.99,N/A,-3.8%,N/A
TMO,1,0,1,0.0%,-379.51,0.00,-379.51,N/A,-3.9%,N/A
VZ,1,0,1,0.0%,-391.80,0.00,-391.80,N/A,-4.1%,N/A
PM,1,0,1,0.0%,-391.93,0.00,-391.93,N/A,-4.0%,N/A
BAC,1,0,1,0.0%,-392.21,0.00,-392.21,N/A,-4.1%,N/A
COP,1,0,1,0.0%,-422.80,0.00,-422.80,N/A,-4.4%,N/A
HON,1,0,1,0.0%,-562.73,0.00,-562.73,N/A,-5.8%,N/A
PEP,2,0,2,0.0%,-596.44,0.00,-596.44,N/A,-3.1%,N/A
PG,1,0,1,0.0%,-609.55,0.00,-609.55,N/A,-6.4%,N/A
KO,2,0,2,0.0%,-739.43,0.00,-739.43,N/A,-3.8%,N/A
CL,2,0,2,0.0%,-869.52,0.00,-869.52,N/A,-4.5%,N/A
MS,2,0,2,0.0%,-957.46,0.00,-957.46,N/A,-4.9%,N/A
NFLX,2,1,1,50.0%,-1022.01,0.00,-1022.01,1.3%,-12.0%,0.11
