symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
TXN,2015-10-23,2015-11-16,Long,225.0,43.843357489932,42.556220662518,-289.60578616815053,-2.94%,24,0
TXN,2016-03-14,2016-05-02,Long,219.0,42.91004313596,43.851026031048,206.07525402427166,2.19%,49,0
MCD,2015-10-23,2015-11-16,Long,114.0,86.320965078348,85.449175278012,-99.38403723830277,-1.01%,24,0
MCD,2016-04-08,2016-04-22,Long,94.0,101.310999854064,99.254318032296,-193.32809124619155,-2.03%,14,0
GILD,2015-10-23,2015-11-13,Long,131.0,75.39680636488,72.889475935626,-328.4602862322755,-3.33%,21,0
MMM,2015-10-23,2015-11-13,Long,126.0,77.9814991230557,77.9753567241776,-0.7739422586402611,-0.01%,21,0
MMM,2016-03-14,2016-04-27,Long,114.0,82.040990793604,84.051964086266,229.25095536346814,2.45%,44,0
BA,2015-10-23,2015-11-13,Long,75.0,130.5394382292,127.706442209514,-212.47470147644947,-2.17%,21,0
BA,2016-03-14,2016-04-01,Long,83.0,112.9191582519,114.7823049978,154.6411799096997,1.65%,18,0
PEP,2015-10-23,2015-11-09,Long,130.0,75.812385376728,73.194665818248,-340.3035426024006,-3.45%,17,0
PEP,2016-04-11,2016-04-21,Long,122.0,78.365679496104,76.26616007742,-256.1413690794476,-2.68%,10,0
KO,2015-10-23,2015-11-10,Long,314.0,31.369164610784,30.075660297936,-406.1603542342721,-4.12%,18,0
KO,2015-12-17,2016-01-05,Long,299.0,32.048355186848,30.93374257272,-333.2691716242718,-3.48%,19,0
CL,2015-10-23,2015-11-02,Long,181.0,54.328450704528,52.410992439105,-347.05994604156314,-3.53%,10,0
CL,2015-12-17,2016-01-05,Long,177.0,54.083086198141,51.131326911579,-522.4613937214731,-5.46%,19,0
ABT,2015-10-23,2015-11-13,Long,273.0,36.05947400055,36.558262149993,136.16916479793935,1.38%,21,0
ABT,2016-03-14,2016-04-29,Long,280.0,33.676038414018,33.855947928234,50.374663980479966,0.53%,46,0
DIS,2015-10-23,2015-12-04,Long,95.0,103.8252742527,102.373502225796,-137.91834255587958,-1.40%,42,0
ABBV,2015-11-02,2015-11-16,Long,250.0,39.331793836335,39.457549635318,31.438949745750122,0.32%,14,0
MS,2015-11-09,2015-12-10,Long,373.0,26.703100909485,25.114433571855,-592.5729169359898,-5.95%,31,0
MS,2016-04-21,2016-05-05,Long,463.0,20.79256317138,20.004460391124,-364.89158725852826,-3.79%,14,0
GE,2015-11-11,2016-01-08,Long,75.0,131.803063356761,127.463765097794,-325.44736942252433,-3.29%,58,0
NFLX,2015-11-18,2015-12-14,Long,825.0,11.72171,11.879109,129.85417499999988,1.34%,26,0
NFLX,2016-04-13,2016-04-20,Long,897.0,10.708698,9.424566,-1151.8664039999996,-11.99%,7,0
HD,2015-11-18,2015-12-14,Long,97.0,99.09932360328,102.69292463964,348.5793005269199,3.63%,26,0
MDT,2015-11-19,2016-01-08,Long,163.0,59.621717619464,57.37027563666,-366.98504319705256,-3.78%,50,0
COST,2015-11-19,2015-12-10,Long,71.0,135.81849556275,134.261008332264,-110.58159336450626,-1.15%,21,0
LLY,2015-11-19,2016-01-04,Long,138.0,70.529029235665,70.901402571054,51.387520283681965,0.53%,46,0
TMO,2015-11-19,2015-12-04,Long,72.0,133.82420734683,128.55317261553,-379.5145006536004,-3.94%,15,0
HON,2015-11-19,2015-12-14,Long,128.0,75.9152799526826,71.518917290688,-562.734420735309,-5.79%,25,0
AVGO,2015-12-04,2015-12-21,Long,866.0,11.200323220086,10.857685002444,-296.7246964779716,-3.06%,17,0
PM,2015-12-07,2015-12-14,Long,181.0,54.67539958881,52.510041931464,-391.929735979626,-3.96%,7,0
NEE,2015-12-17,2016-04-06,Long,477.0,20.0830000408538,22.6685198963925,1233.2929710919595,12.87%,111,0
SO,2015-12-17,2016-03-02,Long,314.0,30.477670751528,31.525894225323,329.1421707716305,3.44%,76,0
SO,2016-04-01,2016-04-21,Long,280.0,34.409337591629,33.039455792679,-383.5669037059992,-3.98%,20,0
PG,2015-12-17,2016-01-11,Long,155.0,61.583891276908,57.651321293676,-609.54834740096,-6.39%,25,0
VZ,2015-12-17,2016-01-14,Long,346.0,27.628229922293,26.49586605156,-391.7978992736174,-4.10%,28,0
DUK,2015-12-24,2016-02-22,Long,200.0,47.7692423208,49.857144282666,417.5803923732005,4.37%,60,0
BLK,2016-03-14,2016-04-08,Long,35.0,266.902992911555,257.523406511301,-328.28552400888896,-3.51%,25,0
UNH,2016-03-14,2016-04-08,Long,88.0,107.11117658241,108.409622176683,114.26321229602445,1.21%,25,0
INTC,2016-03-14,2016-04-08,Long,372.0,25.349264748808,25.131340118385,-81.06796251735568,-0.86%,25,0
MRK,2016-03-14,2016-04-29,Long,250.0,37.6312071470707,39.3491080891166,429.47523551147526,4.57%,46,0
ORCL,2016-03-14,2016-04-08,Long,280.0,33.64703028687,34.468021161315,229.87744484460052,2.44%,25,0
SLB,2016-04-13,2016-05-04,Long,166.0,57.58305391839,58.475017931517,148.06602617908226,1.55%,21,0
COP,2016-04-20,2016-05-04,Long,279.0,34.451060567924,32.935631232168,-422.804784675925,-4.40%,14,0
BAC,2016-04-21,2016-05-04,Long,799.0,12.04823056437,11.55735685422,-392.2080944098498,-4.07%,13,0
