Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,99.0,-10248.621095290611,33376.1758820067,0,43624.79697729731,43624.79697729731,Open (99 sh)
META,0,0,0,27466.974987256006,0,27466.974987256006,Closed
ORCL,187.0,13234.964424350997,33428.75669122608,0,20193.792266875083,20193.792266875083,Open (187 sh)
AMZN,0,0,0,16259.395723035996,0,16259.395723035996,Closed
LLY,0,0,0,13050.914147166011,0,13050.914147166011,Closed
DE,75.0,20734.74610630196,33540.82560498851,0,12806.079498686551,12806.079498686551,Open (75 sh)
COST,0,0,0,11665.633317397005,0,11665.633317397005,Closed
AVGO,0,0,0,11555.580959488085,0,11555.580959488085,Closed
TXN,0,0,0,11344.964035269018,0,11344.964035269018,Closed
GOOGL,0,0,0,9561.82614323299,0,9561.82614323299,Closed
ADBE,0,0,0,8517.199999999983,0,8517.199999999983,Closed
NFLX,387.0,26544.079000000027,33521.424608315014,0,6977.345608314987,6977.345608314987,Open (387 sh)
GS,57.0,27467.22248840198,33040.46894145478,0,5573.246453052801,5573.246453052801,Open (57 sh)
MSFT,0,0,0,2849.314537867991,0,2849.314537867991,Closed
UNH,0,0,0,2601.4418421260198,0,2601.4418421260198,Closed
CAT,0,0,0,2546.408696761995,0,2546.408696761995,Closed
JPM,140.0,32031.628463008004,33339.040933453456,0,1307.4124704454516,1307.4124704454516,Open (140 sh)
AMD,0,0,0,579.1199999999953,0,579.1199999999953,Closed
HD,82.0,33041.65762981701,33534.27798033996,0,492.6203505229496,492.6203505229496,Open (82 sh)
CRM,104.0,35492.776254840006,33265.47935821556,0,-2227.2968966244443,-2227.2968966244443,Open (104 sh)
V,0,0,0,-2438.3382551039977,0,-2438.3382551039977,Closed
MA,0,0,0,-5086.628650739993,0,-5086.628650739993,Closed
QCOM,0,0,0,-6205.022108012985,0,-6205.022108012985,Closed
AAPL,0,0,0,-8996.336279846,0,-8996.336279846,Closed
TOTAL,,,,95272.44909589812,88747.99672857068,184020.4458244688,
