symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SPY,2015-01-02,2015-10-01,Long,578.0,170.768066469,161.264198709666,-5493.235564895043,-5.57%,272,0
SPY,2015-11-02,2016-02-01,Long,531.0,175.331604121674,164.126652964092,-5949.829064676043,-6.39%,91,0
SPY,2016-04-01,2017-07-03,Long,505.0,175.270239792648,211.0466214207,18067.072722166264,20.41%,458,0
SPY,2018-06-01,2019-01-02,Long,475.0,240.31160639486,224.536766759712,-7493.048826695299,-6.56%,215,0
SPY,2019-03-01,2020-04-01,Long,429.0,250.876997623252,237.3430694499,-5806.055186368006,-5.39%,397,0
SPY,2020-05-01,2022-06-01,Long,389.0,268.017224707232,391.419379475334,48003.43820479167,46.04%,761,0
SPY,2023-07-03,2023-08-01,Long,349.0,429.754604911632,442.935117629874,4599.998938666467,3.07%,29,0
BND,2015-10-01,2015-11-02,Long,1524.0,61.259942878134,61.15250653974,-163.73297971244892,-0.18%,32,0
BND,2016-02-01,2016-04-01,Long,1416.0,61.668757601451,62.625897464949,1355.310046713168,1.55%,60,0
BND,2019-01-02,2019-03-01,Long,1652.0,64.665560056097,65.194526571642,873.8526836803533,0.82%,58,0
BND,2020-04-01,2020-05-01,Long,1417.0,71.92475753463,73.762262598303,2603.74467522463,2.55%,30,0
BND,2022-06-01,2023-05-01,Long,2240.0,67.824144392004,67.000645422864,-1844.6376908736102,-1.21%,334,0
EFA,2017-07-03,2018-06-01,Long,2100.0,50.70183842724,54.42897202452,7826.980554288004,7.35%,333,0
EFA,2023-05-01,2023-07-03,Long,2243.0,66.907889362314,66.964090878,126.05999968369467,0.08%,63,0
EFA,2023-08-01,2023-12-01,Long,2245.0,68.912116985712,66.890199467376,-4539.204828664344,-2.93%,122,0
