Date,Ticker,Direction,Quantity,Price,Value,Status
2020-04-15T20:00:00Z,SHOP,BUY,250.0,50.863,12715.75,3
2020-05-07T20:00:00Z,UBER,BUY,424.0,32.56,13805.44,3
2020-05-11T20:00:00Z,AMAT,BUY,257.0,51.56444352,13252.06198464,3
2020-05-26T20:00:00Z,RCL,BUY,275.0,53.205067168,14631.3934712,3
2020-05-28T20:00:00Z,BA,BUY,88.0,145.0,12760.0,3
2020-05-29T20:00:00Z,LRCX,BUY,523.0,25.3533568365,13259.8056254895,3
2020-06-02T04:00:00Z,SHOP,SELL,250.0,76.443,19110.75,3
2020-06-06T04:00:00Z,AMAT,SELL,257.0,57.032396486,14657.325896902,3
2020-06-16T04:00:00Z,UBER,SELL,424.0,34.0,14416.0,3
2020-06-26T04:00:00Z,LRCX,SELL,523.0,29.39123242,15371.61455566,3
2020-07-07T20:00:00Z,RCL,SELL,275.0,46.1883664,12701.80076,3
2020-07-15T20:00:00Z,RCL,BUY,244.0,54.453135792,13286.565133248,3
2020-07-15T20:00:00Z,NCLH,BUY,757.0,16.57,12543.49,3
2020-07-20T20:00:00Z,NCLH,SELL,757.0,15.1,11430.7,3
2020-07-21T20:00:00Z,OXY,BUY,835.0,16.108129248,13450.28792208,3
2020-07-24T04:00:00Z,OXY,SELL,835.0,15.825860628,13214.59362438,3
2020-07-30T04:00:00Z,RCL,SELL,244.0,49.33310624,12037.27792256,3
2020-07-30T20:00:00Z,BA,SELL,88.0,161.56,14217.28,3
2020-08-06T20:00:00Z,BYND,BUY,101.0,132.33,13365.33,3
2020-08-10T20:00:00Z,UAL,BUY,355.0,39.71,14097.05,3
2020-08-10T20:00:00Z,BYND,SELL,101.0,127.38,12865.38,3
2020-08-11T20:00:00Z,BA,BUY,73.0,184.01,13432.73,3
2020-08-21T20:00:00Z,BA,SELL,73.0,168.54,12303.42,3
2020-08-24T20:00:00Z,BA,BUY,73.0,180.59,13183.07,3
2020-08-24T20:00:00Z,AAL,BUY,970.0,13.7,13289.0,3
2020-09-08T20:00:00Z,BA,SELL,73.0,161.61,11797.53,3
2020-09-21T20:00:00Z,FSLY,BUY,135.0,91.64,12371.4,3
2020-09-23T20:00:00Z,AAL,SELL,970.0,11.72,11368.4,3
2020-09-24T20:00:00Z,UAL,SELL,355.0,32.58,11565.9,3
2020-09-25T20:00:00Z,MRNA,BUY,179.0,69.68,12472.72,3
2020-10-05T20:00:00Z,UAL,BUY,347.0,36.75,12752.25,3
2020-10-09T20:00:00Z,AAL,BUY,995.0,13.12,13054.4,3
2020-10-13T20:00:00Z,AAL,SELL,995.0,12.33,12268.35,3
2020-10-16T20:00:00Z,UAL,SELL,347.0,34.5,11971.5,3
2020-10-19T20:00:00Z,UAL,BUY,342.0,36.16,12366.72,3
2020-10-22T20:00:00Z,FSLY,SELL,135.0,75.49,10191.15,3
2020-10-28T04:00:00Z,MRNA,SELL,179.0,68.75,12306.25,3
2020-10-28T20:00:00Z,UAL,SELL,342.0,32.55,11132.1,3
2020-11-09T21:00:00Z,UAL,BUY,285.0,40.44,11525.4,3
2020-11-19T21:00:00Z,AAL,BUY,925.0,12.82,11858.5,3
2020-11-21T05:00:00Z,AAL,SELL,925.0,12.75,11793.75,3
2020-11-24T05:00:00Z,UAL,SELL,285.0,42.79,12195.15,3
2020-11-30T21:00:00Z,ZM,BUY,24.0,434.68,10432.32,3
2020-12-01T21:00:00Z,ZM,SELL,24.0,399.0,9576.0,3
2021-02-05T21:00:00Z,CCL,BUY,552.0,21.6,11923.2,3
2021-02-08T21:00:00Z,ZM,BUY,28.0,412.75,11557.0,3
2021-02-25T21:00:00Z,ZM,SELL,28.0,367.95,10302.6,3
2021-02-26T05:00:00Z,CCL,SELL,552.0,25.89,14291.28,3
2021-05-27T20:00:00Z,SNAP,BUY,195.0,61.34,11961.3,3
2021-06-14T20:00:00Z,ROKU,BUY,32.0,361.89,11580.48,3
2021-06-18T20:00:00Z,TWLO,BUY,32.0,367.43,11757.76,3
2021-06-22T20:00:00Z,PLUG,BUY,357.0,33.23,11863.11,3
2021-07-03T04:00:00Z,SNAP,SELL,195.0,69.98,13646.1,3
2021-07-12T20:00:00Z,PLUG,SELL,357.0,28.32,10110.24,3
2021-08-02T20:00:00Z,NIO,BUY,266.0,45.25,12036.5,3
2021-08-10T04:00:00Z,TWLO,SELL,32.0,378.43,12109.76,3
2021-08-11T20:00:00Z,ROKU,SELL,32.0,370.99,11871.68,3
2021-08-13T20:00:00Z,NIO,SELL,266.0,39.57,10525.62,3
