Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,11713.525624035596,0,11713.525624035596,Closed
SHOP,0,0,0,7210.18,0,7210.18,Closed
SMCI,0,0,0,6896.983,0,6896.983,Closed
TSLA,42.0,14216.230000000025,18804.644831880454,0,4588.414831880429,4588.414831880429,Open (42 sh)
MSTR,68.0,13861.159999999996,17850.795168119555,0,3989.6351681195592,3989.6351681195592,Open (68 sh)
AMD,0,0,0,2618.739999999998,0,2618.739999999998,Closed
SNAP,0,0,0,1684.7999999999993,0,1684.7999999999993,Closed
DELL,0,0,0,1595.101308112,0,1595.101308112,Closed
AMAT,0,0,0,1405.2639122620021,0,1405.2639122620021,Closed
CRWD,0,0,0,950.9499999999989,0,950.9499999999989,Closed
LRCX,0,0,0,845.3471968645026,0,845.3471968645026,Closed
CCL,0,0,0,672.3799999999974,0,672.3799999999974,Closed
MRVL,0,0,0,485.78415229199163,0,485.78415229199163,Closed
ABNB,0,0,0,364.03999999999724,0,364.03999999999724,Closed
TWLO,0,0,0,352.0,0,352.0,Closed
ROKU,0,0,0,291.2000000000007,0,291.2000000000007,Closed
JD,0,0,0,275.02368371699777,0,275.02368371699777,Closed
CEG,0,0,0,252.34698819199912,0,252.34698819199912,Closed
AVGO,0,0,0,139.303361106,0,139.303361106,Closed
MRNA,0,0,0,-166.47000000000116,0,-166.47000000000116,Closed
QCOM,0,0,0,-203.01964234499974,0,-203.01964234499974,Closed
SNOW,0,0,0,-208.63999999999942,0,-208.63999999999942,Closed
OXY,0,0,0,-235.6942977000017,0,-235.6942977000017,Closed
BYND,0,0,0,-499.95000000000255,0,-499.95000000000255,Closed
INTC,0,0,0,-554.1813038450055,0,-554.1813038450055,Closed
BABA,0,0,0,-738.2549051999995,0,-738.2549051999995,Closed
MELI,0,0,0,-958.760000000002,0,-958.760000000002,Closed
KLAC,0,0,0,-980.7727666099963,0,-980.7727666099963,Closed
BA,0,0,0,-1057.5699999999997,0,-1057.5699999999997,Closed
NCLH,0,0,0,-1112.7900000000009,0,-1112.7900000000009,Closed
VRT,0,0,0,-1202.868920474999,0,-1202.868920474999,Closed
UBER,0,0,0,-1312.3600000000006,0,-1312.3600000000006,Closed
AMC,0,0,0,-1434.9365565146127,0,-1434.9365565146127,Closed
LCID,0,0,0,-1677.5,0,-1677.5,Closed
PLTR,0,0,0,-1723.4199999999983,0,-1723.4199999999983,Closed
PLUG,0,0,0,-1752.869999999999,0,-1752.869999999999,Closed
RIVN,0,0,0,-2073.6500000000015,0,-2073.6500000000015,Closed
ZM,0,0,0,-2110.720000000001,0,-2110.720000000001,Closed
FSLY,0,0,0,-2180.25,0,-2180.25,Closed
ENPH,0,0,0,-2575.3500000000004,0,-2575.3500000000004,Closed
AAL,0,0,0,-2771.4000000000015,0,-2771.4000000000015,Closed
MU,0,0,0,-3147.8802282300003,0,-3147.8802282300003,Closed
RCL,0,0,0,-3178.8799218879976,0,-3178.8799218879976,Closed
XYZ,0,0,0,-3623.909999999996,0,-3623.909999999996,Closed
RBLX,0,0,0,-3723.380000000001,0,-3723.380000000001,Closed
UAL,0,0,0,-3876.770000000004,0,-3876.770000000004,Closed
NIO,0,0,0,-4587.940000000002,0,-4587.940000000002,Closed
TOTAL,,,,-11917.219316226543,8578.049999999988,-3339.1693162265547,
