symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
C,10,8,2,80.0%,10442.78,0.00,10442.78,11.3%,-1.1%,10.12
ADBE,32,14,18,43.8%,9517.65,0.00,9517.65,9.5%,-2.8%,3.41
FDX,34,13,21,38.2%,7113.92,0.00,7113.92,9.9%,-3.0%,3.24
ORCL,24,11,13,45.8%,6151.27,0.00,6151.27,7.3%,-2.8%,2.59
AAPL,21,13,8,61.9%,5678.22,0.00,5678.22,5.1%,-2.3%,2.23
COP,18,6,12,33.3%,4456.89,0.00,4456.89,11.9%,-2.8%,4.21
BLK,34,13,21,38.2%,4277.52,0.00,4277.52,6.0%,-1.9%,3.25
META,43,18,25,41.9%,4127.98,0.00,4127.98,6.7%,-3.5%,1.89
CRM,29,13,16,44.8%,3874.02,0.00,3874.02,5.3%,-2.6%,2.07
PNC,20,7,13,35.0%,3714.56,0.00,3714.56,9.2%,-2.3%,4.07
LMT,28,13,15,46.4%,3435.18,0.00,3435.18,4.2%,-2.0%,2.12
ABBV,25,10,15,40.0%,3266.93,0.00,3266.93,6.7%,-2.2%,3.13
NKE,21,10,11,47.6%,3072.48,0.00,3072.48,6.0%,-2.3%,2.60
EOG,32,11,21,34.4%,3034.35,0.00,3034.35,7.2%,-3.0%,2.39
PM,21,8,13,38.1%,2794.57,0.00,2794.57,6.4%,-2.3%,2.76
AMGN,26,11,15,42.3%,2605.31,0.00,2605.31,4.3%,-1.5%,2.78
LLY,29,10,19,34.5%,2495.39,0.00,2495.39,6.0%,-2.3%,2.65
IBM,20,8,12,40.0%,2389.13,0.00,2389.13,4.5%,-1.8%,2.47
JPM,16,8,8,50.0%,2381.82,0.00,2381.82,3.8%,-1.8%,2.15
GOOGL,21,10,11,47.6%,2303.47,0.00,2303.47,4.6%,-2.5%,1.82
WFC,17,7,10,41.2%,2294.63,0.00,2294.63,4.9%,-1.9%,2.59
NFLX,26,9,17,34.6%,2241.91,0.00,2241.91,7.3%,-3.0%,2.46
PG,28,11,17,39.3%,2213.22,0.00,2213.22,3.9%,-1.3%,2.90
LOW,25,10,15,40.0%,2162.77,0.00,2162.77,5.8%,-2.7%,2.16
