symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
NFLX,1,1,0,100.0%,1068.44,0.00,1068.44,11.3%,N/A,N/A
META,1,1,0,100.0%,384.57,0.00,384.57,4.1%,N/A,N/A
BLK,1,1,0,100.0%,270.83,0.00,270.83,2.9%,N/A,N/A
DIS,1,1,0,100.0%,135.15,0.00,135.15,1.4%,N/A,N/A
GE,1,1,0,100.0%,99.08,0.00,99.08,1.0%,N/A,N/A
TMO,1,1,0,100.0%,67.38,0.00,67.38,0.7%,N/A,N/A
JNJ,1,1,0,100.0%,51.14,0.00,51.14,0.5%,N/A,N/A
USB,1,1,0,100.0%,0.81,0.00,0.81,0.0%,N/A,N/A
T,1,0,1,0.0%,-1.75,0.00,-1.75,N/A,-0.0%,N/A
MDT,1,0,1,0.0%,-21.16,0.00,-21.16,N/A,-0.2%,N/A
SO,1,0,1,0.0%,-52.43,0.00,-52.43,N/A,-0.6%,N/A
SLB,1,0,1,0.0%,-60.92,0.00,-60.92,N/A,-0.6%,N/A
BRK.B,1,0,1,0.0%,-84.43,0.00,-84.43,N/A,-0.9%,N/A
MS,1,0,1,0.0%,-85.49,0.00,-85.49,N/A,-0.9%,N/A
MCD,1,0,1,0.0%,-95.03,0.00,-95.03,N/A,-1.0%,N/A
AAPL,1,0,1,0.0%,-96.12,0.00,-96.12,N/A,-1.0%,N/A
VZ,1,0,1,0.0%,-129.59,0.00,-129.59,N/A,-1.4%,N/A
AMZN,1,0,1,0.0%,-140.76,0.00,-140.76,N/A,-1.5%,N/A
PNC,1,0,1,0.0%,-145.98,0.00,-145.98,N/A,-1.5%,N/A
TXN,1,0,1,0.0%,-189.59,0.00,-189.59,N/A,-2.0%,N/A
BMY,1,0,1,0.0%,-234.21,0.00,-234.21,N/A,-2.4%,N/A
COST,1,0,1,0.0%,-244.52,0.00,-244.52,N/A,-2.6%,N/A
WFC,1,0,1,0.0%,-250.46,0.00,-250.46,N/A,-2.6%,N/A
LMT,1,0,1,0.0%,-302.96,0.00,-302.96,N/A,-3.2%,N/A
ADBE,1,0,1,0.0%,-340.19,0.00,-340.19,N/A,-3.5%,N/A
GILD,2,0,2,0.0%,-396.25,0.00,-396.25,N/A,-2.0%,N/A
TGT,2,0,2,0.0%,-402.65,0.00,-402.65,N/A,-2.1%,N/A
GS,1,0,1,0.0%,-439.39,0.00,-439.39,N/A,-4.6%,N/A
LOW,1,0,1,0.0%,-451.48,0.00,-451.48,N/A,-4.6%,N/A
QCOM,1,0,1,0.0%,-453.09,0.00,-453.09,N/A,-4.8%,N/A
TJX,1,0,1,0.0%,-459.28,0.00,-459.28,N/A,-4.7%,N/A
MRK,1,0,1,0.0%,-467.13,0.00,-467.13,N/A,-4.7%,N/A
AVGO,1,0,1,0.0%,-540.52,0.00,-540.52,N/A,-5.5%,N/A
HD,1,0,1,0.0%,-549.88,0.00,-549.88,N/A,-5.6%,N/A
NEE,3,0,3,0.0%,-621.99,0.00,-621.99,N/A,-2.2%,N/A
LLY,3,1,2,33.3%,-644.54,0.00,-644.54,0.8%,-3.8%,0.21
UNH,3,0,3,0.0%,-689.92,0.00,-689.92,N/A,-2.4%,N/A
