symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
LOW,2015-08-20,2015-08-24,Long,160.0,61.684068982536,58.862312773992,-451.4809933670392,-4.57%,4,0
HD,2015-08-20,2015-08-24,Long,103.0,95.924887570512,90.586281633408,-549.8764115217111,-5.57%,4,0
ADBE,2015-08-20,2015-08-21,Long,115.0,85.56548,82.60731,-340.1895499999995,-3.46%,1,0
TJX,2015-08-20,2015-08-24,Long,304.0,32.485053041441,30.974249939805,-459.28414289734405,-4.65%,4,0
UNH,2015-08-20,2015-08-21,Long,94.0,104.165483127706,101.063562639633,-291.5805258788612,-2.98%,1,0
UNH,2015-11-27,2015-12-01,Long,99.0,97.136203187023,95.501677238487,-161.81806890506346,-1.68%,4,0
UNH,2015-12-07,2015-12-10,Long,95.0,100.395206523612,97.90547521131,-236.52447466868983,-2.48%,3,0
TGT,2015-08-20,2015-08-24,Long,165.0,59.699719014936,57.783007219932,-316.25744617565965,-3.21%,4,0
TGT,2015-12-04,2015-12-09,Long,172.0,54.447649628372,53.945372236392,-86.39171142056028,-0.92%,5,0
MRK,2015-08-20,2015-08-21,Long,240.0,41.1222638176409,39.1758930223353,-467.12899087334335,-4.73%,1,0
BMY,2015-08-20,2015-08-21,Long,217.0,45.370688971608,44.291391121152,-234.2076335489507,-2.38%,1,0
AVGO,2015-08-20,2015-08-21,Long,1054.0,9.3661258866175,8.8532963559855,-540.5223252861285,-5.48%,1,0
GILD,2015-08-20,2015-08-21,Long,121.0,81.110555426901,78.287595797241,-341.5781151888606,-3.48%,1,0
GILD,2015-10-23,2015-11-12,Long,125.0,75.39680636488,74.959444742778,-54.670202762750364,-0.58%,20,0
BLK,2015-10-23,2015-11-13,Long,36.0,260.108579635905,267.631609133358,270.8290619083068,2.89%,21,0
DIS,2015-10-23,2015-11-30,Long,91.0,103.8252742527,105.31048445964,135.15412883153965,1.43%,38,0
GE,2015-10-23,2015-12-01,Long,73.0,129.440060228851,130.797298511166,99.07839460899464,1.05%,39,0
BRK.B,2015-10-23,2015-11-09,Long,69.0,137.42729,136.20366,-84.43046999999902,-0.89%,17,0
META,2015-10-23,2015-11-16,Long,95.0,99.077587753144,103.12569072036,384.56978188551966,4.09%,24,0
SLB,2015-10-23,2015-11-10,Long,161.0,58.56110038779,58.182717306735,-60.91967604985478,-0.65%,18,0
JNJ,2015-10-23,2015-11-13,Long,125.0,75.45801120858,75.86715112578,51.142489649999234,0.54%,21,0
MCD,2015-10-23,2015-11-16,Long,109.0,86.320965078348,85.449175278012,-95.02508823662282,-1.01%,24,0
TXN,2015-10-23,2015-11-13,Long,216.0,43.843357489932,42.965633795562,-189.588317983921,-2.00%,21,0
GS,2015-11-09,2015-11-16,Long,59.0,161.924150913525,154.476794748825,-439.39401371730065,-4.60%,7,0
WFC,2015-11-11,2015-11-16,Long,229.0,42.200344492306,41.106629484738,-250.4607367330722,-2.59%,5,0
AMZN,2015-11-12,2015-12-10,Long,288.0,33.617111302775,33.128358612867,-140.76077469350525,-1.45%,28,0
LLY,2015-11-17,2015-12-01,Long,137.0,68.488619782583,69.033361819716,74.62965908722174,0.80%,14,0
LLY,2015-12-02,2015-12-04,Long,131.0,72.93199078165,69.891650813574,-398.28453581795566,-4.17%,2,0
LLY,2015-12-07,2015-12-10,Long,130.0,73.033168109902,70.564818651894,-320.885429541039,-3.38%,3,0
TMO,2015-11-17,2015-12-03,Long,71.0,131.69631208734,132.64530800391,67.3787100764699,0.72%,16,0
NFLX,2015-11-17,2015-12-10,Long,847.0,11.146135,12.40758,1068.443915,11.32%,23,0
USB,2015-11-17,2015-12-04,Long,316.0,29.864649189375,29.8672029,0.806972557499293,0.01%,17,0
NEE,2015-11-17,2015-11-19,Long,480.0,19.634937253932,19.13133518433,-241.72899340896151,-2.56%,2,0
NEE,2015-12-01,2015-12-03,Long,492.0,19.3486578300015,18.95032965105,-195.97746404413715,-2.06%,2,0
NEE,2015-12-09,2015-12-11,Long,489.0,19.2479037535785,18.8710476596528,-184.28262992966697,-1.96%,2,0
T,2015-11-17,2015-12-04,Long,680.0,13.8648077210664,13.8622337236532,-1.7503182409765827,-0.02%,17,0
SO,2015-11-17,2015-11-27,Long,320.0,29.431707088784,29.267858572272,-52.4315252838403,-0.56%,10,0
PNC,2015-11-19,2015-12-04,Long,138.0,69.507318147267,68.449461865155,-145.98416693145583,-1.52%,15,0
LMT,2015-11-30,2015-12-01,Long,55.0,173.126305884532,167.617866779568,-302.96415077301987,-3.18%,1,0
AAPL,2015-12-01,2015-12-02,Long,357.0,26.6659863995525,26.3967465947355,-96.11861031966946,-1.01%,1,0
VZ,2015-12-01,2015-12-03,Long,352.0,26.998560523935,26.630411687244,-129.58839051523285,-1.36%,2,0
MS,2015-12-01,2015-12-09,Long,368.0,25.86603674655,25.63373111949,-85.48847075808021,-0.90%,8,0
QCOM,2015-12-03,2015-12-09,Long,243.0,39.158674229675,37.29411629226,-453.0875787918451,-4.76%,6,0
COST,2015-12-04,2015-12-10,Long,68.0,137.856825852746,134.261008332264,-244.51559139277606,-2.61%,6,0
MDT,2015-12-04,2015-12-14,Long,159.0,58.937559178498,58.80445818849,-21.163057411271403,-0.23%,10,0
