Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
BNTX,456.0,34323.112151369976,76662.18208768046,0,42339.06993631048,42339.06993631048,Open (456 sh)
AFRM,0,0,0,42008.22,0,42008.22,Closed
HOOD,1774.0,17928.17,54078.76816992408,0,36150.59816992408,36150.59816992408,Open (1774 sh)
ZM,0,0,0,35353.860000000015,0,35353.860000000015,Closed
OXY,0,0,0,32710.264627797937,0,32710.264627797937,Closed
FSLR,0,0,0,32598.390000000043,0,32598.390000000043,Closed
NET,0,0,0,30740.919999999984,0,30740.919999999984,Closed
COIN,0,0,0,24831.829999999987,0,24831.829999999987,Closed
AMD,0,0,0,24274.77000000002,0,24274.77000000002,Closed
CRWD,0,0,0,21210.125,0,21210.125,Closed
PYPL,612.0,34077.83119469599,54870.88109617283,0,20793.049901476843,20793.049901476843,Open (612 sh)
MRNA,0,0,0,18758.180000000008,0,18758.180000000008,Closed
TWLO,644.0,37313.37000000001,54871.242068187945,0,17557.872068187935,17557.872068187935,Open (644 sh)
AMAT,0,0,0,16335.37164430201,0,16335.37164430201,Closed
UBER,0,0,0,14115.5,0,14115.5,Closed
QCOM,0,0,0,13619.28171541798,0,13619.28171541798,Closed
LCID,2120.0,64416.5,76801.36138672703,0,12384.861386727032,12384.861386727032,Open (2120 sh)
XOM,0,0,0,11137.46548097895,0,11137.46548097895,Closed
DOCU,0,0,0,10259.699999999997,0,10259.699999999997,Closed
DASH,322.0,45572.00999999998,55382.15590748469,0,9810.145907484708,9810.145907484708,Open (322 sh)
MU,0,0,0,9230.844735753955,0,9230.844735753955,Closed
XYZ,584.0,47420.07000000001,55121.96700400069,0,7701.8970040006825,7701.8970040006825,Open (584 sh)
KLAC,0,0,0,7187.272848799941,0,7187.272848799941,Closed
VRTX,0,0,0,6466.080000000016,0,6466.080000000016,Closed
REGN,0,0,0,5771.8681194719975,0,5771.8681194719975,Closed
UPST,1170.0,53999.95000000001,55134.21118769407,0,1134.2611876940573,1134.2611876940573,Open (1170 sh)
MRVL,0,0,0,680.4554805179941,0,680.4554805179941,Closed
LRCX,0,0,0,353.46784557707724,0,353.46784557707724,Closed
TSLA,167.0,61006.2587773219,59983.30109212808,0,-1022.9576851938182,-1022.9576851938182,Open (167 sh)
ENPH,0,0,0,-3989.8700000000244,0,-3989.8700000000244,Closed
SNOW,0,0,0,-4127.510000000038,0,-4127.510000000038,Closed
OKTA,0,0,0,-4134.440000000002,0,-4134.440000000002,Closed
DDOG,0,0,0,-4886.600000000006,0,-4886.600000000006,Closed
INTC,0,0,0,-9312.025534342974,0,-9312.025534342974,Closed
NIO,0,0,0,-11889.589999999997,0,-11889.589999999997,Closed
ABNB,0,0,0,-13686.930000000022,0,-13686.930000000022,Closed
LYFT,0,0,0,-14323.410000000003,0,-14323.410000000003,Closed
RIVN,0,0,0,-15418.830000000002,0,-15418.830000000002,Closed
TOTAL,,,,275874.66196427477,146848.797876612,422723.45984088676,
