Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,259.0,-31178.265833910962,42693.16071457225,0,73871.42654848321,73871.42654848321,Open (259 sh)
META,60.0,-1459.1671499359654,36735.02725062486,0,38194.194400560824,38194.194400560824,Open (60 sh)
AVGO,197.0,12927.2787420135,41207.51730460368,0,28280.23856259018,28280.23856259018,Open (197 sh)
GOOGL,195.0,17507.216631096962,38918.98548703788,0,21411.768855940914,21411.768855940914,Open (195 sh)
NFLX,474.0,16945.39500000002,37772.84733499153,0,20827.45233499151,20827.45233499151,Open (474 sh)
MSFT,78.0,21459.131573639053,38674.436054607875,0,17215.30448096882,17215.30448096882,Open (78 sh)
AMD,0,0,0,14978.0,0,14978.0,Closed
AMZN,163.0,22024.722300458117,36240.22904715927,0,14215.506746701154,14215.506746701154,Open (163 sh)
CRM,118.0,22904.411470566993,37081.29803247324,0,14176.886561906249,14176.886561906249,Open (118 sh)
NOW,221.0,31142.937999999966,39198.978773929404,0,8056.040773929439,8056.040773929439,Open (221 sh)
TOTAL,,,,14978.0,236248.8192660723,251226.8192660723,
