Date,Ticker,Direction,Quantity,Price,Value,Status
2020-01-07T21:00:00Z,ZM,BUY,92.0,71.81,6606.52,3
2020-01-08T21:00:00Z,XYZ,BUY,98.0,68.22,6685.56,3
2020-02-04T21:00:00Z,KLAC,BUY,41.0,163.862985744,6718.382415504,3
2020-02-06T21:00:00Z,KLAC,SELL,41.0,158.883620904,6514.228457064,3
2020-02-06T21:00:00Z,REGN,BUY,17.0,388.913014308,6611.521243236,3
2020-02-13T21:00:00Z,KLAC,BUY,41.0,166.710996288,6835.150847808,3
2020-02-13T21:00:00Z,OXY,BUY,179.0,38.397179618,6873.095151622,3
2020-02-18T21:00:00Z,FSLR,BUY,123.0,56.16,6907.68,3
2020-02-18T21:00:00Z,OXY,SELL,179.0,38.205513164,6838.786856356,3
2020-02-19T21:00:00Z,KLAC,SELL,41.0,160.63159919,6585.89556679,3
2020-02-19T21:00:00Z,OXY,BUY,179.0,38.97217898,6976.02003742,3
2020-02-24T21:00:00Z,FSLR,SELL,123.0,51.8,6371.4,3
2020-02-24T21:00:00Z,OXY,SELL,179.0,36.088055196,6459.761880084,3
2020-02-25T21:00:00Z,MRNA,BUY,290.0,29.09,8436.1,3
2020-03-04T21:00:00Z,LRCX,BUY,245.0,27.745210017,6797.576454165,3
2020-03-05T21:00:00Z,LRCX,SELL,245.0,27.0856965474,6635.995654113,3
2020-03-10T20:00:00Z,XYZ,SELL,98.0,66.02,6469.96,3
2020-03-25T20:00:00Z,DOCU,BUY,85.0,82.02,6971.7,3
2020-04-02T20:00:00Z,VRTX,BUY,29.0,241.38,7000.02,3
2020-04-08T20:00:00Z,AMD,BUY,145.0,49.65,7199.25,3
2020-04-08T20:00:00Z,OKTA,BUY,55.0,129.14,7102.7,3
2020-04-13T20:00:00Z,INTC,BUY,139.0,53.225117772,7398.291370308,3
2020-04-15T20:00:00Z,ENPH,BUY,190.0,40.01,7601.9,3
2020-04-17T20:00:00Z,KLAC,BUY,52.0,148.519224615,7722.99967998,3
2020-04-20T20:00:00Z,TWLO,BUY,73.0,107.53,7849.69,3
2020-04-27T20:00:00Z,LRCX,BUY,323.0,25.3233694989,8179.4483481447,3
2020-04-28T20:00:00Z,LRCX,SELL,323.0,25.11439524,8111.94966252,3
2020-04-29T20:00:00Z,QCOM,BUY,113.0,70.622065347,7980.293384211,3
2020-04-29T20:00:00Z,LRCX,BUY,302.0,25.77036825,7782.6512115,3
2020-04-29T20:00:00Z,FSLR,BUY,174.0,44.49,7741.26,3
2020-05-01T20:00:00Z,LRCX,SELL,302.0,21.9263664114,6621.7626562428,3
2020-05-07T20:00:00Z,UBER,BUY,277.0,32.56,9019.12,3
2020-05-11T20:00:00Z,MU,BUY,194.0,47.32129965,9180.3321321,3
2020-05-13T20:00:00Z,MU,SELL,194.0,41.993994576,8146.834947744,3
2020-05-14T20:00:00Z,FSLR,SELL,174.0,38.72,6737.28,3
2020-05-20T20:00:00Z,FSLR,BUY,216.0,43.77,9454.32,3
2020-05-21T20:00:00Z,LRCX,BUY,379.0,24.5858684148,9318.0441292092,3
2020-06-18T20:00:00Z,ENPH,SELL,190.0,46.81,8893.9,3
2020-06-25T20:00:00Z,INTC,SELL,139.0,52.143946131,7248.008512209,3
2020-06-25T20:00:00Z,UBER,SELL,277.0,30.44,8431.88,3
2020-06-29T20:00:00Z,AMD,SELL,145.0,51.17,7419.65,3
2020-07-08T20:00:00Z,AMD,BUY,204.0,53.55,10924.2,3
2020-07-09T20:00:00Z,UBER,BUY,334.0,33.14,11068.76,3
2020-07-14T20:00:00Z,UBER,SELL,334.0,32.1,10721.4,3
2020-07-16T20:00:00Z,UBER,BUY,337.0,32.55,10969.35,3
2020-07-21T20:00:00Z,INTC,BUY,210.0,54.657981489,11478.17611269,3
2020-07-24T20:00:00Z,INTC,SELL,210.0,45.511171995,9557.34611895,3
2020-07-27T20:00:00Z,UBER,SELL,337.0,30.79,10376.23,3
2020-08-03T20:00:00Z,VRTX,SELL,29.0,279.23,8097.67,3
2020-08-06T20:00:00Z,UBER,BUY,340.0,33.13,11264.2,3
2020-08-12T20:00:00Z,UBER,SELL,340.0,30.5,10370.0,3
2020-08-21T20:00:00Z,BNTX,BUY,163.0,75.2797507,12270.5993641,3
2020-08-24T20:00:00Z,MRNA,SELL,290.0,64.31,18649.9,3
2020-08-25T20:00:00Z,REGN,SELL,17.0,602.1603042,10236.7251714,3
2020-08-26T20:00:00Z,MRVL,BUY,340.0,35.082970282,11928.20989588,3
2020-08-26T20:00:00Z,BNTX,SELL,163.0,66.67635062,10868.24515106,3
2020-08-27T20:00:00Z,REGN,BUY,19.0,607.6299684,11544.9693996,3
2020-08-28T20:00:00Z,UBER,BUY,351.0,33.62,11800.62,3
2020-08-28T20:00:00Z,REGN,SELL,19.0,599.007788652,11381.147984388,3
2020-09-08T20:00:00Z,LRCX,SELL,379.0,29.325374985,11114.317119315,3
2020-09-09T20:00:00Z,KLAC,SELL,52.0,166.151935726,8639.900657752,3
2020-09-11T20:00:00Z,OKTA,SELL,55.0,196.68,10817.4,3
2020-09-11T20:00:00Z,TWLO,SELL,73.0,228.47,16678.31,3
2020-09-15T20:00:00Z,DDOG,BUY,135.0,88.2,11907.0,3
2020-09-17T20:00:00Z,LYFT,BUY,376.0,31.24,11746.24,3
2020-09-21T20:00:00Z,LYFT,SELL,376.0,29.17,10967.92,3
2020-09-22T20:00:00Z,NET,BUY,307.0,40.0,12280.0,3
2020-09-22T20:00:00Z,FSLR,SELL,216.0,62.07,13407.12,3
2020-09-25T20:00:00Z,OKTA,BUY,56.0,216.0,12096.0,3
2020-09-25T20:00:00Z,MRNA,BUY,176.0,69.68,12263.68,3
2020-09-29T20:00:00Z,TWLO,BUY,49.0,246.41,12074.09,3
2020-09-29T20:00:00Z,PYPL,BUY,62.0,193.692235504,12008.918601248,3
2020-10-01T20:00:00Z,BNTX,BUY,178.0,70.244806335,12503.57552763,3
2020-10-05T20:00:00Z,FSLR,BUY,182.0,72.58,13209.56,3
2020-10-07T20:00:00Z,INTC,BUY,281.0,47.44346223,13331.61288663,3
2020-10-26T20:00:00Z,INTC,SELL,281.0,41.241526475,11588.868939475,3
2020-10-30T20:00:00Z,AMD,SELL,204.0,75.66,15434.64,3
2020-10-30T20:00:00Z,UBER,SELL,351.0,34.17,11993.67,3
2020-11-02T21:00:00Z,DOCU,SELL,85.0,201.05,17089.25,3
2020-11-02T21:00:00Z,MRNA,SELL,176.0,66.75,11748.0,3
2020-11-03T21:00:00Z,MRVL,SELL,340.0,37.00211004,12580.7174136,3
2020-11-03T21:00:00Z,OKTA,SELL,56.0,217.78,12195.68,3
2020-11-03T21:00:00Z,UBER,BUY,347.0,40.5,14053.5,3
2020-11-03T21:00:00Z,PYPL,SELL,62.0,186.329256736,11552.413917632,3
2020-11-04T21:00:00Z,AMAT,BUY,208.0,63.0176118,13107.6632544,3
2020-11-04T21:00:00Z,DOCU,BUY,54.0,236.04,12746.16,3
2020-11-04T21:00:00Z,CRWD,BUY,94.0,140.485,13205.59,3
2020-11-04T21:00:00Z,OKTA,BUY,56.0,232.99,13047.44,3
