Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
FSLR,0,0,0,30066.839999999997,0,30066.839999999997,Closed
BNTX,205.0,7789.428830670979,33968.16488205051,0,26178.73605137953,26178.73605137953,Open (205 sh)
AFRM,0,0,0,24079.26000000001,0,24079.26000000001,Closed
ZM,0,0,0,21156.360000000015,0,21156.360000000015,Closed
NET,0,0,0,20882.83500000002,0,20882.83500000002,Closed
OXY,0,0,0,20298.648295369,0,20298.648295369,Closed
COIN,97.0,10000.340000000026,27881.971063436766,0,17881.63106343674,17881.63106343674,Open (97 sh)
HOOD,856.0,8634.239999999998,25718.68915663719,0,17084.44915663719,17084.44915663719,Open (856 sh)
TWLO,311.0,10196.62000000001,26116.8745208556,0,15920.25452085559,15920.25452085559,Open (311 sh)
QCOM,0,0,0,12642.539333935027,0,12642.539333935027,Closed
MRNA,0,0,0,11762.980000000003,0,11762.980000000003,Closed
DOCU,337.0,15151.339999999997,26593.307488622293,0,11441.967488622297,11441.967488622297,Open (337 sh)
CRWD,0,0,0,11239.529999999999,0,11239.529999999999,Closed
UPST,558.0,17128.47,25916.204154486662,0,8787.734154486661,8787.734154486661,Open (558 sh)
AMAT,0,0,0,8712.684904174996,0,8712.684904174996,Closed
AMD,0,0,0,8347.12000000001,0,8347.12000000001,Closed
MRVL,269.0,18269.565035971988,26497.845070032792,0,8228.280034060805,8228.280034060805,Open (269 sh)
PYPL,292.0,18244.054639128008,25803.300082271107,0,7559.2454431431,7559.2454431431,Open (292 sh)
RIVN,1995.0,26976.540000000023,33876.825267013606,0,6900.2852670135835,6900.2852670135835,Open (1995 sh)
XOM,0,0,0,6216.829303214967,0,6216.829303214967,Closed
UBER,0,0,0,6186.179999999993,0,6186.179999999993,Closed
REGN,0,0,0,3826.547239788022,0,3826.547239788022,Closed
DASH,154.0,22913.800000000003,26105.775373695058,0,3191.975373695055,3191.975373695055,Open (154 sh)
VRTX,0,0,0,1495.5199999999895,0,1495.5199999999895,Closed
LRCX,0,0,0,624.1259599124023,0,624.1259599124023,Closed
LCID,974.0,34891.70000000001,34777.143245229556,0,-114.55675477045588,-114.55675477045588,Open (974 sh)
XYZ,280.0,26484.320000000036,26047.843914824683,0,-436.47608517535264,-436.47608517535264,Open (280 sh)
KLAC,0,0,0,-1001.6648102909676,0,-1001.6648102909676,Closed
SNOW,0,0,0,-1800.4199999999983,0,-1800.4199999999983,Closed
OKTA,0,0,0,-2923.589999999982,0,-2923.589999999982,Closed
MU,0,0,0,-2975.215936971974,0,-2975.215936971974,Closed
DDOG,0,0,0,-3890.6200000000244,0,-3890.6200000000244,Closed
TSLA,77.0,31709.966005677998,27258.785780844137,0,-4451.180224833861,-4451.180224833861,Open (77 sh)
ABNB,0,0,0,-5633.139999999985,0,-5633.139999999985,Closed
ENPH,0,0,0,-7501.529999999999,0,-7501.529999999999,Closed
NIO,0,0,0,-8750.640000000029,0,-8750.640000000029,Closed
INTC,0,0,0,-9101.43855116397,0,-9101.43855116397,Closed
LYFT,0,0,0,-10692.640000000014,0,-10692.640000000014,Closed
TOTAL,,,,133267.10073796753,118172.34548855087,251439.4462265184,
