Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,76.0,-6664.25241363149,10469.003932006239,0,17133.25634563773,17133.25634563773,Open (76 sh)
META,0,0,0,7681.1365899759985,0,7681.1365899759985,Closed
GE,0,0,0,6308.669395058547,0,6308.669395058547,Closed
AVGO,0,0,0,6080.467060031704,0,6080.467060031704,Closed
WFC,141.0,4900.639635886,10477.126107936876,0,5576.486472050876,5576.486472050876,Open (141 sh)
GOOGL,0,0,0,5051.08581253,0,5051.08581253,Closed
NOW,51.0,4654.09399999999,9485.330675737943,0,4831.236675737953,4831.236675737953,Open (51 sh)
AMD,0,0,0,4747.719999999994,0,4747.719999999994,Closed
CRM,33.0,4865.334702924993,9510.707736312988,0,4645.373033387996,4645.373033387996,Open (33 sh)
DE,23.0,6382.280717066991,10496.263283956998,0,4113.982566890007,4113.982566890007,Open (23 sh)
JPM,0,0,0,3795.1871660839897,0,3795.1871660839897,Closed
COST,0,0,0,3702.5364347369978,0,3702.5364347369978,Closed
NFLX,118.0,7011.084000000017,10430.08635522266,0,3419.002355222643,3419.002355222643,Open (118 sh)
GS,17.0,6667.058466811992,10055.754523128133,0,3388.696056316141,3388.696056316141,Open (17 sh)
C,0,0,0,3214.1469908770014,0,3214.1469908770014,Closed
AXP,36.0,6377.051459050999,9581.137108112489,0,3204.0856490614897,3204.0856490614897,Open (36 sh)
AMAT,0,0,0,3155.977584043998,0,3155.977584043998,Closed
ORCL,57.0,6819.247928088,9564.143128092983,0,2744.895200004983,2744.895200004983,Open (57 sh)
CAT,0,0,0,2679.776095201989,0,2679.776095201989,Closed
AAPL,0,0,0,2639.5290065174995,0,2639.5290065174995,Closed
LOW,0,0,0,2515.3293411200066,0,2515.3293411200066,Closed
QCOM,0,0,0,2492.115165123003,0,2492.115165123003,Closed
TMO,0,0,0,2311.0399274520023,0,2311.0399274520023,Closed
BAC,228.0,8338.691691829008,10494.026463455959,0,2155.334771626951,2155.334771626951,Open (228 sh)
WMT,118.0,7567.949998388387,9525.990588007564,0,1958.040589619177,1958.040589619177,Open (118 sh)
MMM,0,0,0,1881.5599342220448,0,1881.5599342220448,Closed
TXN,0,0,0,1779.268389789002,0,1779.268389789002,Closed
MSFT,0,0,0,1761.6017566439987,0,1761.6017566439987,Closed
SCHW,128.0,8704.377193461005,10430.835679682796,0,1726.4584862217907,1726.4584862217907,Open (128 sh)
MS,85.0,7902.931603192999,9580.620129384342,0,1677.688526191343,1677.688526191343,Open (85 sh)
AMZN,50.0,8708.301838045998,10360.457145996146,0,1652.1553079501482,1652.1553079501482,Open (50 sh)
BLK,0,0,0,1551.6718960009966,0,1551.6718960009966,Closed
T,475.0,9282.921358042,10491.140440226316,0,1208.219082184316,1208.219082184316,Open (475 sh)
XOM,0,0,0,937.4318858569968,0,937.4318858569968,Closed
