Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
GE,0,0,0,67119.94162544736,0,67119.94162544736,Closed
NVDA,0,0,0,58917.884646470426,0,58917.884646470426,Closed
TSLA,0,0,0,31327.79455947483,0,31327.79455947483,Closed
NFLX,558.0,27659.080000000016,49526.846753571095,0,21867.76675357108,21867.76675357108,Open (558 sh)
META,0,0,0,19509.086034264008,0,19509.086034264008,Closed
AVGO,0,0,0,17787.804985307506,0,17787.804985307506,Closed
ABBV,0,0,0,17192.740339184005,0,17192.740339184005,Closed
CRM,153.0,30113.677468116977,44278.2970641372,0,14164.619596020224,14164.619596020224,Open (153 sh)
COST,51.0,39119.10431280901,49351.275416226155,0,10232.171103417146,10232.171103417146,Open (51 sh)
AMZN,0,0,0,9163.178418104013,0,9163.178418104013,Closed
LLY,0,0,0,6552.564868187008,0,6552.564868187008,Closed
BLK,0,0,0,5493.946029681072,0,5493.946029681072,Closed
JPM,204.0,40013.77663723103,44172.332090915384,0,4158.555453684356,4158.555453684356,Open (204 sh)
UPS,0,0,0,3036.474716041994,0,3036.474716041994,Closed
GOOGL,0,0,0,1803.7651330074877,0,1803.7651330074877,Closed
NKE,0,0,0,1509.7563031430036,0,1509.7563031430036,Closed
CAT,0,0,0,1431.760315410007,0,1431.760315410007,Closed
V,0,0,0,1309.2180295490107,0,1309.2180295490107,Closed
UNH,0,0,0,1034.8586043209943,0,1034.8586043209943,Closed
MSFT,0,0,0,924.990121890005,0,924.990121890005,Closed
AAPL,0,0,0,783.9246092145331,0,783.9246092145331,Closed
DIS,0,0,0,176.7509320770041,0,176.7509320770041,Closed
GS,83.0,49153.90414407797,49299.715909950486,0,145.81176587251684,145.81176587251684,Open (83 sh)
PFE,0,0,0,126.49465212247742,0,126.49465212247742,Closed
HON,0,0,0,110.11631039972417,0,110.11631039972417,Closed
PG,0,0,0,-674.3786425940198,0,-674.3786425940198,Closed
JNJ,0,0,0,-1669.43791049,0,-1669.43791049,Closed
CMCSA,0,0,0,-2710.545384444791,0,-2710.545384444791,Closed
HD,118.0,53700.17411380701,49448.38276519966,0,-4251.791348607345,-4251.791348607345,Open (118 sh)
TOTAL,,,,240258.68929576763,46317.133323957976,286575.8226197256,
