Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,101950.08175077243,0,101950.08175077243,Closed
ENPH,0,0,0,60496.79791000008,0,60496.79791000008,Closed
MRNA,0,0,0,58550.4603500003,0,58550.4603500003,Closed
TSLA,0,0,0,53182.90424296784,0,53182.90424296784,Closed
MDB,0,0,0,37433.28208000003,0,37433.28208000003,Closed
CRWD,0,0,0,33796.77119999996,0,33796.77119999996,Closed
UBER,0,0,0,24381.439079999982,0,24381.439079999982,Closed
NET,0,0,0,22853.83825999999,0,22853.83825999999,Closed
TWLO,0,0,0,15048.456850000017,0,15048.456850000017,Closed
TTD,0,0,0,14685.33933200012,0,14685.33933200012,Closed
AMD,0,0,0,14112.275360000029,0,14112.275360000029,Closed
ZS,0,0,0,12956.727390000015,0,12956.727390000015,Closed
SHOP,0,0,0,12301.6965299999,0,12301.6965299999,Closed
PINS,0,0,0,10088.763359999924,0,10088.763359999924,Closed
PYPL,0,0,0,3820.433113365463,0,3820.433113365463,Closed
ETSY,0,0,0,3729.8184299999557,0,3729.8184299999557,Closed
ON,0,0,0,3330.2155549999734,0,3330.2155549999734,Closed
ROKU,0,0,0,1313.8535299999057,0,1313.8535299999057,Closed
XYZ,0,0,0,-167.10789500002284,0,-167.10789500002284,Closed
LRCX,0,0,0,-932.400962187472,0,-932.400962187472,Closed
REGN,0,0,0,-1804.0658072343795,0,-1804.0658072343795,Closed
SWKS,0,0,0,-2617.790147087406,0,-2617.790147087406,Closed
VRTX,0,0,0,-3485.861399999936,0,-3485.861399999936,Closed
AMAT,0,0,0,-4501.601673964993,0,-4501.601673964993,Closed
EXPE,0,0,0,-6459.747154724377,0,-6459.747154724377,Closed
MRVL,0,0,0,-8281.513357753807,0,-8281.513357753807,Closed
MU,0,0,0,-8612.075358396687,0,-8612.075358396687,Closed
FSLR,0,0,0,-12339.259874999872,0,-12339.259874999872,Closed
SEDG,0,0,0,-13940.193800000008,0,-13940.193800000008,Closed
SNAP,0,0,0,-18086.13771999994,0,-18086.13771999994,Closed
OKTA,0,0,0,-18249.994340000005,0,-18249.994340000005,Closed
KLAC,0,0,0,-18350.396091381495,0,-18350.396091381495,Closed
TOTAL,,,,366205.00874137547,0,366205.00874137547,
