Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,4343.0,19651.097929232,21376.282279150586,21399.45418992032,1725.1843499185852,23124.638539838907,Open (4343 sh)
NFLX,647.0,21797.43,23711.042422057453,7140.042749083999,1913.612422057453,9053.655171141452,Open (647 sh)
AMZN,0,0,0,7731.025863897003,0,7731.025863897003,Closed
ABBV,335.0,19275.34012321,20967.536418789667,3171.7755455170004,1692.1962955796662,4863.971841096667,Open (335 sh)
UNH,88.0,20049.134929824002,21809.26324096973,3052.7171729559996,1760.128311145727,4812.8454841017265,Open (88 sh)
SBUX,0,0,0,4490.577176284005,0,4490.577176284005,Closed
INTC,406.0,20758.544437176,22580.95233107962,2585.3054511780006,1822.4078939036226,4407.713345081624,Open (406 sh)
GS,0,0,0,4097.8336597760035,0,4097.8336597760035,Closed
ADBE,67.0,20738.51,22559.1590559191,1907.850000000004,1820.6490559191006,3728.4990559191046,Open (67 sh)
V,0,0,0,3226.919611406003,0,3226.919611406003,Closed
NKE,235.0,21193.914639645,23054.54400404484,1270.2302995865014,1860.6293643998397,3130.859663986341,Open (235 sh)
AAPL,350.0,19089.01324365,20764.85176534122,1398.4704361120002,1675.838521691221,3074.3089578032213,Open (350 sh)
PG,0,0,0,2522.4688248579973,0,2522.4688248579973,Closed
CMCSA,0,0,0,2439.006260621096,0,2439.006260621096,Closed
CAT,0,0,0,1825.436150280999,0,1825.436150280999,Closed
JNJ,173.0,20644.197715682,22456.567026749366,-176.37794491999495,1812.3693110673667,1635.9913661473718,Open (173 sh)
COST,0,0,0,1316.1987760600025,0,1316.1987760600025,Closed
HON,0,0,0,1299.4790000486319,0,1299.4790000486319,Closed
KO,0,0,0,956.7217656860003,0,956.7217656860003,Closed
HD,0,0,0,870.3159003960012,0,870.3159003960012,Closed
MSFT,145.0,21884.78668488,23806.06821459538,-1464.659702050001,1921.2815297153793,456.6218276653783,Open (145 sh)
PFE,0,0,0,432.6972793986183,0,432.6972793986183,Closed
JPM,192.0,19529.29642752,21243.78773396046,-2050.408415134003,1714.491306440461,-335.9171086935421,Open (192 sh)
BLK,0,0,0,-1198.5309256059982,0,-1198.5309256059982,Closed
GOOGL,0,0,0,-1372.952934576499,0,-1372.952934576499,Closed
DIS,143.0,20590.030545084,22397.644480378898,-3345.6038186420014,1807.6139352948994,-1537.989883347102,Open (143 sh)
CRM,0,0,0,-1730.7608121239998,0,-1730.7608121239998,Closed
UPS,0,0,0,-2594.701863704,0,-2594.701863704,Closed
GE,368.0,20532.010696846635,22334.531026963636,-5443.993436030391,1802.5203301170004,-3641.473105913391,Open (368 sh)
TOTAL,,,,53756.5362602793,23328.922627250322,77085.45888752962,
