Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,184.0,79425.44,77204.33746313416,73496.723685742,-2221.1025368658447,71275.62114887616,Open (184 sh)
NFLX,0,0,0,41909.68900000001,0,41909.68900000001,Closed
META,0,0,0,36437.30223688801,0,36437.30223688801,Closed
NVDA,0,0,0,26092.546775542425,0,26092.546775542425,Closed
GE,0,0,0,25499.266444036642,0,25499.266444036642,Closed
BLK,0,0,0,21125.52591057501,0,21125.52591057501,Closed
COST,0,0,0,18745.169300050005,0,18745.169300050005,Closed
AAPL,312.0,79385.040254208,77165.0674810283,15573.347740048488,-2219.972773179703,13353.374966868785,Open (312 sh)
AMD,0,0,0,8979.239999999998,0,8979.239999999998,Closed
CAT,0,0,0,8121.896504887011,0,8121.896504887011,Closed
AMZN,343.0,77147.56,74990.1575200262,10217.922592741015,-2157.4024799737963,8060.520112767219,Open (343 sh)
GS,0,0,0,7269.136755409983,0,7269.136755409983,Closed
HD,0,0,0,7266.189305039013,0,7266.189305039013,Closed
CRM,0,0,0,6747.0810236740135,0,6747.0810236740135,Closed
JPM,0,0,0,6256.4635317790235,0,6256.4635317790235,Closed
MSFT,0,0,0,4864.262349385983,0,4864.262349385983,Closed
PG,0,0,0,4411.853712841988,0,4411.853712841988,Closed
UNH,0,0,0,3948.070447220992,0,3948.070447220992,Closed
LLY,0,0,0,3718.6261344619993,0,3718.6261344619993,Closed
UPS,0,0,0,2852.215779344009,0,2852.215779344009,Closed
DIS,0,0,0,2754.0438566090024,0,2754.0438566090024,Closed
V,244.0,76974.52145490001,74821.95793271477,3684.5706302650033,-2152.5635221852426,1532.0071080797607,Open (244 sh)
GOOGL,405.0,77218.632631845,75059.24263247072,3144.5583223939902,-2159.3899993742816,985.1683230197086,Open (405 sh)
AVGO,331.0,79302.64560855,77084.97697062588,785.8942480865962,-2217.6686379241146,-1431.7743898375184,Open (331 sh)
JNJ,0,0,0,-1604.776751737997,0,-1604.776751737997,Closed
ABBV,0,0,0,-3469.3183352480064,0,-3469.3183352480064,Closed
NKE,0,0,0,-5354.277618022012,0,-5354.277618022012,Closed
HON,0,0,0,-6101.073382419823,0,-6101.073382419823,Closed
TOTAL,,,,327372.1501995944,-13128.099949502983,314244.0502500914,
