Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,235.0,-65537.20906486892,31899.265746191824,0,97436.47481106075,97436.47481106075,Open (235 sh)
META,0,0,0,36592.79624296597,0,36592.79624296597,Closed
GE,0,0,0,25463.101595924643,0,25463.101595924643,Closed
NOW,332.0,48046.93599999999,68441.90068871439,0,20394.964688714404,20394.964688714404,Open (332 sh)
AVGO,0,0,0,19968.79084981291,0,19968.79084981291,Closed
NFLX,785.0,53144.31099999999,68374.88475000876,0,15230.57375000877,15230.57375000877,Open (785 sh)
AAPL,0,0,0,12490.610956571996,0,12490.610956571996,Closed
GOOGL,0,0,0,11650.819272483,0,11650.819272483,Closed
CRWD,201.0,57396.84999999998,68301.5984979163,0,10904.748497916327,10904.748497916327,Open (201 sh)
AMAT,0,0,0,10747.39877841901,0,10747.39877841901,Closed
PANW,0,0,0,8480.91738848202,0,8480.91738848202,Closed
DE,71.0,23948.363760094042,31929.070974262668,0,7980.707214168626,7980.707214168626,Open (71 sh)
JPM,0,0,0,7223.303382168,0,7223.303382168,Closed
MSFT,0,0,0,6499.620678585998,0,6499.620678585998,Closed
GS,54.0,25022.77061757195,31476.073818362005,0,6453.303200790055,6453.303200790055,Open (54 sh)
AMZN,156.0,25475.79428507699,31853.309868125678,0,6377.515583048687,6377.515583048687,Open (156 sh)
QCOM,0,0,0,5836.6200534510135,0,5836.6200534510135,Closed
CAT,81.0,28895.891908560996,31828.46912528066,0,2932.577216719663,2932.577216719663,Open (81 sh)
INTU,0,0,0,2566.494256089005,0,2566.494256089005,Closed
LLY,0,0,0,315.7581888989662,0,315.7581888989662,Closed
HON,151.0,33751.674098885414,31865.60619400908,0,-1886.067904876334,-1886.067904876334,Open (151 sh)
V,103.0,33599.705789686006,31650.510337128686,0,-1949.19545255732,-1949.19545255732,Open (103 sh)
MA,0,0,0,-6666.439738036017,0,-6666.439738036017,Closed
ADBE,0,0,0,-7076.899999999994,0,-7076.899999999994,Closed
TOTAL,,,,134092.89190581653,163875.6016049936,297968.49351081013,
