Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,3223.0,-193365.8981434785,169562.2372266954,0,362928.1353701739,362928.1353701739,Open (3223 sh)
AVGO,2424.0,-26657.697740990785,148167.05295684628,0,174824.75069783707,174824.75069783707,Open (2424 sh)
META,195.0,-27703.98408394202,33489.101102595836,0,61193.08518653786,61193.08518653786,Open (195 sh)
LLY,0,0,0,58005.76130207197,0,58005.76130207197,Closed
COST,0,0,0,45288.34982158092,0,45288.34982158092,Closed
GOOGL,556.0,-10596.398218961003,27230.65255152157,0,37827.05077048257,37827.05077048257,Open (556 sh)
TSLA,541.0,62461.16466796014,72517.01337925908,0,10055.848711298939,10055.848711298939,Open (541 sh)
PG,0,0,0,7102.703561304981,0,7102.703561304981,Closed
AAPL,0,0,0,4550.089161964017,0,4550.089161964017,Closed
AMZN,0,0,0,3540.2355770670038,0,3540.2355770670038,Closed
ABBV,0,0,0,2834.2744472519553,0,2834.2744472519553,Closed
UNH,0,0,0,-3587.237065845984,0,-3587.237065845984,Closed
MRK,0,0,0,-7127.731251863996,0,-7127.731251863996,Closed
HD,480.0,199758.98038176,72467.99869356438,0,-127290.9816881956,-127290.9816881956,Open (480 sh)
JPM,836.0,204147.315843601,72578.86408951737,0,-131568.45175408362,-131568.45175408362,Open (836 sh)
TOTAL,,,,110606.44555353088,387969.43729405117,498575.88284758205,
