Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,388.0,25764.578087864676,161950.9443142762,0,136186.3662264115,136186.3662264115,Open (388 sh)
NVDA,0,0,0,116757.87780810427,0,116757.87780810427,Closed
META,0,0,0,30821.597731873393,0,30821.597731873393,Closed
GS,72.0,12739.044531972031,39390.84464121148,0,26651.800109239448,26651.800109239448,Open (72 sh)
AVGO,305.0,45978.062078930205,70800.78346543465,0,24822.721386504447,24822.721386504447,Open (305 sh)
MS,375.0,22136.302812685608,44802.10902539638,0,22665.80621271077,22665.80621271077,Open (375 sh)
BKNG,7.0,14634.506154848263,33920.565639678134,0,19286.05948482987,19286.05948482987,Open (7 sh)
AMD,0,0,0,18805.601060000015,0,18805.601060000015,Closed
ORCL,0,0,0,13283.803850207012,0,13283.803850207012,Closed
JPM,0,0,0,11793.335723300232,0,11793.335723300232,Closed
AAPL,122.0,20015.173977789935,29946.72342590629,0,9931.549448116355,9931.549448116355,Open (122 sh)
QCOM,0,0,0,5483.644356035627,0,5483.644356035627,Closed
GOOGL,0,0,0,5270.253721621586,0,5270.253721621586,Closed
MSFT,0,0,0,4281.513361541205,0,4281.513361541205,Closed
AMZN,0,0,0,4264.267164872028,0,4264.267164872028,Closed
ADBE,0,0,0,336.82978999993065,0,336.82978999993065,Closed
NFLX,542.0,48359.953971000155,47738.15163432076,0,-621.8023366793932,-621.8023366793932,Open (542 sh)
V,98.0,31886.43987223567,30044.04862015251,0,-1842.3912520831618,-1842.3912520831618,Open (98 sh)
MA,56.0,31055.84231768342,28711.328468318738,0,-2344.513849364681,-2344.513849364681,Open (56 sh)
CRM,136.0,50076.9786394189,44219.86076530479,0,-5857.117874114112,-5857.117874114112,Open (136 sh)
TOTAL,,,,211098.7245675553,228878.47755557107,439977.20212312636,
