Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,87795.53447919409,0,87795.53447919409,Closed
META,0,0,0,64700.98041556403,0,64700.98041556403,Closed
CSCO,0,0,0,50800.57552618801,0,50800.57552618801,Closed
CRM,360.0,69482.94665563194,117723.10552759677,0,48240.15887196483,48240.15887196483,Open (360 sh)
NOW,0,0,0,45013.61599999998,0,45013.61599999998,Closed
TXN,0,0,0,42731.144844609895,0,42731.144844609895,Closed
GOOGL,0,0,0,41139.5577294525,0,41139.5577294525,Closed
TSLA,342.0,85843.48661445029,117876.23326814195,0,32032.74665369166,32032.74665369166,Open (342 sh)
ORCL,0,0,0,30016.83870635397,0,30016.83870635397,Closed
MSFT,0,0,0,26334.513519166096,0,26334.513519166096,Closed
SHOP,1022.0,92348.64499999996,117974.57270638405,0,25625.927706384085,25625.927706384085,Open (1022 sh)
NFLX,0,0,0,21245.780000000028,0,21245.780000000028,Closed
AVGO,0,0,0,13019.032505909563,0,13019.032505909563,Closed
AAPL,0,0,0,8618.952792759053,0,8618.952792759053,Closed
ADBE,0,0,0,6407.0199999999895,0,6407.0199999999895,Closed
UBER,0,0,0,5717.639999999956,0,5717.639999999956,Closed
INTC,4914.0,114114.89031012102,118013.01775484384,0,3898.1274447228207,3898.1274447228207,Open (4914 sh)
AMZN,568.0,115287.95497584,117912.98074303337,0,2625.0257671933796,2625.0257671933796,Open (568 sh)
AMD,0,0,0,-14180.599999999977,0,-14180.599999999977,Closed
QCOM,0,0,0,-18102.301577845996,0,-18102.301577845996,Closed
TOTAL,,,,411258.28494135116,112421.98644395678,523680.27138530795,
