Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
UPST,336.0,-8846.158720000007,25034.868170392685,0,33881.02689039269,33881.02689039269,Open (336 sh)
NVDA,0,0,0,31324.744625205873,0,31324.744625205873,Closed
SMCI,0,0,0,25575.63063199998,0,25575.63063199998,Closed
DVN,0,0,0,23813.241185580446,0,23813.241185580446,Closed
HOOD,706.0,7172.834766000007,25043.019757932077,0,17870.18499193207,17870.18499193207,Open (706 sh)
BOOT,0,0,0,17732.80040999998,0,17732.80040999998,Closed
COIN,0,0,0,17629.50988999998,0,17629.50988999998,Closed
CAVA,188.0,10276.385780000002,25099.921462187725,0,14823.535682187723,14823.535682187723,Open (188 sh)
AXON,40.0,11261.36593,24472.162758624876,0,13210.796828624876,13210.796828624876,Open (40 sh)
SOFI,1615.0,12270.851090000004,25062.01806346182,0,12791.166973461815,12791.166973461815,Open (1615 sh)
RCL,110.0,13018.010181834601,25057.705450364676,0,12039.695268530075,12039.695268530075,Open (110 sh)
NET,265.0,13526.561649999989,25067.46777124652,0,11540.906121246531,11540.906121246531,Open (265 sh)
WING,0,0,0,10821.055064619846,0,10821.055064619846,Closed
URI,0,0,0,10721.279443808424,0,10721.279443808424,Closed
CROX,0,0,0,9691.548190000016,0,9691.548190000016,Closed
CRWD,0,0,0,8463.253580000004,0,8463.253580000004,Closed
TSLA,76.0,18934.981074782278,24806.699372074363,0,5871.7182972920855,5871.7182972920855,Open (76 sh)
EME,0,0,0,4761.129033483405,0,4761.129033483405,Closed
BKNG,0,0,0,4518.924830734264,0,4518.924830734264,Closed
DE,0,0,0,3899.1824846634845,0,3899.1824846634845,Closed
META,0,0,0,3802.226282187359,0,3802.226282187359,Closed
PWR,0,0,0,3778.5455549345934,0,3778.5455549345934,Closed
AVGO,0,0,0,3161.231351361974,0,3161.231351361974,Closed
PYPL,0,0,0,3073.365872446717,0,3073.365872446717,Closed
ZS,0,0,0,2894.5240900000063,0,2894.5240900000063,Closed
LRCX,0,0,0,2892.816665775128,0,2892.816665775128,Closed
OXY,0,0,0,2220.5070176232184,0,2220.5070176232184,Closed
CELH,0,0,0,2037.7314506796392,0,2037.7314506796392,Closed
XYZ,0,0,0,1911.5897600000026,0,1911.5897600000026,Closed
NOW,126.0,23344.260337999985,25058.881045777634,0,1714.620707777649,1714.620707777649,Open (126 sh)
FANG,0,0,0,1705.194008050952,0,1705.194008050952,Closed
AMD,0,0,0,1666.9210999999923,0,1666.9210999999923,Closed
MRVL,0,0,0,1517.9269964199484,0,1517.9269964199484,Closed
CVX,0,0,0,1091.8123417759125,0,1091.8123417759125,Closed
XOM,0,0,0,877.7255504307832,0,877.7255504307832,Closed
ON,0,0,0,791.4732599999988,0,791.4732599999988,Closed
MSFT,0,0,0,646.9009134657426,0,646.9009134657426,Closed
CRM,80.0,24189.636649144435,24824.07264558165,0,634.4359964372161,634.4359964372161,Open (80 sh)
AMZN,0,0,0,241.71735238669862,0,241.71735238669862,Closed
MAR,0,0,0,143.46101738965808,0,143.46101738965808,Closed
GOOGL,0,0,0,-14.309602695924696,0,-14.309602695924696,Closed
DPZ,0,0,0,-142.95364164107013,0,-142.95364164107013,Closed
WYNN,0,0,0,-168.16071855699556,0,-168.16071855699556,Closed
MU,0,0,0,-225.4428070021895,0,-225.4428070021895,Closed
LVS,0,0,0,-429.6880848141627,0,-429.6880848141627,Closed
PANW,0,0,0,-638.7331388351304,0,-638.7331388351304,Closed
LULU,0,0,0,-645.634870000009,0,-645.634870000009,Closed
QCOM,0,0,0,-843.1980816989817,0,-843.1980816989817,Closed
DECK,0,0,0,-884.4622718924365,0,-884.4622718924365,Closed
DDOG,173.0,26229.109379999994,25039.799223057224,0,-1189.3101569427708,-1189.3101569427708,Open (173 sh)
CAT,0,0,0,-1480.476719501321,0,-1480.476719501321,Closed
CMG,0,0,0,-1609.6965028999984,0,-1609.6965028999984,Closed
AAPL,0,0,0,-1687.7822863384936,0,-1687.7822863384936,Closed
AMAT,0,0,0,-2026.9744590886185,0,-2026.9744590886185,Closed
SBUX,0,0,0,-2256.569078890141,0,-2256.569078890141,Closed
KLAC,0,0,0,-2705.795835660174,0,-2705.795835660174,Closed
NKE,0,0,0,-2723.085164826576,0,-2723.085164826576,Closed
TOST,608.0,28506.293699999987,25083.926767207067,0,-3422.36693279292,-3422.36693279292,Open (608 sh)
CCL,1042.0,28867.482020000003,25108.316781946534,0,-3759.165238053469,-3759.165238053469,Open (1042 sh)
SNOW,0,0,0,-4563.281620000002,0,-4563.281620000002,Closed
DUOL,76.0,29921.752990000008,25080.32606573038,0,-4841.426924269628,-4841.426924269628,Open (76 sh)
AFRM,378.0,38135.90431000001,25075.83466441472,0,-13060.069645585292,-13060.069645585292,Open (378 sh)
TOTAL,,,,180361.72507068186,98105.74886023864,278467.4739309205,
