symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
ENPH,22,9,13,40.9%,247468.23,0.00,247468.23,39.8%,-13.5%,2.95
NVDA,18,10,8,55.6%,200775.57,0.00,200775.57,23.2%,-7.5%,3.11
MRVL,12,7,5,58.3%,174623.52,0.00,174623.52,19.6%,-4.2%,4.67
FSLR,15,6,9,40.0%,153372.57,0.00,153372.57,17.5%,-5.2%,3.40
TSLA,26,13,13,50.0%,120234.10,0.00,120234.10,16.9%,-8.3%,2.02
META,13,7,6,53.8%,116384.69,0.00,116384.69,13.0%,-8.8%,1.48
AVGO,15,6,9,40.0%,112728.70,0.00,112728.70,17.1%,-5.5%,3.10
SHOP,17,10,7,58.8%,100664.32,0.00,100664.32,26.0%,-8.4%,3.10
FCX,17,6,11,35.3%,93045.36,0.00,93045.36,32.4%,-8.0%,4.06
MU,15,7,8,46.7%,86478.94,0.00,86478.94,15.0%,-7.3%,2.05
REGN,14,7,7,50.0%,77985.65,0.00,77985.65,13.5%,-4.3%,3.12
NFLX,12,8,4,66.7%,70398.24,0.00,70398.24,14.7%,-7.9%,1.86
AMZN,7,5,2,71.4%,56323.67,0.00,56323.67,18.3%,-4.5%,4.07
AMD,23,10,13,43.5%,56066.01,0.00,56066.01,27.0%,-9.3%,2.90
GOOGL,4,3,1,75.0%,51033.02,0.00,51033.02,8.6%,-9.6%,0.89
XYZ,15,7,8,46.7%,45993.73,0.00,45993.73,24.4%,-13.0%,1.87
AMAT,6,4,2,66.7%,39506.12,0.00,39506.12,8.6%,-2.0%,4.25
WYNN,10,7,3,70.0%,26431.56,0.00,26431.56,14.0%,-7.5%,1.87
MSFT,5,2,3,40.0%,19823.07,0.00,19823.07,7.2%,-4.3%,1.67
NOW,7,3,4,42.9%,17016.19,0.00,17016.19,23.7%,-5.1%,4.61
AAPL,5,3,2,60.0%,6319.20,0.00,6319.20,12.2%,-6.9%,1.76
VRTX,16,6,10,37.5%,-8763.42,0.00,-8763.42,4.0%,-5.0%,0.80
PANW,10,4,6,40.0%,-12761.30,0.00,-12761.30,11.8%,-5.3%,2.24
ADBE,3,2,1,66.7%,-13747.04,0.00,-13747.04,3.2%,-4.6%,0.69
MRNA,15,3,12,20.0%,-15272.40,0.00,-15272.40,66.1%,-12.3%,5.38
CRM,5,2,3,40.0%,-24855.26,0.00,-24855.26,5.7%,-6.5%,0.88
LRCX,8,3,5,37.5%,-35502.10,0.00,-35502.10,10.0%,-7.1%,1.40
RCL,16,6,10,37.5%,-51629.88,0.00,-51629.88,11.3%,-8.6%,1.32
LULU,14,3,11,21.4%,-69388.36,0.00,-69388.36,23.4%,-5.9%,3.99
BIIB,12,3,9,25.0%,-77704.00,0.00,-77704.00,6.6%,-8.0%,0.83
