symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
LULU,2015-01-05,2015-03-06,Long,356.0,55.39534,64.78515,3342.7723600000013,16.95%,60,0
LULU,2016-01-11,2016-03-22,Long,330.0,53.96391,60.14979,2041.3404000000014,11.46%,71,0
LULU,2016-07-11,2016-09-06,Long,286.0,76.79672,68.50143,-2372.4529399999983,-10.80%,57,0
LULU,2016-12-12,2017-02-24,Long,379.0,69.3693,64.77516,-1741.1790599999983,-6.62%,74,0
LULU,2017-07-03,2017-08-16,Long,549.0,59.72967,59.4405,-158.75432999999924,-0.48%,44,0
LULU,2017-12-04,2018-05-07,Long,552.0,67.28722,95.39451,15515.224079999996,41.77%,154,0
LULU,2018-06-11,2018-07-31,Long,391.0,122.14202,118.72116,-1337.5562600000019,-2.80%,50,0
LULU,2018-09-17,2018-10-08,Long,339.0,153.86371,153.68616,-60.18944999999883,-0.12%,21,0
LULU,2020-06-01,2020-06-29,Long,388.0,300.395095,289.24047,-4327.994500000004,-3.71%,28,0
LULU,2022-04-18,2022-04-25,Long,503.0,391.17078,363.29634,-14020.843319999996,-7.13%,7,0
LULU,2022-06-27,2022-07-05,Long,538.0,293.65336,263.11662,-16428.766120000004,-10.40%,8,0
LULU,2022-09-12,2022-09-22,Long,514.0,348.99865,317.80188,-16035.139780000009,-8.94%,10,0
LULU,2023-09-25,2023-10-06,Long,580.0,388.43805,359.99964,-16494.277799999985,-7.32%,11,0
LULU,2024-11-04,2024-11-20,Long,868.0,321.49117,301.54815,-17310.541359999992,-6.20%,16,0
ENPH,2015-01-05,2015-01-08,Long,1389.0,14.22421,11.3886,-3938.662289999999,-19.94%,3,0
ENPH,2015-12-21,2016-01-15,Long,6104.0,3.01301,2.34765,-4061.357440000001,-22.08%,25,0
ENPH,2017-01-23,2017-03-03,Long,14603.0,1.85185,1.52847,-4722.31814,-17.46%,39,0
ENPH,2017-09-18,2017-10-19,Long,23518.0,1.53153,1.26873,-6180.530400000003,-17.16%,31,0
ENPH,2017-12-04,2018-01-19,Long,12807.0,2.9029,1.93806,-12356.70588,-33.24%,46,0
ENPH,2018-04-02,2018-05-02,Long,9542.0,4.57457,4.05594,-4948.767459999999,-11.34%,30,0
ENPH,2018-05-14,2018-06-11,Long,8705.0,5.09509,5.02497,-610.3946000000016,-1.38%,28,0
ENPH,2018-07-02,2018-07-27,Long,6896.0,6.73673,6.17382,-3881.827359999997,-8.36%,25,0
ENPH,2018-10-15,2018-12-21,Long,10298.0,4.6046,4.995,4020.3392000000053,8.48%,67,0
ENPH,2019-03-11,2019-06-26,Long,6456.0,8.46846,16.27371,50390.694,92.17%,107,0
ENPH,2019-08-05,2019-09-04,Long,2182.0,29.14912,27.6723,-3222.42124,-5.07%,30,0
ENPH,2019-12-16,2020-02-28,Long,3001.0,24.64462,48.71124,72223.92661999998,97.65%,74,0
ENPH,2020-03-02,2020-03-10,Long,1858.0,49.01897,43.33662,-10557.806299999998,-11.59%,8,0
ENPH,2020-07-27,2020-09-04,Long,2031.0,59.70965,67.7322,16293.799050000005,13.44%,39,0
