Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,0,0,0,24165.089048174617,0,24165.089048174617,Closed
URI,0,0,0,12399.17539422201,0,12399.17539422201,Closed
RCL,67.0,5289.986117580585,16521.182094693013,0,11231.195977112427,11231.195977112427,Open (67 sh)
TSLA,46.0,8186.974984776432,16285.440597711711,0,8098.465612935279,8098.465612935279,Open (46 sh)
CRWD,0,0,0,7794.238479999985,0,7794.238479999985,Closed
ALGN,0,0,0,7538.661250000005,0,7538.661250000005,Closed
META,0,0,0,7111.494261428845,0,7111.494261428845,Closed
PINS,0,0,0,6767.350050000008,0,6767.350050000008,Closed
ROKU,0,0,0,6680.058569999994,0,6680.058569999994,Closed
AVGO,0,0,0,6050.575263145212,0,6050.575263145212,Closed
SNAP,0,0,0,5767.1120200000005,0,5767.1120200000005,Closed
MS,128.0,9727.005851626891,14876.444954099105,0,5149.439102472214,5149.439102472214,Open (128 sh)
AMAT,0,0,0,4645.474855394044,0,4645.474855394044,Closed
XYZ,182.0,11929.246539999993,16563.41043071611,0,4634.163890716118,4634.163890716118,Open (182 sh)
DE,0,0,0,4468.46882469461,0,4468.46882469461,Closed
GS,27.0,11966.785172998942,16435.215820402176,0,4468.430647403235,4468.430647403235,Open (27 sh)
MGM,0,0,0,4404.284639912847,0,4404.284639912847,Closed
NET,161.0,12346.47232,16518.733899084807,0,4172.261579084807,4172.261579084807,Open (161 sh)
AMD,0,0,0,3942.1482600000018,0,3942.1482600000018,Closed
TTD,125.0,12878.160315000001,16514.746207740674,0,3636.5858927406734,3636.5858927406734,Open (125 sh)
ZS,0,0,0,3354.3522299999822,0,3354.3522299999822,Closed
PYPL,186.0,13614.104182729425,16548.91548408188,0,2934.811301352456,2934.811301352456,Open (186 sh)
QCOM,0,0,0,2624.2183409808276,0,2624.2183409808276,Closed
LRCX,0,0,0,2531.318628292036,0,2531.318628292036,Closed
BKNG,3.0,10574.32892389509,12869.970939315635,0,2295.642015420546,2295.642015420546,Open (3 sh)
CRM,49.0,14221.360386861576,16491.699635410394,0,2270.3392485488184,2270.3392485488184,Open (49 sh)
HLT,0,0,0,2178.6957877645764,0,2178.6957877645764,Closed
OXY,0,0,0,1956.9645289408436,0,1956.9645289408436,Closed
VEEV,0,0,0,1897.5656700000018,0,1897.5656700000018,Closed
NFLX,182.0,15116.013163999989,16554.771491703432,0,1438.7583277034428,1438.7583277034428,Open (182 sh)
AMZN,0,0,0,1158.8437496336264,0,1158.8437496336264,Closed
GOOGL,0,0,0,1076.90887715188,0,1076.90887715188,Closed
CVX,0,0,0,923.252615150217,0,923.252615150217,Closed
XOM,0,0,0,507.7373243755719,0,507.7373243755719,Closed
ISRG,29.0,14181.182011322824,14642.25790524005,0,461.0758939172265,461.0758939172265,Open (29 sh)
BA,0,0,0,386.09472999999707,0,386.09472999999707,Closed
MSFT,0,0,0,329.1438316050262,0,329.1438316050262,Closed
MAR,0,0,0,114.76881391172537,0,114.76881391172537,Closed
WYNN,0,0,0,48.08459040577873,0,48.08459040577873,Closed
TXN,0,0,0,40.29164460500033,0,40.29164460500033,Closed
DDOG,105.0,16549.765910000002,16483.91354270872,0,-65.85236729128155,-65.85236729128155,Open (105 sh)
INTC,0,0,0,-311.28914839084973,0,-311.28914839084973,Closed
HON,0,0,0,-343.59199444274236,0,-343.59199444274236,Closed
LVS,0,0,0,-368.2173322118979,0,-368.2173322118979,Closed
MU,0,0,0,-725.8238855295276,0,-725.8238855295276,Closed
COP,0,0,0,-989.9199426672567,0,-989.9199426672567,Closed
CCL,634.0,17619.889109999996,16537.004280905563,0,-1082.8848290944334,-1082.8848290944334,Open (634 sh)
DXCM,0,0,0,-1291.5729424999954,0,-1291.5729424999954,Closed
CMG,0,0,0,-1498.9095275999862,0,-1498.9095275999862,Closed
CAT,0,0,0,-1505.0917277882545,0,-1505.0917277882545,Closed
SLB,0,0,0,-1519.0802418728417,0,-1519.0802418728417,Closed
AAPL,0,0,0,-1740.9684723738756,0,-1740.9684723738756,Closed
LULU,0,0,0,-1795.0075199999992,0,-1795.0075199999992,Closed
SBUX,0,0,0,-1943.7020321120872,0,-1943.7020321120872,Closed
MRVL,174.0,18586.84736918383,16524.01271618676,0,-2062.8346529970695,-2062.8346529970695,Open (174 sh)
JPM,0,0,0,-2097.1472913927355,0,-2097.1472913927355,Closed
NKE,0,0,0,-2124.8316058874043,0,-2124.8316058874043,Closed
ADBE,0,0,0,-3181.860760000003,0,-3181.860760000003,Closed
KLAC,0,0,0,-3475.2278854101896,0,-3475.2278854101896,Closed
TOTAL,,,,95950.12996960964,47579.59764002445,143529.72760963408,
