Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
AVGO,449.0,39843.17622536735,87789.79841119399,0,47946.622185826636,47946.622185826636,Open (449 sh)
NOW,404.0,47555.288,87840.33852280189,0,40285.05052280189,40285.05052280189,Open (404 sh)
META,0,0,0,39759.87725911199,0,39759.87725911199,Closed
CRM,260.0,48682.88943394,87599.69219101075,0,38916.80275707075,38916.80275707075,Open (260 sh)
ORCL,455.0,60578.226487908,87868.87652792386,0,27290.650040015855,27290.650040015855,Open (455 sh)
AMD,0,0,0,26201.00999999995,0,26201.00999999995,Closed
GE,0,0,0,23978.447166517115,0,23978.447166517115,Closed
GS,0,0,0,19814.88674084301,0,19814.88674084301,Closed
AMZN,0,0,0,17202.055849909986,0,17202.055849909986,Closed
JPM,0,0,0,16650.815071266,0,16650.815071266,Closed
NFLX,997.0,72761.788,87829.38434706956,0,15067.596347069557,15067.596347069557,Open (997 sh)
MSFT,0,0,0,12913.196802219987,0,12913.196802219987,Closed
GOOGL,0,0,0,12825.645230673545,0,12825.645230673545,Closed
AAPL,0,0,0,12601.71540630699,0,12601.71540630699,Closed
LLY,0,0,0,12036.297724239994,0,12036.297724239994,Closed
UNH,0,0,0,3044.7395344289835,0,3044.7395344289835,Closed
CAT,0,0,0,1955.6647388449637,0,1955.6647388449637,Closed
ADBE,0,0,0,852.3699999999953,0,852.3699999999953,Closed
ABBV,0,0,0,-1492.04889336598,0,-1492.04889336598,Closed
HON,0,0,0,-2270.415020313696,0,-2270.415020313696,Closed
V,0,0,0,-2417.9281497280026,0,-2417.9281497280026,Closed
COST,0,0,0,-4160.616831407009,0,-4160.616831407009,Closed
MA,0,0,0,-7719.0274905230035,0,-7719.0274905230035,Closed
HD,0,0,0,-10449.689211061981,0,-10449.689211061981,Closed
TOTAL,,,,171326.99592796282,169506.72185278469,340833.7177807475,
